Date,Ticker,Open,High,Low,Close,Volume
2023-10-31,LEMA.MI,40.625,40.625,40.625,40.625,0
2023-11-02,LEMA.MI,41.56,41.71,41.48,41.71,2608
2023-11-03,LEMA.MI,42.235,42.27,42.175,42.27,133
2023-11-06,LEMA.MI,42.62,42.62,42.62,42.62,0
2023-11-07,LEMA.MI,42.45,42.57,42.45,42.57,24
2023-11-08,LEMA.MI,42.26,42.26,42.26,42.26,0
2023-11-09,LEMA.MI,42.295,42.295,42.295,42.295,0
2023-11-10,LEMA.MI,41.96,42.11,41.96,42.11,140
2023-11-13,LEMA.MI,42.275,42.275,42.275,42.275,0
2023-11-14,LEMA.MI,42.575,42.575,42.575,42.575,0
2023-11-15,LEMA.MI,42.995,43.21,42.995,43.21,1
2023-11-16,LEMA.MI,42.495,42.495,42.495,42.495,0
2023-11-17,LEMA.MI,42.58,42.58,42.575,42.575,118
2023-11-20,LEMA.MI,42.805,42.805,42.805,42.805,0
2023-11-21,LEMA.MI,42.805,42.805,42.66,42.66,47
2023-11-22,LEMA.MI,42.755,42.755,42.755,42.755,0
2023-11-23,LEMA.MI,42.83,42.83,42.83,42.83,0
2023-11-24,LEMA.MI,42.54,42.54,42.54,42.54,0
2023-11-27,LEMA.MI,42.36,42.36,42.32,42.32,16
2023-11-28,LEMA.MI,42.475,42.545,42.475,42.545,30
2023-11-29,LEMA.MI,42.425,42.425,42.425,42.425,0
2023-11-30,LEMA.MI,42.63,42.63,42.63,42.63,0
2023-12-01,LEMA.MI,42.725,42.895,42.725,42.825,72
2023-12-04,LEMA.MI,42.775,42.88,42.715,42.715,48
2023-12-05,LEMA.MI,42.49,42.49,42.49,42.49,0
2023-12-06,LEMA.MI,42.8,42.8,42.8,42.8,0
2023-12-07,LEMA.MI,42.835,42.835,42.685,42.685,100
2023-12-08,LEMA.MI,42.695,42.695,42.695,42.695,0
2023-12-11,LEMA.MI,43.06,43.06,43.06,43.06,0
2023-12-12,LEMA.MI,42.725,42.725,42.725,42.725,0
2023-12-13,LEMA.MI,42.56,42.56,42.535,42.535,21
2023-12-14,LEMA.MI,43.13,43.13,43.13,43.13,0
2023-12-15,LEMA.MI,43.44,43.44,43.405,43.405,226
2023-12-18,LEMA.MI,43.005,43.005,43.005,43.005,0
2023-12-19,LEMA.MI,43.335,43.35,43.335,43.35,104
2023-12-20,LEMA.MI,43.105,43.105,43.07,43.07,116
2023-12-21,LEMA.MI,43.12,43.12,43.12,43.12,0
2023-12-22,LEMA.MI,43.005,43.005,43.005,43.005,0
2023-12-27,LEMA.MI,43.185,43.185,43.185,43.185,0
2023-12-28,LEMA.MI,43.675,43.795,43.675,43.795,27
2023-12-29,LEMA.MI,43.97,43.97,43.71,43.71,22
2024-01-02,LEMA.MI,43.785,43.785,43.68,43.68,36
2024-01-03,LEMA.MI,43.43,43.48,43.43,43.465,130
2024-01-04,LEMA.MI,43.505,43.505,43.395,43.395,3
2024-01-05,LEMA.MI,43.395,43.395,43.395,43.395,0
2024-01-08,LEMA.MI,43.13,43.17,42.88,43.17,339
2024-01-09,LEMA.MI,42.905,42.905,42.905,42.905,0
2024-01-10,LEMA.MI,42.63,42.63,42.63,42.63,0
2024-01-11,LEMA.MI,42.77,42.77,42.66,42.66,6
2024-01-12,LEMA.MI,42.935,43.09,42.935,43.09,40
2024-01-15,LEMA.MI,42.89,42.89,42.89,42.89,0
2024-01-16,LEMA.MI,42.565,42.66,42.565,42.575,2555
2024-01-17,LEMA.MI,41.685,41.71,41.66,41.685,17802
2024-01-18,LEMA.MI,42.125,42.135,42.115,42.115,11001
2024-01-19,LEMA.MI,42.245,42.345,42.19,42.195,7493
2024-01-22,LEMA.MI,42.01,42.17,42.01,42.17,5009
2024-01-23,LEMA.MI,42.36,42.595,42.36,42.595,2480
2024-01-24,LEMA.MI,43.18,43.18,43.18,43.18,0
2024-01-25,LEMA.MI,43.235,43.235,43.235,43.235,0
2024-01-26,LEMA.MI,43.115,43.26,43.115,43.26,70
2024-01-29,LEMA.MI,43.415,43.48,43.28,43.28,144
2024-01-30,LEMA.MI,42.85,42.85,42.85,42.85,0
2024-01-31,LEMA.MI,42.995,42.995,42.995,42.995,0
2024-02-01,LEMA.MI,43.13,43.13,42.96,42.96,10
2024-02-02,LEMA.MI,43.075,43.075,43.075,43.075,0
2024-02-05,LEMA.MI,43.405,43.405,43.405,43.405,0
2024-02-06,LEMA.MI,44.29,44.4,44.29,44.4,40
2024-02-07,LEMA.MI,44.405,44.405,44.405,44.405,0
2024-02-08,LEMA.MI,44.075,44.23,44.075,44.23,45
2024-02-09,LEMA.MI,44.18,44.18,44.12,44.12,140
2024-02-12,LEMA.MI,44.365,44.86,44.365,44.86,24
2024-02-13,LEMA.MI,44.65,44.65,44.175,44.175,50
2024-02-14,LEMA.MI,44.61,44.61,44.61,44.61,0
2024-02-15,LEMA.MI,44.72,44.72,44.645,44.645,1
2024-02-16,LEMA.MI,45.045,45.045,44.97,44.97,4896
2024-02-19,LEMA.MI,44.875,44.975,44.875,44.89,1257
2024-02-20,LEMA.MI,44.9,44.9,44.72,44.72,2350
2024-02-21,LEMA.MI,44.865,44.865,44.865,44.865,0
2024-02-22,LEMA.MI,45.22,45.22,45.185,45.21,2452
2024-02-23,LEMA.MI,45.185,45.185,45.185,45.185,0
2024-02-26,LEMA.MI,45.035,45.035,44.905,44.905,5297
2024-02-27,LEMA.MI,45.125,45.125,45.005,45.05,335
2024-02-28,LEMA.MI,44.85,44.85,44.47,44.47,249
2024-02-29,LEMA.MI,44.62,44.62,44.595,44.595,7065
2024-03-01,LEMA.MI,44.91,45.09,44.91,45.09,142
2024-03-04,LEMA.MI,45.12,45.155,44.945,44.945,575
2024-03-05,LEMA.MI,44.755,44.755,44.555,44.555,22
2024-03-06,LEMA.MI,45.03,45.03,45.03,45.03,0
2024-03-07,LEMA.MI,45.075,45.075,45.075,45.075,0
2024-03-08,LEMA.MI,45.135,45.135,45.135,45.135,0
2024-03-11,LEMA.MI,45.265,45.285,45.265,45.285,909
2024-03-12,LEMA.MI,45.645,45.67,45.645,45.67,37
2024-03-13,LEMA.MI,45.45,45.45,45.41,45.41,77
2024-03-14,LEMA.MI,45.44,45.505,45.425,45.505,3220
2024-03-15,LEMA.MI,45.35,45.35,45.215,45.215,1
2024-03-18,LEMA.MI,45.35,45.35,45.35,45.35,0
2024-03-19,LEMA.MI,45.08,45.08,45.08,45.08,0
2024-03-20,LEMA.MI,45.35,45.35,45.15,45.265,119
2024-03-21,LEMA.MI,45.84,45.84,45.84,45.84,0
2024-03-22,LEMA.MI,45.645,45.645,45.57,45.645,4578
2024-03-25,LEMA.MI,45.625,45.625,45.54,45.54,16874
2024-03-26,LEMA.MI,45.665,45.685,45.665,45.685,4310
2024-03-27,LEMA.MI,45.62,45.68,45.565,45.565,10930
2024-03-28,LEMA.MI,46.02,46.02,46.02,46.02,0
2024-04-02,LEMA.MI,46.76,46.795,46.34,46.415,121
2024-04-03,LEMA.MI,46.32,46.32,46.13,46.13,173
