Date,Ticker,Open,High,Low,Close,Volume
2021-04-07,MCHN.MI,30.8,30.8,30.755,30.755,11
2021-04-08,MCHN.MI,31.15,31.175,31.01,31.01,1111
2021-04-09,MCHN.MI,30.725,30.765,30.61,30.61,3020
2021-04-12,MCHN.MI,30.515,30.515,30.415,30.415,630
2021-04-13,MCHN.MI,30.385,30.515,30.31,30.515,810
2021-04-14,MCHN.MI,30.76,30.76,30.59,30.59,57
2021-04-15,MCHN.MI,30.615,30.615,30.51,30.51,2
2021-04-16,MCHN.MI,30.51,30.51,30.51,30.51,0
2021-04-19,MCHN.MI,30.68,30.68,30.615,30.615,170
2021-04-20,MCHN.MI,30.62,30.62,30.4,30.4,241
2021-04-21,MCHN.MI,30.59,30.665,30.59,30.665,70
2021-04-22,MCHN.MI,30.665,30.665,30.665,30.665,0
2021-04-23,MCHN.MI,30.665,30.665,30.665,30.665,0
2021-04-26,MCHN.MI,30.87,30.87,30.7,30.76,498
2021-04-27,MCHN.MI,30.76,30.76,30.76,30.76,0
2021-04-28,MCHN.MI,31.16,31.16,31.125,31.125,49
2021-04-29,MCHN.MI,31.125,31.125,30.91,30.91,108
2021-04-30,MCHN.MI,30.91,30.91,30.91,30.91,0
2021-05-03,MCHN.MI,30.57,30.71,30.57,30.65,175
2021-05-04,MCHN.MI,30.5,30.5,30.315,30.315,10
2021-05-05,MCHN.MI,30.65,30.65,30.62,30.62,40
2021-05-06,MCHN.MI,30.62,30.62,30.62,30.62,0
2021-05-07,MCHN.MI,30.62,30.62,30.62,30.62,0
2021-05-10,MCHN.MI,29.74,29.86,29.445,29.445,215
2021-05-11,MCHN.MI,29.385,29.475,29.33,29.475,317
2021-05-12,MCHN.MI,29.475,29.475,29.475,29.475,0
2021-05-13,MCHN.MI,29.415,29.53,29.305,29.305,4316
2021-05-14,MCHN.MI,29.56,29.655,29.415,29.655,4322
2021-05-17,MCHN.MI,29.825,29.915,29.825,29.915,80
2021-05-18,MCHN.MI,29.975,30.105,29.975,30.105,1
2021-05-19,MCHN.MI,29.95,30.025,29.95,29.96,427
2021-05-20,MCHN.MI,30.13,30.305,30.06,30.305,741
2021-05-21,MCHN.MI,30.14,30.14,29.9,29.9,300
2021-05-24,MCHN.MI,29.9,29.9,29.9,29.9,0
2021-05-25,MCHN.MI,30.755,30.755,30.715,30.715,795
2021-05-26,MCHN.MI,30.73,30.975,30.73,30.885,358
2021-05-27,MCHN.MI,30.885,30.885,30.885,30.885,0
2021-05-28,MCHN.MI,31.0,31.1,30.82,31.04,50
2021-05-31,MCHN.MI,31.31,31.31,31.065,31.065,300
2021-06-01,MCHN.MI,31.55,31.62,31.375,31.375,1326
2021-06-02,MCHN.MI,31.435,31.435,31.3,31.36,1010
2021-06-03,MCHN.MI,31.0,31.22,31.0,31.13,330
2021-06-04,MCHN.MI,31.13,31.13,31.13,31.13,0
2021-06-07,MCHN.MI,31.075,31.075,30.86,30.86,41
2021-06-08,MCHN.MI,30.86,30.86,30.86,30.86,0
2021-06-09,MCHN.MI,30.77,30.805,30.765,30.805,460
2021-06-10,MCHN.MI,30.955,31.035,30.955,31.035,100
2021-06-11,MCHN.MI,31.07,31.07,30.965,30.965,162
2021-06-14,MCHN.MI,31.045,31.045,31.015,31.015,3
2021-06-15,MCHN.MI,30.89,30.89,30.685,30.685,290
2021-06-16,MCHN.MI,30.39,30.415,30.39,30.415,34
2021-06-17,MCHN.MI,30.415,30.415,30.415,30.415,0
2021-06-18,MCHN.MI,31.025,31.025,30.69,30.69,977
2021-06-21,MCHN.MI,30.69,30.69,30.69,30.69,0
2021-06-22,MCHN.MI,30.69,30.69,30.69,30.69,0
2021-06-23,MCHN.MI,30.69,30.69,30.69,30.69,0
2021-06-24,MCHN.MI,31.08,31.26,31.08,31.26,5
2021-06-25,MCHN.MI,31.63,31.81,31.63,31.69,60
2021-06-28,MCHN.MI,31.93,31.965,31.93,31.965,3
2021-06-29,MCHN.MI,31.81,31.81,31.75,31.75,6
2021-06-30,MCHN.MI,32.0,32.005,31.88,31.88,157
2021-07-01,MCHN.MI,31.8,31.8,31.465,31.465,100
2021-07-02,MCHN.MI,31.24,31.24,31.07,31.07,16
2021-07-05,MCHN.MI,30.815,30.9,30.735,30.735,333
2021-07-06,MCHN.MI,30.785,30.845,30.595,30.595,373
2021-07-07,MCHN.MI,30.885,30.885,30.86,30.86,16
2021-07-08,MCHN.MI,29.8,29.835,29.8,29.835,120
2021-07-09,MCHN.MI,30.355,30.385,30.355,30.385,10
2021-07-12,MCHN.MI,30.4,30.44,30.395,30.44,210
2021-07-13,MCHN.MI,30.94,30.94,30.935,30.935,17
2021-07-14,MCHN.MI,30.89,30.89,30.67,30.67,76
2021-07-15,MCHN.MI,31.1,31.1,31.06,31.06,43
2021-07-16,MCHN.MI,31.005,31.005,30.66,30.66,1017
2021-07-19,MCHN.MI,30.21,30.28,30.21,30.28,3
2021-07-20,MCHN.MI,30.28,30.28,30.28,30.28,0
2021-07-21,MCHN.MI,30.28,30.28,30.28,30.28,0
2021-07-22,MCHN.MI,30.79,30.79,30.69,30.69,100
2021-07-23,MCHN.MI,30.4,30.41,29.83,29.83,500
2021-07-26,MCHN.MI,28.575,28.77,28.525,28.59,2128
2021-07-27,MCHN.MI,27.495,27.495,26.795,26.795,345
2021-07-28,MCHN.MI,26.795,26.795,26.795,26.795,0
2021-07-29,MCHN.MI,28.78,28.78,28.41,28.41,20
2021-07-30,MCHN.MI,28.065,28.315,28.035,28.285,363
2021-08-02,MCHN.MI,28.595,28.685,28.595,28.685,15
2021-08-03,MCHN.MI,28.685,28.685,28.685,28.685,0
2021-08-04,MCHN.MI,28.685,28.685,28.685,28.685,0
2021-08-05,MCHN.MI,28.505,28.68,28.505,28.68,880
2021-08-06,MCHN.MI,28.68,28.68,28.68,28.68,0
2021-08-09,MCHN.MI,28.88,28.965,28.88,28.965,5
2021-08-10,MCHN.MI,28.965,28.965,28.965,28.965,0
2021-08-11,MCHN.MI,28.965,28.965,28.965,28.965,0
2021-08-12,MCHN.MI,28.965,28.965,28.965,28.965,0
2021-08-13,MCHN.MI,28.795,28.795,28.74,28.74,21
2021-08-16,MCHN.MI,28.58,28.59,28.375,28.375,71
