Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,MOAT.MI,24.94,24.94,24.94,24.94,0
2018-01-03,MOAT.MI,25.185,25.185,25.165,25.165,4000
2018-01-04,MOAT.MI,25.165,25.165,25.165,25.165,0
2018-01-05,MOAT.MI,25.305,25.375,25.305,25.375,338
2018-01-08,MOAT.MI,25.63,25.63,25.53,25.54,2076
2018-01-09,MOAT.MI,26.1,26.1,25.76,25.84,24
2018-01-10,MOAT.MI,25.61,25.705,25.585,25.705,595
2018-01-11,MOAT.MI,25.86,25.86,25.64,25.64,485
2018-01-12,MOAT.MI,25.735,25.92,25.64,25.92,211
2018-01-15,MOAT.MI,25.61,25.61,25.6,25.61,140
2018-01-16,MOAT.MI,25.75,25.815,25.68,25.68,2053
2018-01-17,MOAT.MI,25.71,25.71,25.59,25.59,517
2018-01-18,MOAT.MI,25.59,25.59,25.59,25.59,0
2018-01-19,MOAT.MI,25.575,25.675,25.575,25.675,270
2018-01-22,MOAT.MI,25.7,25.8,25.7,25.79,607
2018-01-23,MOAT.MI,25.86,25.92,25.86,25.92,3
2018-01-24,MOAT.MI,25.88,25.88,25.79,25.79,394
2018-01-25,MOAT.MI,25.8,25.8,25.55,25.55,1262
2018-01-26,MOAT.MI,25.74,25.82,25.74,25.82,3292
2018-01-29,MOAT.MI,25.995,26.195,25.995,26.195,500
2018-01-30,MOAT.MI,25.995,25.995,25.7,25.745,1015
2018-01-31,MOAT.MI,25.745,25.745,25.745,25.745,0
2018-02-01,MOAT.MI,25.5,25.5,25.23,25.23,242
2018-02-02,MOAT.MI,25.12,25.175,25.04,25.175,1003
2018-02-05,MOAT.MI,24.725,24.84,24.625,24.84,4600
2018-02-06,MOAT.MI,23.72,23.965,23.72,23.895,27
2018-02-07,MOAT.MI,24.2,24.765,24.2,24.765,250
2018-02-08,MOAT.MI,24.495,24.495,24.37,24.37,867
2018-02-09,MOAT.MI,24.39,24.39,23.705,23.705,951
2018-02-12,MOAT.MI,24.225,24.225,24.155,24.155,720
2018-02-13,MOAT.MI,24.08,24.08,23.93,23.93,6205
2018-02-14,MOAT.MI,24.31,24.31,24.155,24.155,83
2018-02-15,MOAT.MI,24.31,24.39,24.25,24.25,465
2018-02-16,MOAT.MI,24.45,24.565,24.42,24.565,170
2018-02-19,MOAT.MI,24.565,24.565,24.565,24.565,0
2018-02-20,MOAT.MI,24.565,24.565,24.565,24.565,0
2018-02-21,MOAT.MI,24.51,24.75,24.51,24.75,68
