Date,Ticker,Open,High,Low,Close,Volume
2018-03-22,RS2K.MI,176.7,176.9,176.7,176.9,6
2018-03-23,RS2K.MI,173.56,173.7,172.58,172.58,102
2018-03-26,RS2K.MI,171.48,171.96,169.38,169.38,351
2018-03-27,RS2K.MI,173.32,173.4,171.76,171.76,54
2018-03-28,RS2K.MI,169.06,170.48,169.06,169.52,852
2018-03-29,RS2K.MI,170.98,172.6,170.98,172.6,950
2018-04-03,RS2K.MI,168.64,170.72,168.64,170.72,744
2018-04-04,RS2K.MI,170.34,170.9,169.98,170.9,546
2018-04-05,RS2K.MI,174.46,175.44,174.46,175.36,89
2018-04-06,RS2K.MI,174.3,174.3,172.5,172.5,29
2018-04-09,RS2K.MI,179.0,179.0,172.26,172.76,367
2018-04-10,RS2K.MI,172.76,173.4,172.02,173.4,37
2018-04-11,RS2K.MI,172.44,173.76,171.8,173.76,1066
2018-04-12,RS2K.MI,174.22,176.0,174.22,176.0,42
2018-04-13,RS2K.MI,175.1,176.2,174.4,174.86,371
2018-04-16,RS2K.MI,174.68,175.16,174.68,175.16,410
2018-04-17,RS2K.MI,175.58,177.92,175.58,177.92,2274
2018-04-18,RS2K.MI,178.06,178.68,178.06,178.68,5175
2018-04-19,RS2K.MI,177.86,177.86,177.48,177.48,15
2018-04-20,RS2K.MI,176.66,177.94,176.66,177.08,143
2018-04-23,RS2K.MI,176.9,178.68,176.9,178.68,55
2018-04-24,RS2K.MI,178.7,178.98,178.26,178.7,993
2018-04-25,RS2K.MI,176.44,176.98,176.44,176.98,5
2018-04-26,RS2K.MI,177.04,178.52,176.84,178.52,1129
2018-04-27,RS2K.MI,179.14,179.7,178.46,178.46,5951
2018-04-30,RS2K.MI,178.76,179.34,178.76,179.16,173
2018-05-02,RS2K.MI,179.76,181.34,178.92,180.92,3864
2018-05-03,RS2K.MI,180.62,180.62,178.12,178.52,44
2018-05-04,RS2K.MI,179.46,182.02,179.44,182.02,624
2018-05-07,RS2K.MI,182.76,184.28,182.76,184.14,151
2018-05-08,RS2K.MI,184.32,185.94,184.18,185.26,773
2018-05-09,RS2K.MI,185.46,186.0,185.46,186.0,25
2018-05-10,RS2K.MI,187.26,187.62,186.52,187.54,5298
2018-05-11,RS2K.MI,187.14,187.5,186.24,186.8,7365
2018-05-14,RS2K.MI,187.14,187.24,186.32,186.42,4215
2018-05-15,RS2K.MI,186.4,187.66,186.38,187.66,2832
2018-05-16,RS2K.MI,187.88,189.94,187.88,189.58,281
2018-05-17,RS2K.MI,190.72,192.58,190.0,192.58,290
2018-05-18,RS2K.MI,191.64,192.54,191.56,192.1,452
2018-05-21,RS2K.MI,193.24,193.24,192.38,193.16,404
2018-05-22,RS2K.MI,192.98,193.4,192.96,193.4,121
2018-05-23,RS2K.MI,192.1,193.4,191.54,193.2,629
2018-05-24,RS2K.MI,192.28,192.5,191.98,192.5,21577
2018-05-25,RS2K.MI,193.76,194.84,193.74,194.84,1229
2018-05-28,RS2K.MI,194.52,194.52,194.26,194.26,15
2018-05-29,RS2K.MI,194.24,196.5,193.84,196.5,86
2018-05-30,RS2K.MI,194.88,197.66,194.84,196.8,243
2018-05-31,RS2K.MI,196.76,196.82,195.72,196.24,147
2018-06-01,RS2K.MI,195.24,196.4,195.24,196.36,96
2018-06-04,RS2K.MI,196.56,196.56,195.44,195.86,94
2018-06-05,RS2K.MI,196.74,197.88,196.64,197.02,553
2018-06-06,RS2K.MI,196.96,197.14,196.96,197.14,30
2018-06-07,RS2K.MI,197.06,197.56,196.36,196.36,5655
2018-06-08,RS2K.MI,196.66,197.82,196.5,197.82,216
2018-06-11,RS2K.MI,196.8,197.64,196.8,197.64,777
2018-06-12,RS2K.MI,197.32,198.62,197.32,198.56,10468
2018-06-13,RS2K.MI,198.56,198.56,198.56,198.56,0
2018-06-14,RS2K.MI,196.96,200.9,196.96,200.9,545
2018-06-15,RS2K.MI,202.1,202.1,201.0,201.0,2457
2018-06-18,RS2K.MI,201.85,202.35,201.85,202.35,495
2018-06-19,RS2K.MI,200.85,203.1,200.85,202.15,346
2018-06-20,RS2K.MI,204.25,204.9,204.15,204.9,436
2018-06-21,RS2K.MI,206.15,206.15,203.4,203.4,83
2018-06-22,RS2K.MI,202.15,202.6,201.65,202.45,415
2018-06-25,RS2K.MI,200.41,200.62,196.68,196.68,877
2018-06-26,RS2K.MI,197.42,198.15,197.18,198.15,80
2018-06-27,RS2K.MI,198.26,200.33,198.26,199.33,446
2018-06-28,RS2K.MI,198.25,198.25,196.13,197.43,703
2018-06-29,RS2K.MI,197.57,197.98,197.17,197.49,190
2018-07-02,RS2K.MI,195.2,197.2,195.12,196.4,550
2018-07-03,RS2K.MI,197.57,199.13,197.57,199.03,48
2018-07-04,RS2K.MI,199.18,199.74,199.08,199.19,48
2018-07-05,RS2K.MI,198.23,199.07,197.84,198.82,1345
2018-07-06,RS2K.MI,199.81,200.32,199.07,200.32,60
2018-07-09,RS2K.MI,201.68,201.81,201.32,201.67,1122
2018-07-10,RS2K.MI,202.32,203.14,201.65,201.65,281
2018-07-11,RS2K.MI,199.81,200.89,199.8,200.64,423
2018-07-12,RS2K.MI,201.02,201.43,200.33,200.33,158
2018-07-13,RS2K.MI,202.52,202.67,202.16,202.55,137
2018-07-16,RS2K.MI,200.97,200.97,199.8,199.86,222
2018-07-17,RS2K.MI,199.45,200.55,199.23,200.55,298
2018-07-18,RS2K.MI,202.15,202.15,201.58,201.58,9
2018-07-19,RS2K.MI,202.7,203.93,202.56,203.93,86
2018-07-20,RS2K.MI,203.24,203.38,202.14,202.14,45
2018-07-23,RS2K.MI,201.09,201.52,201.09,201.52,19
2018-07-24,RS2K.MI,203.19,203.19,201.83,201.83,116
2018-07-25,RS2K.MI,200.08,200.37,199.54,200.37,181
2018-07-26,RS2K.MI,200.44,203.34,200.44,203.34,76
2018-07-27,RS2K.MI,203.17,203.45,199.14,199.14,1901
2018-07-30,RS2K.MI,198.42,198.52,197.27,197.73,733
2018-07-31,RS2K.MI,196.37,198.52,196.05,198.52,167
2018-08-01,RS2K.MI,199.31,199.34,198.83,198.83,251
2018-08-02,RS2K.MI,198.87,200.79,198.85,200.79,146
2018-08-03,RS2K.MI,200.79,200.79,200.79,200.79,0
2018-08-06,RS2K.MI,201.67,201.97,201.44,201.97,76
2018-08-07,RS2K.MI,203.14,203.58,202.93,203.31,811
2018-08-08,RS2K.MI,202.83,202.94,202.13,202.13,57
2018-08-09,RS2K.MI,202.6,204.19,202.6,204.19,9082
2018-08-10,RS2K.MI,204.39,206.28,204.39,206.28,2981
2018-08-13,RS2K.MI,205.7,205.71,205.21,205.21,390
2018-08-14,RS2K.MI,205.21,205.21,205.21,205.21,0
2018-08-16,RS2K.MI,205.54,206.71,205.54,206.71,17
2018-08-17,RS2K.MI,205.57,206.17,205.57,206.17,13
2018-08-20,RS2K.MI,207.48,207.59,206.58,206.74,128
2018-08-21,RS2K.MI,205.89,207.63,205.63,207.25,85
2018-08-22,RS2K.MI,206.54,206.75,206.06,206.75,227
2018-08-23,RS2K.MI,207.55,207.83,206.57,206.57,98
2018-08-24,RS2K.MI,207.39,207.39,206.66,206.66,2
2018-08-27,RS2K.MI,207.54,207.76,207.07,207.25,594
2018-08-28,RS2K.MI,207.0,207.0,205.7,205.86,165
2018-08-29,RS2K.MI,206.61,206.62,206.21,206.62,256
2018-08-30,RS2K.MI,206.44,207.15,206.44,206.9,95
2018-08-31,RS2K.MI,206.79,208.12,206.79,208.12,68
2018-09-03,RS2K.MI,209.43,209.43,209.01,209.03,156
2018-09-04,RS2K.MI,210.1,210.16,208.28,208.28,67
2018-09-05,RS2K.MI,208.41,208.41,205.9,206.58,148
2018-09-06,RS2K.MI,206.71,207.38,206.26,206.26,497
2018-09-07,RS2K.MI,205.19,207.16,204.91,207.16,1270
2018-09-10,RS2K.MI,207.11,207.28,206.43,206.88,887
2018-09-11,RS2K.MI,206.01,206.89,206.01,206.77,141
2018-09-12,RS2K.MI,206.95,207.12,205.31,205.31,346
2018-09-13,RS2K.MI,205.87,206.24,204.36,204.36,652
2018-09-14,RS2K.MI,204.33,206.37,204.33,206.37,169
2018-09-17,RS2K.MI,205.62,205.62,204.16,204.22,112
2018-09-18,RS2K.MI,203.62,204.09,203.45,204.09,507
2018-09-19,RS2K.MI,204.15,204.36,204.15,204.36,56
