Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,SEUC.MI,30.325,30.325,30.295,30.315,2198
2018-01-03,SEUC.MI,30.295,30.33,30.295,30.32,7675
2018-01-04,SEUC.MI,30.33,30.33,30.295,30.325,2505
2018-01-05,SEUC.MI,30.31,30.33,30.305,30.315,6618
2018-01-08,SEUC.MI,30.295,30.33,30.295,30.315,10941
2018-01-09,SEUC.MI,30.305,30.335,30.305,30.315,7994
2018-01-10,SEUC.MI,30.32,30.35,30.305,30.315,17810
2018-01-11,SEUC.MI,30.325,30.33,30.3,30.305,8174
2018-01-12,SEUC.MI,30.305,30.305,30.28,30.295,5003
2018-01-15,SEUC.MI,30.3,30.315,30.29,30.305,15455
2018-01-16,SEUC.MI,30.32,30.32,30.295,30.31,14477
2018-01-17,SEUC.MI,30.325,30.325,30.305,30.315,7301
2018-01-18,SEUC.MI,30.32,30.325,30.3,30.315,12549
2018-01-19,SEUC.MI,30.275,30.33,30.275,30.32,5302
2018-01-22,SEUC.MI,30.315,30.335,30.315,30.33,11663
2018-01-23,SEUC.MI,30.325,30.34,30.325,30.33,11960
2018-01-24,SEUC.MI,30.34,30.34,30.315,30.325,30729
2018-01-25,SEUC.MI,30.335,30.335,30.295,30.32,5424
2018-01-26,SEUC.MI,30.33,30.33,30.305,30.315,16974
2018-01-29,SEUC.MI,30.32,30.32,30.3,30.31,6479
2018-01-30,SEUC.MI,30.32,30.325,30.3,30.31,6137
2018-01-31,SEUC.MI,30.315,30.325,30.305,30.315,18207
2018-02-01,SEUC.MI,30.305,30.31,30.285,30.3,5511
2018-02-02,SEUC.MI,30.305,30.315,30.28,30.295,350451
2018-02-05,SEUC.MI,30.3,30.315,30.285,30.305,450949
2018-02-06,SEUC.MI,30.27,30.32,30.27,30.3,23472
2018-02-07,SEUC.MI,30.285,30.32,30.285,30.3,74794
2018-02-08,SEUC.MI,30.305,30.31,30.28,30.295,19250
2018-02-09,SEUC.MI,30.295,30.31,30.275,30.3,64984
2018-02-12,SEUC.MI,30.31,30.315,30.285,30.3,12688
2018-02-13,SEUC.MI,30.225,30.32,30.225,30.3,13786
2018-02-14,SEUC.MI,30.3,30.315,30.27,30.295,10988
2018-02-15,SEUC.MI,30.305,30.305,30.265,30.295,14499
2018-02-16,SEUC.MI,30.3,30.32,30.285,30.305,19312
2018-02-19,SEUC.MI,30.295,30.32,30.295,30.31,19673
2018-02-20,SEUC.MI,30.3,30.32,30.29,30.315,50539
2018-02-21,SEUC.MI,30.31,30.32,30.29,30.305,30885
2018-02-22,SEUC.MI,30.31,30.315,30.29,30.305,13405
2018-02-23,SEUC.MI,30.31,30.32,30.295,30.305,16183
2018-02-26,SEUC.MI,30.31,30.315,30.29,30.315,12709
2018-02-27,SEUC.MI,30.315,30.32,30.295,30.315,5430
2018-02-28,SEUC.MI,30.31,30.31,30.29,30.305,26646
2018-03-01,SEUC.MI,30.315,30.315,30.3,30.315,13982
2018-03-02,SEUC.MI,30.305,30.325,30.295,30.31,27415
2018-03-05,SEUC.MI,30.315,30.32,30.295,30.31,5688
2018-03-06,SEUC.MI,30.32,30.32,30.29,30.305,30393
2018-03-07,SEUC.MI,30.31,30.31,30.29,30.305,15593
2018-03-08,SEUC.MI,30.31,30.31,30.28,30.295,19938
2018-03-09,SEUC.MI,30.3,30.325,30.295,30.325,8672
2018-03-12,SEUC.MI,30.33,30.33,30.3,30.305,44029
2018-03-13,SEUC.MI,30.305,30.325,30.295,30.315,11027
2018-03-14,SEUC.MI,30.325,30.325,30.29,30.31,17143
2018-03-15,SEUC.MI,30.315,30.315,30.28,30.295,20433
2018-03-16,SEUC.MI,30.305,30.305,30.275,30.29,16797
2018-03-19,SEUC.MI,30.305,30.305,30.27,30.29,32540
2018-03-20,SEUC.MI,30.29,30.295,30.26,30.28,22996
2018-03-21,SEUC.MI,30.29,30.29,30.26,30.275,19578
2018-03-22,SEUC.MI,30.285,30.295,30.265,30.28,43236
2018-03-23,SEUC.MI,30.255,30.29,30.255,30.275,14602
2018-03-26,SEUC.MI,30.265,30.29,30.26,30.27,14204
2018-03-27,SEUC.MI,30.26,30.29,30.26,30.285,33173
2018-03-28,SEUC.MI,30.265,30.29,30.265,30.275,13211
2018-03-29,SEUC.MI,30.255,30.285,30.255,30.27,5028
2018-04-03,SEUC.MI,30.285,30.29,30.265,30.28,9887
2018-04-04,SEUC.MI,30.275,30.28,30.24,30.26,73111
2018-04-05,SEUC.MI,30.25,30.275,30.25,30.265,18807
2018-04-06,SEUC.MI,30.255,30.27,30.255,30.265,14813
2018-04-09,SEUC.MI,30.27,30.29,30.255,30.275,11504
2018-04-10,SEUC.MI,30.27,30.3,30.255,30.27,34928
2018-04-11,SEUC.MI,30.255,30.29,30.255,30.275,38241
2018-04-12,SEUC.MI,30.295,30.31,30.265,30.31,7254
2018-04-13,SEUC.MI,30.295,30.315,30.265,30.315,22464
2018-04-16,SEUC.MI,30.315,30.315,30.275,30.29,10206
2018-04-17,SEUC.MI,30.27,30.3,30.27,30.3,34073
2018-04-18,SEUC.MI,30.3,30.305,30.275,30.275,17620
2018-04-19,SEUC.MI,30.27,30.3,30.27,30.28,16321
2018-04-20,SEUC.MI,30.265,30.285,30.265,30.27,31786
2018-04-23,SEUC.MI,30.275,30.28,30.255,30.265,12444
2018-04-24,SEUC.MI,30.27,30.275,30.25,30.25,30083
2018-04-25,SEUC.MI,30.275,30.275,30.255,30.265,544
2018-04-26,SEUC.MI,30.275,30.29,30.245,30.275,39158
2018-04-27,SEUC.MI,30.285,30.285,30.26,30.27,11668
2018-04-30,SEUC.MI,30.28,30.28,30.26,30.27,5546
2018-05-02,SEUC.MI,30.28,30.29,30.265,30.275,15033
2018-05-03,SEUC.MI,30.265,30.295,30.265,30.275,17868
2018-05-04,SEUC.MI,30.26,30.29,30.25,30.28,46577
2018-05-07,SEUC.MI,30.27,30.3,30.265,30.28,12454
2018-05-08,SEUC.MI,30.265,30.295,30.265,30.285,10095
2018-05-09,SEUC.MI,30.265,30.29,30.265,30.28,10312
2018-05-10,SEUC.MI,30.285,30.29,30.265,30.28,33667
2018-05-11,SEUC.MI,30.29,30.29,30.265,30.28,22483
2018-05-14,SEUC.MI,30.3,30.3,30.26,30.27,7820
2018-05-15,SEUC.MI,30.24,30.28,30.24,30.265,90128
2018-05-16,SEUC.MI,30.275,30.275,30.255,30.265,6437
2018-05-17,SEUC.MI,30.275,30.28,30.255,30.265,41869
2018-05-18,SEUC.MI,30.27,30.275,30.255,30.27,5462
2018-05-21,SEUC.MI,30.285,30.285,30.255,30.28,11762
2018-05-22,SEUC.MI,30.255,30.28,30.255,30.265,5908
2018-05-23,SEUC.MI,30.27,30.275,30.25,30.26,11033
2018-05-24,SEUC.MI,30.27,30.27,30.235,30.25,13322
2018-05-25,SEUC.MI,30.25,30.265,30.225,30.24,65145
2018-05-28,SEUC.MI,30.26,30.315,30.24,30.27,25983
2018-05-29,SEUC.MI,30.33,30.33,30.23,30.255,7028
2018-05-30,SEUC.MI,30.28,30.28,30.2,30.24,9153
2018-05-31,SEUC.MI,30.215,30.245,30.205,30.22,18546
2018-06-01,SEUC.MI,30.2,30.255,30.2,30.23,56697
2018-06-04,SEUC.MI,30.22,30.245,30.215,30.23,17027
2018-06-05,SEUC.MI,30.225,30.265,30.22,30.25,66603
2018-06-06,SEUC.MI,30.265,30.265,30.225,30.235,9216
2018-06-07,SEUC.MI,30.24,30.24,30.21,30.23,20857
2018-06-08,SEUC.MI,30.25,30.255,30.23,30.255,23208
2018-06-11,SEUC.MI,30.225,30.26,30.22,30.235,30150
2018-06-12,SEUC.MI,30.24,30.245,30.22,30.23,8011
2018-06-13,SEUC.MI,30.24,30.25,30.215,30.235,40400
2018-06-14,SEUC.MI,30.24,30.275,30.225,30.27,14799
2018-06-15,SEUC.MI,30.265,30.28,30.25,30.265,12161
2018-06-18,SEUC.MI,30.31,30.31,30.245,30.26,10063
2018-06-19,SEUC.MI,30.25,30.275,30.24,30.25,8668
2018-06-20,SEUC.MI,30.26,30.27,30.245,30.265,7514
2018-06-21,SEUC.MI,30.275,30.28,30.25,30.265,12739
2018-06-22,SEUC.MI,30.25,30.285,30.25,30.26,8974
2018-06-25,SEUC.MI,30.265,30.28,30.24,30.26,78358
2018-06-26,SEUC.MI,30.32,30.32,30.245,30.255,6529
2018-06-27,SEUC.MI,30.245,30.28,30.245,30.255,19384
2018-06-28,SEUC.MI,30.245,30.275,30.235,30.245,21039
2018-06-29,SEUC.MI,30.235,30.25,30.22,30.24,7216
2018-07-02,SEUC.MI,30.25,30.25,30.23,30.24,6880
2018-07-03,SEUC.MI,30.245,30.245,30.23,30.245,15266
2018-07-04,SEUC.MI,30.24,30.26,30.23,30.24,5923
2018-07-05,SEUC.MI,30.245,30.25,30.22,30.235,11328
2018-07-06,SEUC.MI,30.23,30.25,30.23,30.24,9858
2018-07-09,SEUC.MI,30.235,30.26,30.235,30.25,8777
2018-07-10,SEUC.MI,30.265,30.265,30.235,30.25,5962
2018-07-11,SEUC.MI,30.26,30.265,30.23,30.24,41966
2018-07-12,SEUC.MI,30.25,30.25,30.23,30.245,16390
2018-07-13,SEUC.MI,30.25,30.275,30.245,30.26,10030
2018-07-16,SEUC.MI,30.275,30.275,30.24,30.255,11306
2018-07-17,SEUC.MI,30.275,30.28,30.245,30.26,11075
2018-07-18,SEUC.MI,30.275,30.275,30.245,30.245,6494
2018-07-19,SEUC.MI,30.275,30.275,30.245,30.26,7089
2018-07-20,SEUC.MI,30.28,30.28,30.23,30.245,31907
2018-07-23,SEUC.MI,30.235,30.26,30.23,30.235,9251
2018-07-24,SEUC.MI,30.24,30.255,30.23,30.245,3708
2018-07-25,SEUC.MI,30.235,30.25,30.235,30.245,14402
2018-07-26,SEUC.MI,30.23,30.265,30.23,30.25,27755
2018-07-27,SEUC.MI,30.24,30.27,30.24,30.265,15706
2018-07-30,SEUC.MI,30.275,30.275,30.235,30.255,9319
2018-07-31,SEUC.MI,30.27,30.275,30.245,30.26,7080
2018-08-01,SEUC.MI,30.225,30.25,30.22,30.23,7106
2018-08-02,SEUC.MI,30.245,30.245,30.21,30.225,7409
2018-08-03,SEUC.MI,30.225,30.24,30.215,30.23,5332
2018-08-06,SEUC.MI,30.235,30.235,30.22,30.23,8507
2018-08-07,SEUC.MI,30.225,30.24,30.225,30.235,5999
2018-08-08,SEUC.MI,30.23,30.255,30.23,30.24,3570
2018-08-09,SEUC.MI,30.235,30.255,30.235,30.25,5098
2018-08-10,SEUC.MI,30.24,30.27,30.225,30.255,8948
2018-08-13,SEUC.MI,30.245,30.265,30.235,30.25,43028
2018-08-14,SEUC.MI,30.275,30.275,30.235,30.26,9081
2018-08-16,SEUC.MI,30.24,30.265,30.24,30.255,735
2018-08-17,SEUC.MI,30.235,30.26,30.23,30.25,2810
2018-08-20,SEUC.MI,30.23,30.26,30.225,30.245,14263
2018-08-21,SEUC.MI,30.26,30.26,30.23,30.25,18478
2018-08-22,SEUC.MI,30.25,30.255,30.235,30.245,1166
2018-08-23,SEUC.MI,30.255,30.255,30.235,30.245,22654
2018-08-24,SEUC.MI,30.25,30.25,30.235,30.24,3458
2018-08-27,SEUC.MI,30.235,30.24,30.215,30.23,958
2018-08-28,SEUC.MI,30.215,30.24,30.215,30.225,7946
2018-08-29,SEUC.MI,30.21,30.22,30.205,30.22,4487
2018-08-30,SEUC.MI,30.21,30.24,30.21,30.225,2903
2018-08-31,SEUC.MI,30.21,30.235,30.21,30.225,4794
2018-09-03,SEUC.MI,30.235,30.25,30.21,30.23,15463
2018-09-04,SEUC.MI,30.21,30.235,30.21,30.22,4191
2018-09-05,SEUC.MI,30.21,30.22,30.19,30.205,6910
2018-09-06,SEUC.MI,30.21,30.245,30.185,30.215,26221
2018-09-07,SEUC.MI,30.22,30.22,30.195,30.205,4820
2018-09-10,SEUC.MI,30.195,30.205,30.19,30.195,8431
2018-09-11,SEUC.MI,30.19,30.22,30.185,30.205,19058
2018-09-12,SEUC.MI,30.225,30.255,30.2,30.22,172967
2018-09-13,SEUC.MI,30.205,30.24,30.205,30.23,223826
2018-09-14,SEUC.MI,30.21,30.265,30.21,30.225,213059
2018-09-17,SEUC.MI,30.24,30.24,30.215,30.23,233266
2018-09-18,SEUC.MI,30.23,30.245,30.22,30.235,293300
2018-09-19,SEUC.MI,30.24,30.245,30.22,30.23,71387
2018-09-20,SEUC.MI,30.245,30.25,30.22,30.235,5677
2018-09-21,SEUC.MI,30.245,30.25,30.22,30.235,110320
2018-09-24,SEUC.MI,30.25,30.275,30.145,30.225,120839
2018-09-25,SEUC.MI,30.21,30.24,30.21,30.225,158725
2018-09-26,SEUC.MI,30.23,30.23,30.205,30.205,3187
2018-09-27,SEUC.MI,30.205,30.225,30.205,30.21,2401
2018-09-28,SEUC.MI,30.205,30.21,30.2,30.205,7743
2018-10-01,SEUC.MI,30.22,30.23,30.205,30.225,5277
2018-10-02,SEUC.MI,30.24,30.24,30.215,30.23,5840
2018-10-03,SEUC.MI,30.215,30.24,30.21,30.215,283117
2018-10-04,SEUC.MI,30.22,30.23,30.2,30.22,80773
2018-10-05,SEUC.MI,30.22,30.22,30.195,30.205,6543
2018-10-08,SEUC.MI,30.2,30.23,30.2,30.22,51322
2018-10-09,SEUC.MI,30.2,30.235,30.2,30.215,18382
2018-10-10,SEUC.MI,30.2,30.225,30.2,30.215,84486
2018-10-11,SEUC.MI,30.225,30.225,30.2,30.215,4862
2018-10-12,SEUC.MI,30.22,30.23,30.2,30.215,74082
2018-10-15,SEUC.MI,30.21,30.235,30.205,30.22,117687
2018-10-16,SEUC.MI,30.215,30.23,30.205,30.215,14709
2018-10-17,SEUC.MI,30.215,30.235,30.21,30.225,22968
2018-10-18,SEUC.MI,30.23,30.25,30.215,30.23,266510
2018-10-19,SEUC.MI,30.225,30.24,30.22,30.225,26280
2018-10-22,SEUC.MI,30.225,30.225,30.215,30.22,9648
2018-10-23,SEUC.MI,30.205,30.23,30.205,30.215,15826
2018-10-24,SEUC.MI,30.21,30.22,30.185,30.195,66944
2018-10-25,SEUC.MI,30.18,30.2,30.17,30.185,6342
2018-10-26,SEUC.MI,30.2,30.2,30.165,30.185,75592
2018-10-29,SEUC.MI,30.17,30.2,30.17,30.19,5643
2018-10-30,SEUC.MI,30.2,30.215,30.18,30.2,7794
2018-10-31,SEUC.MI,30.19,30.22,30.19,30.205,232389
2018-11-01,SEUC.MI,30.205,30.205,30.19,30.2,2661
2018-11-02,SEUC.MI,30.2,30.205,30.19,30.2,1363
2018-11-05,SEUC.MI,30.215,30.215,30.18,30.195,37207
2018-11-06,SEUC.MI,30.215,30.215,30.19,30.2,5153
2018-11-07,SEUC.MI,30.195,30.21,30.185,30.195,4479
2018-11-08,SEUC.MI,30.185,30.205,30.185,30.2,26714
2018-11-09,SEUC.MI,30.19,30.215,30.185,30.205,7995
2018-11-12,SEUC.MI,30.215,30.215,30.185,30.2,3847
2018-11-13,SEUC.MI,30.19,30.205,30.18,30.19,6290
2018-11-14,SEUC.MI,30.205,30.205,30.14,30.14,4330
2018-11-15,SEUC.MI,30.19,30.19,30.155,30.175,11091
2018-11-16,SEUC.MI,30.155,30.18,30.15,30.165,11755
2018-11-19,SEUC.MI,30.17,30.17,30.135,30.15,5621
2018-11-20,SEUC.MI,30.125,30.15,30.12,30.135,8378
2018-11-21,SEUC.MI,30.12,30.15,30.115,30.13,19482
2018-11-22,SEUC.MI,30.13,30.15,30.12,30.12,9114
2018-11-23,SEUC.MI,30.125,30.15,30.12,30.135,76412
2018-11-26,SEUC.MI,30.15,30.155,30.125,30.14,10617
2018-11-27,SEUC.MI,30.14,30.16,30.13,30.145,5567
2018-11-28,SEUC.MI,30.135,30.155,30.12,30.12,50081
2018-11-29,SEUC.MI,30.125,30.135,30.12,30.12,34296
2018-11-30,SEUC.MI,30.135,30.135,30.11,30.125,19393
2018-12-03,SEUC.MI,30.135,30.135,30.105,30.115,15730
2018-12-04,SEUC.MI,30.125,30.125,30.1,30.12,5918
2018-12-05,SEUC.MI,30.11,30.12,30.09,30.105,12744
2018-12-06,SEUC.MI,30.115,30.12,30.085,30.1,19701
2018-12-07,SEUC.MI,30.105,30.105,30.075,30.095,6032
2018-12-10,SEUC.MI,30.07,30.09,30.06,30.075,13588
2018-12-11,SEUC.MI,30.065,30.085,30.06,30.07,39124
2018-12-12,SEUC.MI,30.065,30.095,30.065,30.095,45809
2018-12-13,SEUC.MI,30.1,30.135,30.085,30.12,52527
2018-12-14,SEUC.MI,30.125,30.14,30.11,30.125,41895
2018-12-17,SEUC.MI,30.115,30.14,30.105,30.12,6072
2018-12-18,SEUC.MI,30.115,30.15,30.115,30.135,16314
2018-12-19,SEUC.MI,30.115,30.15,30.115,30.135,74990
2018-12-20,SEUC.MI,30.125,30.145,30.12,30.13,56309
2018-12-21,SEUC.MI,30.12,30.14,30.11,30.125,7747
2018-12-27,SEUC.MI,30.025,30.135,30.025,30.125,7194
2018-12-28,SEUC.MI,30.12,30.14,30.09,30.13,15946
2019-01-02,SEUC.MI,30.06,30.14,30.06,30.13,6842
2019-01-03,SEUC.MI,30.14,30.14,30.11,30.125,3783
2019-01-04,SEUC.MI,30.155,30.155,30.095,30.115,44405
2019-01-07,SEUC.MI,30.095,30.12,30.085,30.095,17142
2019-01-08,SEUC.MI,30.1,30.11,30.08,30.095,55020
2019-01-09,SEUC.MI,30.115,30.13,30.085,30.105,38830
2019-01-10,SEUC.MI,30.075,30.115,30.075,30.105,33376
