Date,Ticker,Open,High,Low,Close,Volume
2025-07-28,SPTRE.MI,11.139,11.139,11.139,11.139,0
2025-07-29,SPTRE.MI,11.217,11.217,11.217,11.217,0
2025-07-30,SPTRE.MI,11.244,11.244,11.244,11.244,0
2025-07-31,SPTRE.MI,11.237,11.237,11.237,11.237,0
2025-08-01,SPTRE.MI,10.952,10.952,10.952,10.952,0
2025-08-04,SPTRE.MI,11.105,11.105,11.105,11.105,0
2025-08-05,SPTRE.MI,11.05,11.05,11.05,11.05,0
2025-08-06,SPTRE.MI,11.072,11.072,11.072,11.072,0
2025-08-07,SPTRE.MI,11.068,11.068,11.068,11.068,0
2025-08-08,SPTRE.MI,11.123,11.123,11.123,11.123,0
2025-08-11,SPTRE.MI,11.152,11.152,11.152,11.152,0
2025-08-12,SPTRE.MI,11.219,11.219,11.219,11.219,0
2025-08-13,SPTRE.MI,11.197,11.197,11.197,11.197,0
2025-08-14,SPTRE.MI,11.257,11.257,11.257,11.257,0
2025-08-18,SPTRE.MI,11.222,11.222,11.222,11.222,0
2025-08-19,SPTRE.MI,11.15,11.15,11.15,11.15,0
2025-08-20,SPTRE.MI,11.132,11.132,11.132,11.132,0
2025-08-21,SPTRE.MI,11.133,11.133,11.133,11.133,0
2025-08-22,SPTRE.MI,11.205,11.205,11.205,11.205,0
2025-08-25,SPTRE.MI,11.184,11.184,11.184,11.184,0
2025-08-26,SPTRE.MI,11.265,11.265,11.265,11.265,0
2025-08-27,SPTRE.MI,11.352,11.352,11.352,11.352,0
2025-08-28,SPTRE.MI,11.312,11.312,11.312,11.312,0
2025-08-29,SPTRE.MI,11.208,11.208,11.208,11.208,0
2025-09-02,SPTRE.MI,11.171,11.171,11.171,11.171,0
2025-09-03,SPTRE.MI,11.228,11.228,11.228,11.228,0
2025-09-04,SPTRE.MI,11.35,11.35,11.35,11.35,0
2025-09-05,SPTRE.MI,11.218,11.218,11.218,11.218,0
2025-09-08,SPTRE.MI,11.222,11.234,11.222,11.234,2
2025-09-09,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-10,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-11,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-12,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-15,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-16,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-17,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-18,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-19,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-22,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-23,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-24,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-25,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-26,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-29,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-09-30,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-01,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-02,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-03,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-06,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-07,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-08,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-09,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-10,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-13,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-14,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-15,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-16,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-17,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-20,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-21,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-22,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-23,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-24,SPTRE.MI,11.882,11.882,11.882,11.882,0
2025-10-27,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-28,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-29,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-30,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-10-31,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-03,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-04,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-05,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-06,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-07,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-10,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-11,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-12,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-13,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-14,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-17,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-18,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-19,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-20,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-21,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-24,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-25,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-26,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-27,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-11-28,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-12-01,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-12-02,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-12-03,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-12-04,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-12-05,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-12-08,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-12-09,SPTRE.MI,11.234,11.234,11.234,11.234,0
2025-12-10,SPTRE.MI,11.234,11.234,11.234,11.234,0
