Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,SRSA.MI,33.39,33.4,33.07,33.085,1127
2018-01-03,SRSA.MI,32.93,33.39,32.93,33.32,1122
2018-01-04,SRSA.MI,33.63,33.63,33.075,33.2,10157
2018-01-05,SRSA.MI,33.015,33.535,33.015,33.52,1771
2018-01-08,SRSA.MI,33.41,33.42,33.32,33.42,559
2018-01-09,SRSA.MI,33.4,33.75,33.25,33.75,4561
2018-01-10,SRSA.MI,33.46,33.46,32.955,33.005,2906
2018-01-11,SRSA.MI,32.8,32.805,32.435,32.495,5907
2018-01-12,SRSA.MI,32.495,32.495,32.495,32.495,0
2018-01-15,SRSA.MI,32.49,32.59,32.395,32.395,80
2018-01-16,SRSA.MI,33.325,33.37,33.25,33.25,800
2018-01-17,SRSA.MI,33.27,33.635,33.2,33.615,1365
2018-01-18,SRSA.MI,33.87,33.97,33.58,33.885,895
2018-01-19,SRSA.MI,33.705,33.705,33.45,33.605,2309
2018-01-22,SRSA.MI,33.67,34.33,33.67,34.33,2801
2018-01-23,SRSA.MI,34.48,34.64,34.44,34.64,1630
2018-01-24,SRSA.MI,34.505,34.75,34.5,34.51,787
2018-01-25,SRSA.MI,34.35,34.865,34.35,34.865,3066
2018-01-26,SRSA.MI,34.865,34.895,34.705,34.895,9160
2018-01-29,SRSA.MI,34.51,34.51,33.8,33.96,8905
2018-01-30,SRSA.MI,33.6,33.6,32.705,32.92,1924
2018-01-31,SRSA.MI,33.16,33.25,32.795,32.795,1861
2018-02-01,SRSA.MI,33.055,33.205,32.53,32.53,14374
2018-02-02,SRSA.MI,32.5,32.5,31.69,31.805,14315
2018-02-05,SRSA.MI,31.18,31.305,30.9,31.015,19099
2018-02-06,SRSA.MI,31.0,31.08,29.54,30.745,9324
2018-02-07,SRSA.MI,31.0,31.9,30.0,31.88,6566
2018-02-08,SRSA.MI,31.25,31.25,30.55,30.55,5560
2018-02-09,SRSA.MI,30.575,30.58,30.525,30.525,17108
2018-02-12,SRSA.MI,31.095,31.67,31.0,31.565,6010
2018-02-13,SRSA.MI,31.66,32.0,31.66,31.685,1753
2018-02-14,SRSA.MI,32.43,32.57,32.43,32.57,1200
2018-02-15,SRSA.MI,33.195,34.455,33.195,33.855,5248
2018-02-16,SRSA.MI,34.345,34.345,33.77,34.175,14308
2018-02-19,SRSA.MI,33.67,33.685,33.545,33.585,7666
2018-02-20,SRSA.MI,32.9,32.965,32.825,32.955,5322
2018-02-21,SRSA.MI,33.05,33.985,33.045,33.965,4307
2018-02-22,SRSA.MI,33.21,33.725,33.21,33.725,435
2018-02-23,SRSA.MI,34.35,34.52,34.35,34.52,1757
2018-02-26,SRSA.MI,34.455,36.0,34.18,34.3,3495
2018-02-27,SRSA.MI,34.245,34.245,33.79,33.79,1236
2018-02-28,SRSA.MI,33.57,33.575,33.57,33.575,25
2018-03-01,SRSA.MI,33.55,33.55,33.34,33.38,365
2018-03-02,SRSA.MI,32.87,32.87,32.57,32.57,120
2018-03-05,SRSA.MI,32.59,33.415,32.59,33.415,9069
2018-03-06,SRSA.MI,33.775,33.785,33.625,33.625,200
2018-03-07,SRSA.MI,33.1,33.74,33.1,33.74,30
2018-03-08,SRSA.MI,33.745,33.855,33.745,33.855,790
2018-03-09,SRSA.MI,33.665,34.32,33.665,34.32,1017
2018-03-12,SRSA.MI,34.65,34.73,34.12,34.12,489
2018-03-13,SRSA.MI,33.95,33.95,33.73,33.73,20
2018-03-14,SRSA.MI,33.595,33.63,33.26,33.35,8125
2018-03-15,SRSA.MI,33.63,33.63,33.135,33.135,14549
2018-03-16,SRSA.MI,33.07,33.07,32.785,32.785,1798
2018-03-19,SRSA.MI,32.675,32.675,32.355,32.36,1329
2018-03-20,SRSA.MI,32.715,33.32,32.715,33.32,4612
2018-03-21,SRSA.MI,33.11,33.37,33.01,33.37,10273
2018-03-22,SRSA.MI,33.455,33.66,32.485,32.485,8125
2018-03-23,SRSA.MI,32.205,32.205,32.02,32.02,730
2018-03-26,SRSA.MI,32.345,32.345,31.935,31.935,1492
2018-03-27,SRSA.MI,32.535,32.535,32.155,32.155,2295
2018-03-28,SRSA.MI,32.155,32.155,32.155,32.155,0
2018-03-29,SRSA.MI,31.04,31.05,31.04,31.05,163
