Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,STNX.MI,128.22,128.22,128.0,128.22,143
2018-01-03,STNX.MI,128.0,130.06,128.0,130.06,238
2018-01-04,STNX.MI,131.12,131.7,130.76,131.66,433
2018-01-05,STNX.MI,131.94,132.38,131.94,132.12,282
2018-01-08,STNX.MI,133.0,133.14,132.76,132.86,433
2018-01-09,STNX.MI,133.36,133.68,132.88,133.06,1130
2018-01-10,STNX.MI,133.82,133.84,132.92,133.22,1413
2018-01-11,STNX.MI,133.86,133.94,133.0,133.64,826
2018-01-12,STNX.MI,133.7,134.56,133.7,134.18,422
2018-01-15,STNX.MI,135.0,136.8,133.86,134.4,804
2018-01-16,STNX.MI,134.38,134.38,132.82,132.82,684
2018-01-17,STNX.MI,132.82,132.82,132.42,132.46,251
2018-01-18,STNX.MI,132.96,133.02,131.26,132.84,2377
2018-01-19,STNX.MI,132.42,132.42,131.82,131.96,85
2018-01-22,STNX.MI,133.06,133.44,132.86,133.44,92
2018-01-23,STNX.MI,133.8,133.8,133.16,133.42,180
2018-01-24,STNX.MI,133.98,134.2,133.58,133.64,7462
2018-01-25,STNX.MI,133.44,134.2,133.14,133.14,153
2018-01-26,STNX.MI,133.34,133.42,132.92,132.98,198
2018-01-29,STNX.MI,133.8,133.8,132.24,132.24,287
2018-01-30,STNX.MI,131.52,131.54,130.32,130.32,179
2018-01-31,STNX.MI,128.0,130.44,128.0,129.54,484
2018-02-01,STNX.MI,129.76,130.96,128.78,128.78,363
2018-02-02,STNX.MI,129.96,129.96,126.68,126.68,1544
2018-02-05,STNX.MI,125.02,125.94,124.38,124.8,6714
2018-02-06,STNX.MI,121.7,122.38,121.3,121.3,2805
2018-02-07,STNX.MI,122.32,123.76,122.32,123.76,285
2018-02-08,STNX.MI,123.24,123.52,121.68,121.68,409
2018-02-09,STNX.MI,121.68,121.68,119.24,119.44,245
2018-02-12,STNX.MI,121.7,121.94,121.4,121.4,351
2018-02-13,STNX.MI,121.28,121.44,120.94,120.94,22
2018-02-14,STNX.MI,120.8,121.6,120.4,121.28,645
2018-02-15,STNX.MI,122.72,122.72,120.52,121.28,48
2018-02-16,STNX.MI,123.12,123.12,122.46,122.74,86
2018-02-19,STNX.MI,123.34,123.34,122.64,122.64,23
2018-02-20,STNX.MI,122.64,123.48,122.64,123.48,19
2018-02-21,STNX.MI,122.9,123.44,122.9,123.44,38
2018-02-22,STNX.MI,123.44,123.44,123.44,123.44,0
2018-02-23,STNX.MI,123.88,124.66,123.6,124.66,180
2018-02-26,STNX.MI,125.52,125.54,125.2,125.54,35
2018-02-27,STNX.MI,125.08,125.28,125.0,125.28,122
2018-02-28,STNX.MI,125.36,125.86,124.84,124.84,12
2018-03-01,STNX.MI,122.44,123.8,122.44,123.38,198
2018-03-02,STNX.MI,122.16,122.16,120.92,120.92,41
2018-03-05,STNX.MI,121.5,122.4,121.5,122.4,300
2018-03-06,STNX.MI,122.96,122.96,122.96,122.96,25
2018-03-07,STNX.MI,122.02,122.5,122.02,122.44,386
2018-03-08,STNX.MI,124.6,124.6,122.3,122.94,327
2018-03-09,STNX.MI,123.04,123.6,123.02,123.6,95
2018-03-12,STNX.MI,122.02,123.8,122.02,123.66,296
2018-03-13,STNX.MI,124.7,124.7,123.28,123.28,10
2018-03-14,STNX.MI,123.28,123.28,123.28,123.28,0
2018-03-15,STNX.MI,123.28,123.28,123.28,123.28,0
2018-03-16,STNX.MI,122.94,124.18,122.74,124.18,89
