Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,STPX.MI,196.32,196.32,195.8,195.8,3
2018-01-03,STPX.MI,197.88,197.88,197.46,197.46,66
2018-01-04,STPX.MI,199.96,199.96,199.4,199.4,5
2018-01-05,STPX.MI,200.35,200.85,200.35,200.75,1618
2018-01-08,STPX.MI,200.75,203.15,200.75,202.5,1043
2018-01-09,STPX.MI,204.0,204.6,204.0,204.3,65
2018-01-10,STPX.MI,203.75,203.75,202.8,202.8,68
2018-01-11,STPX.MI,204.45,204.45,203.7,203.75,246
2018-01-12,STPX.MI,203.85,204.4,203.85,204.4,15
2018-01-15,STPX.MI,204.4,204.4,204.4,204.4,0
2018-01-16,STPX.MI,204.0,204.0,202.6,202.6,3
2018-01-17,STPX.MI,202.6,202.6,202.6,202.6,0
2018-01-18,STPX.MI,202.6,202.6,202.6,202.6,0
2018-01-19,STPX.MI,205.35,205.65,205.35,205.35,15
2018-01-22,STPX.MI,205.95,205.95,205.0,205.0,44
2018-01-23,STPX.MI,205.0,205.0,205.0,205.0,0
2018-01-24,STPX.MI,203.3,203.3,203.1,203.1,25
2018-01-25,STPX.MI,203.1,203.1,203.1,203.1,0
2018-01-26,STPX.MI,203.1,203.1,203.1,203.1,0
2018-01-29,STPX.MI,203.1,203.1,203.1,203.1,0
2018-01-30,STPX.MI,201.8,202.0,201.8,202.0,200
2018-01-31,STPX.MI,202.0,202.0,202.0,202.0,0
2018-02-01,STPX.MI,202.0,202.0,202.0,202.0,0
2018-02-02,STPX.MI,202.0,202.0,202.0,202.0,0
2018-02-05,STPX.MI,192.4,193.62,192.4,193.62,3
2018-02-06,STPX.MI,189.0,190.54,188.98,190.54,375
2018-02-07,STPX.MI,190.54,190.54,190.54,190.54,0
2018-02-08,STPX.MI,190.5,190.5,186.74,186.74,100
2018-02-09,STPX.MI,187.2,187.2,184.76,184.76,7
2018-02-12,STPX.MI,188.92,188.92,188.72,188.72,50
2018-02-13,STPX.MI,188.72,188.72,188.72,188.72,0
2018-02-14,STPX.MI,191.48,191.7,191.48,191.7,48
2018-02-15,STPX.MI,195.78,195.78,193.98,194.06,6
2018-02-16,STPX.MI,194.06,194.06,194.06,194.06,0
2018-02-19,STPX.MI,194.06,194.06,194.06,194.06,0
2018-02-20,STPX.MI,194.06,194.06,194.06,194.06,0
2018-02-21,STPX.MI,194.06,194.06,194.06,194.06,0
2018-02-22,STPX.MI,194.06,194.06,194.06,194.06,0
2018-02-23,STPX.MI,194.06,194.06,194.06,194.06,0
2018-02-26,STPX.MI,197.34,197.34,197.34,197.34,50
2018-02-27,STPX.MI,197.34,197.34,197.34,197.34,0
2018-02-28,STPX.MI,198.88,198.88,193.56,193.56,658
2018-03-01,STPX.MI,193.56,193.56,193.56,193.56,0
2018-03-02,STPX.MI,193.56,193.56,193.56,193.56,0
2018-03-05,STPX.MI,193.56,193.56,193.56,193.56,0
2018-03-06,STPX.MI,193.56,193.56,193.56,193.56,0
2018-03-07,STPX.MI,193.56,193.56,193.56,193.56,0
2018-03-08,STPX.MI,193.56,193.56,193.56,193.56,0
2018-03-09,STPX.MI,193.56,193.56,193.56,193.56,0
2018-03-12,STPX.MI,193.56,193.56,193.56,193.56,0
2018-03-13,STPX.MI,191.74,191.74,190.04,190.04,24
2018-03-14,STPX.MI,191.82,191.82,190.28,190.28,186
2018-03-15,STPX.MI,190.8,191.58,190.8,191.34,6
2018-03-16,STPX.MI,191.34,191.34,191.34,191.34,0
2018-03-19,STPX.MI,193.0,193.0,187.78,187.78,16
2018-03-20,STPX.MI,189.12,189.8,189.12,189.8,73
2018-03-21,STPX.MI,189.8,189.8,189.8,189.8,0
2018-03-22,STPX.MI,190.0,190.0,186.8,186.8,30
2018-03-23,STPX.MI,186.8,186.8,186.8,186.8,0
2018-03-26,STPX.MI,186.8,186.8,186.8,186.8,0
2018-03-27,STPX.MI,186.8,186.8,186.8,186.8,0
2018-03-28,STPX.MI,186.8,186.8,186.8,186.8,0
2018-03-29,STPX.MI,186.8,186.8,186.8,186.8,0
2018-04-03,STPX.MI,185.34,185.68,185.34,185.68,1410
