Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,STWX.MI,120.26,120.86,120.26,120.62,1754
2018-01-03,STWX.MI,120.62,120.62,120.62,120.62,0
2018-01-04,STWX.MI,122.0,122.0,121.98,121.98,9
2018-01-05,STWX.MI,124.1,124.1,122.62,123.78,812
2018-01-08,STWX.MI,126.84,126.84,123.7,123.7,125
2018-01-09,STWX.MI,123.7,123.7,123.7,123.7,0
2018-01-10,STWX.MI,123.7,123.7,123.7,123.7,0
2018-01-11,STWX.MI,123.7,123.7,123.7,123.7,0
2018-01-12,STWX.MI,123.7,123.7,123.7,123.7,0
2018-01-15,STWX.MI,123.7,123.7,123.7,123.7,0
2018-01-16,STWX.MI,121.32,122.02,120.7,120.7,37
2018-01-17,STWX.MI,120.7,120.7,120.46,120.46,24
2018-01-18,STWX.MI,120.18,120.26,120.18,120.26,23
2018-01-19,STWX.MI,121.38,121.94,121.32,121.32,92
2018-01-22,STWX.MI,121.12,121.48,121.12,121.48,50
2018-01-23,STWX.MI,122.24,122.34,122.24,122.34,39
2018-01-24,STWX.MI,122.34,122.34,122.34,122.34,0
2018-01-25,STWX.MI,123.26,123.26,122.14,122.14,6
2018-01-26,STWX.MI,122.14,122.14,122.14,122.14,0
2018-01-29,STWX.MI,122.14,122.14,122.14,122.14,0
2018-01-30,STWX.MI,123.14,123.14,122.28,122.28,40
2018-01-31,STWX.MI,121.0,121.0,120.66,120.66,1
2018-02-01,STWX.MI,120.66,120.66,120.66,120.66,0
2018-02-02,STWX.MI,117.3,117.6,117.04,117.28,2003
2018-02-05,STWX.MI,116.02,116.02,115.32,115.32,27
2018-02-06,STWX.MI,113.18,113.78,112.3,112.3,51
2018-02-07,STWX.MI,113.2,114.3,113.08,114.3,29
2018-02-08,STWX.MI,114.02,114.02,112.84,112.84,1242
2018-02-09,STWX.MI,112.84,112.9,111.16,111.16,1077
2018-02-12,STWX.MI,113.34,113.42,113.16,113.16,255
2018-02-13,STWX.MI,113.42,113.42,112.28,112.28,429
2018-02-14,STWX.MI,112.88,113.48,112.88,113.48,925
2018-02-15,STWX.MI,114.16,114.2,114.0,114.0,952
2018-02-16,STWX.MI,115.7,115.94,115.42,115.94,1833
2018-02-19,STWX.MI,115.54,115.54,114.46,114.46,538
2018-02-20,STWX.MI,114.5,115.36,114.5,115.36,52
2018-02-21,STWX.MI,114.48,115.4,114.48,115.4,52
2018-02-22,STWX.MI,115.58,116.02,115.58,116.02,116
2018-02-23,STWX.MI,115.44,115.8,115.06,115.8,108
2018-02-26,STWX.MI,116.18,116.76,116.08,116.76,165
2018-02-27,STWX.MI,115.86,116.2,115.86,116.2,7
2018-02-28,STWX.MI,115.3,115.3,115.12,115.12,108
2018-03-01,STWX.MI,115.3,115.3,113.88,113.88,126
2018-03-02,STWX.MI,113.12,113.12,112.46,112.46,47
2018-03-05,STWX.MI,112.94,114.06,112.84,114.06,162
2018-03-06,STWX.MI,115.06,115.08,113.84,113.84,176
2018-03-07,STWX.MI,113.64,114.24,113.64,114.24,42
2018-03-08,STWX.MI,114.44,115.6,114.12,115.6,48
2018-03-09,STWX.MI,115.86,115.86,115.76,115.76,50
2018-03-12,STWX.MI,116.32,116.32,116.1,116.1,203
2018-03-13,STWX.MI,116.16,116.32,114.68,114.68,220
2018-03-14,STWX.MI,114.98,114.98,114.48,114.48,60
2018-03-15,STWX.MI,114.82,115.06,114.82,115.06,85
2018-03-16,STWX.MI,115.26,115.42,115.26,115.42,233
2018-03-19,STWX.MI,114.92,114.92,114.32,114.32,37
2018-03-20,STWX.MI,114.12,114.68,114.12,114.68,109
2018-03-21,STWX.MI,114.84,114.84,114.4,114.42,363
2018-03-22,STWX.MI,113.58,113.58,112.86,112.86,27
2018-03-23,STWX.MI,112.34,112.34,112.14,112.14,30
2018-03-26,STWX.MI,113.2,113.2,110.6,110.6,192
2018-03-27,STWX.MI,113.08,113.08,112.5,112.5,113
2018-03-28,STWX.MI,111.86,114.58,111.86,114.58,74
2018-03-29,STWX.MI,114.62,114.98,114.36,114.98,2238
2018-04-03,STWX.MI,113.76,113.86,113.76,113.86,5
2018-04-04,STWX.MI,113.46,113.46,113.36,113.36,51
2018-04-05,STWX.MI,115.06,116.26,115.06,116.26,30
2018-04-06,STWX.MI,115.98,115.98,115.68,115.68,34
2018-04-09,STWX.MI,116.64,116.64,115.86,115.86,34
2018-04-10,STWX.MI,117.34,117.6,117.16,117.6,5568
2018-04-11,STWX.MI,116.74,116.74,116.26,116.26,21
2018-04-12,STWX.MI,116.16,117.24,116.16,117.24,153
2018-04-13,STWX.MI,117.24,117.24,116.56,116.56,351
2018-04-16,STWX.MI,117.02,117.1,116.08,116.08,56
2018-04-17,STWX.MI,116.44,117.2,116.44,117.2,17927
2018-04-18,STWX.MI,117.42,117.42,117.1,117.1,25
2018-04-19,STWX.MI,116.2,116.9,116.2,116.44,83
2018-04-20,STWX.MI,115.66,115.88,115.66,115.88,118
2018-04-23,STWX.MI,115.96,116.46,115.96,116.46,4
2018-04-24,STWX.MI,116.56,116.58,116.2,116.2,10
2018-04-25,STWX.MI,115.76,115.76,115.28,115.28,10
2018-04-26,STWX.MI,115.54,116.36,115.54,116.36,130
2018-04-27,STWX.MI,116.6,116.82,116.48,116.82,2034
2018-04-30,STWX.MI,116.82,116.82,116.82,116.82,0
2018-05-02,STWX.MI,118.78,118.78,118.7,118.7,2
2018-05-03,STWX.MI,118.44,118.44,117.7,117.8,101
2018-05-04,STWX.MI,117.8,117.8,117.8,117.8,0
2018-05-07,STWX.MI,118.7,119.78,118.7,119.78,3888
2018-05-08,STWX.MI,119.4,120.26,119.4,120.26,1800
2018-05-09,STWX.MI,119.72,120.26,119.38,120.26,1117
2018-05-10,STWX.MI,120.08,120.22,119.72,120.1,2294
2018-05-11,STWX.MI,119.64,119.72,119.64,119.72,348
2018-05-14,STWX.MI,120.98,121.12,120.98,121.12,35
2018-05-15,STWX.MI,121.12,121.12,121.12,121.12,0
2018-05-16,STWX.MI,121.28,122.16,121.28,122.16,33
2018-05-17,STWX.MI,122.28,122.68,122.28,122.68,23
2018-05-18,STWX.MI,122.3,122.62,122.3,122.56,354
2018-05-21,STWX.MI,122.94,123.3,122.94,123.3,20
2018-05-22,STWX.MI,123.3,123.3,123.3,123.3,0
2018-05-23,STWX.MI,122.1,122.16,122.1,122.16,10
2018-05-24,STWX.MI,122.16,122.16,122.16,122.16,0
2018-05-25,STWX.MI,122.54,122.54,122.24,122.42,8
2018-05-28,STWX.MI,122.24,122.24,122.06,122.06,2148
2018-05-29,STWX.MI,121.68,121.68,121.54,121.54,900
2018-05-30,STWX.MI,121.54,121.54,121.54,121.54,0
2018-05-31,STWX.MI,122.24,122.24,121.0,121.0,15
2018-06-01,STWX.MI,121.0,121.0,121.0,121.0,0
2018-06-04,STWX.MI,121.0,121.0,121.0,121.0,0
2018-06-05,STWX.MI,121.4,121.7,121.06,121.06,960
2018-06-06,STWX.MI,120.92,120.92,120.16,120.58,510
2018-06-07,STWX.MI,121.04,121.04,120.54,120.54,50
2018-06-08,STWX.MI,119.74,120.14,119.74,120.14,100
2018-06-11,STWX.MI,120.64,120.64,120.44,120.48,180
2018-06-12,STWX.MI,120.16,120.4,120.16,120.4,42
2018-06-13,STWX.MI,121.06,121.06,121.0,121.0,100
2018-06-14,STWX.MI,120.74,123.12,120.5,123.12,222
2018-06-15,STWX.MI,123.22,123.22,122.72,122.72,2
2018-06-18,STWX.MI,122.72,122.72,122.72,122.72,0
2018-06-19,STWX.MI,120.5,120.72,120.5,120.72,180
2018-06-20,STWX.MI,121.08,121.9,121.08,121.9,50
2018-06-21,STWX.MI,121.9,121.9,121.9,121.9,0
