Date,Ticker,Open,High,Low,Close,Volume
2020-09-22,SVE.MI,12.786,12.786,12.764,12.764,2270
2020-09-23,SVE.MI,12.876,12.876,12.752,12.752,106
2020-09-24,SVE.MI,12.708,12.708,12.598,12.598,1407468
2020-09-25,SVE.MI,12.694,12.694,12.502,12.614,18818
2020-09-28,SVE.MI,12.658,12.758,12.658,12.73,582
2020-09-29,SVE.MI,12.692,12.696,12.642,12.642,2414
2020-09-30,SVE.MI,12.636,12.636,12.604,12.604,22141
2020-10-01,SVE.MI,12.714,12.714,12.626,12.652,3630
2020-10-02,SVE.MI,12.632,12.676,12.558,12.676,11072
2020-10-05,SVE.MI,12.708,12.732,12.708,12.732,174
2020-10-06,SVE.MI,12.658,12.658,12.628,12.638,913
2020-10-07,SVE.MI,12.638,12.638,12.638,12.638,0
2020-10-08,SVE.MI,12.7,12.726,12.686,12.686,137
2020-10-09,SVE.MI,12.686,12.686,12.686,12.686,0
2020-10-12,SVE.MI,12.686,12.686,12.686,12.686,0
2020-10-13,SVE.MI,12.812,12.812,12.77,12.77,45
2020-10-14,SVE.MI,12.832,12.832,12.702,12.714,419
2020-10-15,SVE.MI,12.45,12.45,12.434,12.446,120
2020-10-16,SVE.MI,12.594,12.598,12.594,12.598,30
2020-10-19,SVE.MI,12.67,12.684,12.558,12.572,3312
2020-10-20,SVE.MI,12.574,12.574,12.546,12.546,285
2020-10-21,SVE.MI,12.506,12.508,12.37,12.37,4504
2020-10-22,SVE.MI,12.352,12.352,12.24,12.352,1405
2020-10-23,SVE.MI,12.38,12.382,12.356,12.382,312
2020-10-26,SVE.MI,12.37,12.37,12.32,12.32,5011
2020-10-27,SVE.MI,12.32,12.322,12.222,12.222,1056
2020-10-28,SVE.MI,12.072,12.072,11.868,11.88,3303
2020-10-29,SVE.MI,11.976,11.976,11.82,11.824,7696
2020-10-30,SVE.MI,11.75,11.85,11.75,11.85,20022
2020-11-02,SVE.MI,11.91,12.094,11.91,12.094,12648
2020-11-03,SVE.MI,12.264,12.336,12.264,12.336,169
2020-11-04,SVE.MI,12.5,12.682,12.5,12.682,6992
2020-11-05,SVE.MI,12.69,12.708,12.664,12.676,2554
2020-11-06,SVE.MI,12.636,12.686,12.636,12.686,1458
2020-11-09,SVE.MI,12.8,12.928,12.746,12.782,10669
2020-11-10,SVE.MI,12.71,12.722,12.652,12.702,2221
2020-11-11,SVE.MI,12.83,12.942,12.83,12.908,2625
2020-11-12,SVE.MI,12.886,12.912,12.862,12.862,1067
2020-11-13,SVE.MI,12.81,12.88,12.79,12.854,871
2020-11-16,SVE.MI,12.868,12.948,12.842,12.946,2165
2020-11-17,SVE.MI,12.966,12.98,12.91,12.92,968
2020-11-18,SVE.MI,12.918,12.932,12.898,12.912,2684
2020-11-19,SVE.MI,12.842,12.842,12.806,12.822,463
2020-11-20,SVE.MI,12.796,12.872,12.778,12.816,2926
2020-11-23,SVE.MI,12.816,12.816,12.76,12.766,2606
2020-11-24,SVE.MI,12.76,12.796,12.754,12.796,2886
2020-11-25,SVE.MI,12.8,12.808,12.776,12.794,881
2020-11-26,SVE.MI,12.83,12.862,12.814,12.824,1788
2020-11-27,SVE.MI,12.782,12.824,12.768,12.822,5479
2020-11-30,SVE.MI,12.86,12.878,12.784,12.784,920
2020-12-01,SVE.MI,12.8,12.816,12.734,12.764,154021
2020-12-02,SVE.MI,12.764,12.764,12.764,12.764,0
2020-12-03,SVE.MI,12.7,12.7,12.624,12.626,370
2020-12-04,SVE.MI,12.672,12.672,12.654,12.654,800
2020-12-07,SVE.MI,12.64,12.672,12.624,12.672,1680
2020-12-08,SVE.MI,12.61,12.694,12.61,12.694,105
2020-12-09,SVE.MI,12.762,12.762,12.746,12.746,41
2020-12-10,SVE.MI,12.796,12.796,12.716,12.716,1183
2020-12-11,SVE.MI,12.652,12.718,12.652,12.718,1190
2020-12-14,SVE.MI,12.692,12.698,12.666,12.688,461
2020-12-15,SVE.MI,12.676,12.676,12.656,12.656,5070
2020-12-16,SVE.MI,12.72,12.786,12.716,12.786,16540
2020-12-17,SVE.MI,12.868,12.914,12.868,12.902,2447
2020-12-18,SVE.MI,12.9,12.91,12.89,12.89,5884
2020-12-21,SVE.MI,12.742,12.742,12.63,12.634,4466
2020-12-22,SVE.MI,12.634,12.634,12.634,12.634,0
2020-12-23,SVE.MI,12.634,12.634,12.634,12.634,0
2020-12-28,SVE.MI,12.84,12.984,12.84,12.984,850
2020-12-29,SVE.MI,13.034,13.082,13.034,13.082,17
2020-12-30,SVE.MI,13.082,13.082,13.082,13.082,0
2021-01-04,SVE.MI,13.206,13.206,13.148,13.148,1522
2021-01-05,SVE.MI,13.144,13.144,13.078,13.078,28
2021-01-06,SVE.MI,13.034,13.126,13.024,13.126,51
2021-01-07,SVE.MI,13.094,13.158,13.064,13.158,393
2021-01-08,SVE.MI,13.192,13.192,13.158,13.174,1449
2021-01-11,SVE.MI,13.176,13.24,13.176,13.24,117
2021-01-12,SVE.MI,13.23,13.238,13.176,13.236,1534
2021-01-13,SVE.MI,13.228,13.268,13.214,13.214,982
2021-01-14,SVE.MI,13.182,13.246,13.182,13.214,818
2021-01-15,SVE.MI,13.208,13.248,13.186,13.234,226
2021-01-18,SVE.MI,13.194,13.306,13.194,13.254,326
2021-01-19,SVE.MI,13.248,13.296,13.222,13.222,245
2021-01-20,SVE.MI,13.25,13.316,13.25,13.306,2536
2021-01-21,SVE.MI,13.354,13.388,13.264,13.272,1283
2021-01-22,SVE.MI,13.24,13.274,13.222,13.274,384
2021-01-25,SVE.MI,13.37,13.378,13.286,13.286,222
2021-01-26,SVE.MI,13.376,13.378,13.348,13.348,864
2021-01-27,SVE.MI,13.35,13.36,13.212,13.284,2661
2021-01-28,SVE.MI,13.192,13.23,13.126,13.23,113
2021-01-29,SVE.MI,13.046,13.054,12.914,12.914,7066
2021-02-01,SVE.MI,13.03,13.154,13.004,13.078,1423
2021-02-02,SVE.MI,13.24,13.242,13.164,13.164,318
2021-02-03,SVE.MI,13.26,13.262,13.136,13.136,54
2021-02-04,SVE.MI,13.18,13.228,13.18,13.228,175
2021-02-05,SVE.MI,13.16,13.162,13.102,13.102,1530
2021-02-08,SVE.MI,13.17,13.178,13.136,13.136,81
2021-02-09,SVE.MI,13.08,13.198,13.076,13.16,1472
2021-02-10,SVE.MI,13.2,13.2,13.174,13.174,311
2021-02-11,SVE.MI,13.25,13.256,13.216,13.216,216
2021-02-12,SVE.MI,13.256,13.26,13.24,13.26,338
2021-02-15,SVE.MI,13.266,13.324,13.264,13.32,2348
2021-02-16,SVE.MI,13.32,13.35,13.28,13.302,363
2021-02-17,SVE.MI,13.26,13.26,13.122,13.18,2215
2021-02-18,SVE.MI,13.21,13.216,13.092,13.092,336
2021-02-19,SVE.MI,13.152,13.172,13.098,13.098,156
2021-02-22,SVE.MI,13.08,13.092,13.048,13.092,1743
2021-02-23,SVE.MI,13.06,13.06,12.838,12.942,2628
2021-02-24,SVE.MI,13.134,13.134,13.084,13.084,276
2021-02-25,SVE.MI,13.1,13.1,12.998,12.998,1137
2021-02-26,SVE.MI,13.052,13.052,12.826,12.826,67
2021-03-01,SVE.MI,13.032,13.068,12.974,13.046,1137
2021-03-02,SVE.MI,13.046,13.046,13.046,13.046,0
2021-03-03,SVE.MI,13.194,13.194,13.102,13.102,80
