Date,Ticker,Open,High,Low,Close,Volume
2019-05-03,TEET.MI,57.1,57.1,56.98,56.98,18
2019-05-06,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-07,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-08,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-09,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-10,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-13,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-14,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-15,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-16,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-17,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-20,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-21,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-22,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-23,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-24,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-27,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-28,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-29,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-30,TEET.MI,56.98,56.98,56.98,56.98,0
2019-05-31,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-03,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-04,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-05,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-06,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-07,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-10,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-11,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-12,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-13,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-14,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-17,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-18,TEET.MI,56.98,56.98,56.98,56.98,0
2019-06-19,TEET.MI,54.74,54.86,54.74,54.86,50
2019-06-20,TEET.MI,54.86,54.86,54.86,54.86,0
2019-06-21,TEET.MI,54.86,54.86,54.86,54.86,0
2019-06-24,TEET.MI,54.86,54.86,54.86,54.86,0
2019-06-25,TEET.MI,54.86,54.86,54.86,54.86,0
2019-06-26,TEET.MI,54.86,54.86,54.86,54.86,0
2019-06-27,TEET.MI,54.86,54.86,54.86,54.86,0
2019-06-28,TEET.MI,54.86,54.86,54.86,54.86,0
2019-07-01,TEET.MI,54.86,54.86,54.86,54.86,0
2019-07-02,TEET.MI,54.86,54.86,54.86,54.86,0
2019-07-03,TEET.MI,54.86,54.86,54.86,54.86,0
2019-07-04,TEET.MI,54.86,54.86,54.86,54.86,0
2019-07-05,TEET.MI,54.86,54.86,54.86,54.86,0
2019-07-08,TEET.MI,54.86,54.86,54.86,54.86,0
2019-07-09,TEET.MI,54.86,54.86,54.86,54.86,0
2019-07-10,TEET.MI,55.48,55.48,55.39,55.39,67
2019-07-11,TEET.MI,55.39,55.39,55.39,55.39,0
2019-07-12,TEET.MI,55.39,55.39,55.39,55.39,0
2019-07-15,TEET.MI,55.39,55.39,55.39,55.39,0
2019-07-16,TEET.MI,55.39,55.39,55.39,55.39,0
2019-07-17,TEET.MI,55.39,55.39,55.39,55.39,0
2019-07-18,TEET.MI,55.39,55.39,55.39,55.39,0
2019-07-19,TEET.MI,55.39,55.39,55.39,55.39,0
2019-07-22,TEET.MI,55.39,55.39,55.39,55.39,0
2019-07-23,TEET.MI,55.39,55.39,55.39,55.39,0
2019-07-24,TEET.MI,55.39,55.39,55.39,55.39,0
2019-07-25,TEET.MI,56.13,56.46,55.76,55.76,37
2019-07-26,TEET.MI,55.76,55.76,55.76,55.76,0
2019-07-29,TEET.MI,55.76,55.76,55.76,55.76,0
2019-07-30,TEET.MI,55.76,55.76,55.76,55.76,0
2019-07-31,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-01,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-02,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-05,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-06,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-07,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-08,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-09,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-12,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-13,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-14,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-16,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-19,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-20,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-21,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-22,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-23,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-26,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-27,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-28,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-29,TEET.MI,55.76,55.76,55.76,55.76,0
2019-08-30,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-02,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-03,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-04,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-05,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-06,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-09,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-10,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-11,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-12,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-13,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-16,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-17,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-18,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-19,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-20,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-23,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-24,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-25,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-26,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-27,TEET.MI,55.76,55.76,55.76,55.76,0
2019-09-30,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-01,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-02,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-03,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-04,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-07,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-08,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-09,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-10,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-11,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-14,TEET.MI,55.76,55.76,55.76,55.76,0
2019-10-15,TEET.MI,56.03,56.23,56.03,56.23,30
2019-10-16,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-17,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-18,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-21,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-22,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-23,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-24,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-25,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-28,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-29,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-30,TEET.MI,56.23,56.23,56.23,56.23,0
2019-10-31,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-01,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-04,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-05,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-06,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-07,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-08,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-11,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-12,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-13,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-14,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-15,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-18,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-19,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-20,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-21,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-22,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-25,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-26,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-27,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-28,TEET.MI,56.23,56.23,56.23,56.23,0
2019-11-29,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-02,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-03,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-04,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-05,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-06,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-09,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-10,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-11,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-12,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-13,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-16,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-17,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-18,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-19,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-20,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-23,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-27,TEET.MI,56.23,56.23,56.23,56.23,0
2019-12-30,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-02,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-03,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-06,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-07,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-08,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-09,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-10,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-13,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-14,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-15,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-16,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-17,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-20,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-21,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-22,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-23,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-24,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-27,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-28,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-29,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-30,TEET.MI,56.23,56.23,56.23,56.23,0
2020-01-31,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-03,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-04,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-05,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-06,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-07,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-10,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-11,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-12,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-13,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-14,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-17,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-18,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-19,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-20,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-21,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-24,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-25,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-26,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-27,TEET.MI,56.23,56.23,56.23,56.23,0
2020-02-28,TEET.MI,56.23,56.23,56.23,56.23,0
2020-03-02,TEET.MI,56.23,56.23,56.23,56.23,0
2020-03-03,TEET.MI,56.23,56.23,56.23,56.23,0
