Date,Ticker,Open,High,Low,Close,Volume
2024-04-17,TELE.MI,32.295,32.335,32.295,32.335,75
2024-04-18,TELE.MI,32.335,32.335,32.335,32.335,0
2024-04-19,TELE.MI,32.335,32.335,32.335,32.335,0
2024-04-22,TELE.MI,32.335,32.335,32.335,32.335,0
2024-04-23,TELE.MI,33.83,33.92,33.83,33.92,158
2024-04-24,TELE.MI,33.815,33.875,33.585,33.585,525
2024-04-25,TELE.MI,33.585,33.585,33.585,33.585,0
2024-04-26,TELE.MI,33.585,33.585,33.585,33.585,0
2024-04-29,TELE.MI,33.585,33.585,33.585,33.585,0
2024-04-30,TELE.MI,33.47,33.55,33.16,33.16,2239
2024-05-02,TELE.MI,33.33,33.33,33.33,33.33,3163
2024-05-03,TELE.MI,33.39,33.47,33.39,33.47,5
2024-05-06,TELE.MI,33.545,33.625,33.545,33.625,125
2024-05-07,TELE.MI,33.545,33.66,33.545,33.605,3156
2024-05-08,TELE.MI,33.605,33.605,33.605,33.605,0
2024-05-09,TELE.MI,33.52,33.81,33.52,33.685,6584
2024-05-10,TELE.MI,33.685,33.685,33.685,33.685,0
2024-05-13,TELE.MI,33.84,33.945,33.835,33.945,497
2024-05-14,TELE.MI,34.13,34.4,34.08,34.4,607
2024-05-15,TELE.MI,34.715,34.715,34.61,34.61,420
2024-05-16,TELE.MI,34.8,34.8,34.775,34.775,388
2024-05-17,TELE.MI,34.815,34.93,34.815,34.93,300
2024-05-20,TELE.MI,35.03,35.035,35.02,35.035,50
2024-05-21,TELE.MI,34.895,34.955,34.855,34.855,30
2024-05-22,TELE.MI,34.815,34.93,34.815,34.93,541
2024-05-23,TELE.MI,34.64,34.64,34.525,34.525,15
2024-05-24,TELE.MI,34.525,34.525,34.525,34.525,0
2024-05-27,TELE.MI,34.525,34.525,34.525,34.525,0
2024-05-28,TELE.MI,34.665,34.665,34.535,34.595,33494
2024-05-29,TELE.MI,34.505,34.505,34.33,34.33,42
2024-05-30,TELE.MI,34.33,34.33,34.33,34.33,0
2024-05-31,TELE.MI,34.33,34.33,34.33,34.33,0
2024-06-03,TELE.MI,35.485,35.685,35.485,35.685,652
2024-06-04,TELE.MI,35.38,35.63,35.38,35.63,181
