Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,TIPS.MI,25.795,25.795,25.675,25.675,214
2018-01-03,TIPS.MI,25.73,25.79,25.73,25.79,486
2018-01-04,TIPS.MI,25.735,25.735,25.62,25.655,2837
2018-01-05,TIPS.MI,25.745,25.755,25.705,25.755,174
2018-01-08,TIPS.MI,25.86,25.885,25.84,25.855,2663
2018-01-09,TIPS.MI,25.925,25.94,25.885,25.91,413
2018-01-10,TIPS.MI,25.775,25.775,25.66,25.705,2289
2018-01-11,TIPS.MI,25.815,25.815,25.55,25.55,358
2018-01-12,TIPS.MI,25.41,25.41,25.345,25.345,499
2018-01-15,TIPS.MI,25.33,25.33,25.1,25.13,8991
2018-01-16,TIPS.MI,25.245,25.275,25.24,25.255,278
2018-01-17,TIPS.MI,25.285,25.285,25.26,25.265,3972
2018-01-18,TIPS.MI,25.235,25.235,25.19,25.19,60
2018-01-19,TIPS.MI,25.125,25.2,25.125,25.2,308
2018-01-22,TIPS.MI,25.5,25.5,25.13,25.145,650
2018-01-23,TIPS.MI,25.2,25.2,25.13,25.13,619
2018-01-24,TIPS.MI,25.025,25.025,24.815,24.83,398
2018-01-25,TIPS.MI,24.845,24.875,24.56,24.68,913
2018-01-26,TIPS.MI,24.985,24.985,24.785,24.815,144
2018-01-29,TIPS.MI,24.83,24.93,24.83,24.93,1278
2018-01-30,TIPS.MI,24.935,24.935,24.725,24.79,1101
2018-01-31,TIPS.MI,24.73,24.73,24.665,24.695,1977
2018-02-01,TIPS.MI,24.56,24.56,24.48,24.48,127
2018-02-02,TIPS.MI,24.39,24.42,24.3,24.39,416
2018-02-05,TIPS.MI,24.39,24.39,24.39,24.39,0
2018-02-06,TIPS.MI,24.615,24.615,24.53,24.605,247
2018-02-07,TIPS.MI,24.565,24.71,24.565,24.71,236
2018-02-08,TIPS.MI,24.755,24.755,24.65,24.7,455
2018-02-09,TIPS.MI,24.555,24.635,24.555,24.635,1346
2018-02-12,TIPS.MI,24.51,24.655,24.51,24.58,1302
2018-02-13,TIPS.MI,24.57,24.57,24.355,24.375,21027
2018-02-14,TIPS.MI,24.375,24.45,24.27,24.28,11820
2018-02-15,TIPS.MI,24.12,24.21,24.12,24.17,254
2018-02-16,TIPS.MI,24.125,24.28,24.125,24.28,108
2018-02-19,TIPS.MI,24.15,24.305,24.15,24.305,225
2018-02-20,TIPS.MI,24.34,24.405,24.34,24.4,881
2018-02-21,TIPS.MI,24.4,24.4,24.4,24.4,0
2018-02-22,TIPS.MI,24.51,24.51,24.365,24.415,315
2018-02-23,TIPS.MI,24.535,24.56,24.46,24.54,3647
2018-02-26,TIPS.MI,24.505,24.625,24.505,24.59,1087
2018-02-27,TIPS.MI,24.545,24.67,24.545,24.625,101
2018-02-28,TIPS.MI,24.675,24.74,24.665,24.715,4150
2018-03-01,TIPS.MI,24.79,24.92,24.76,24.8,284
2018-03-02,TIPS.MI,24.72,24.72,24.55,24.55,2364
2018-03-05,TIPS.MI,24.66,24.66,24.515,24.515,714
2018-03-06,TIPS.MI,24.555,24.555,24.37,24.395,399
2018-03-07,TIPS.MI,24.43,24.43,24.385,24.405,215
2018-03-08,TIPS.MI,24.5,24.55,24.35,24.55,1531
2018-03-09,TIPS.MI,24.59,24.59,24.5,24.5,46
2018-03-12,TIPS.MI,24.52,24.525,24.485,24.525,307
2018-03-13,TIPS.MI,24.525,24.525,24.415,24.415,193
2018-03-14,TIPS.MI,24.485,24.545,24.485,24.515,40
2018-03-15,TIPS.MI,24.59,24.6,24.59,24.6,4
2018-03-16,TIPS.MI,24.665,24.665,24.64,24.64,120
2018-03-19,TIPS.MI,24.6,24.63,24.55,24.57,1166
2018-03-20,TIPS.MI,24.545,24.65,24.545,24.65,518
2018-03-21,TIPS.MI,24.62,24.625,24.555,24.625,1501
2018-03-22,TIPS.MI,24.625,24.625,24.625,24.625,0
2018-03-23,TIPS.MI,24.585,24.585,24.555,24.555,153
2018-03-26,TIPS.MI,24.4,24.405,24.4,24.405,296
2018-03-27,TIPS.MI,24.33,24.545,24.33,24.505,415
2018-03-28,TIPS.MI,24.595,24.69,24.55,24.69,25812
2018-03-29,TIPS.MI,24.795,24.8,24.715,24.8,80
2018-04-03,TIPS.MI,24.735,24.845,24.735,24.845,779
2018-04-04,TIPS.MI,24.84,24.84,24.78,24.805,442
2018-04-05,TIPS.MI,24.86,24.89,24.815,24.89,620
2018-04-06,TIPS.MI,24.875,24.875,24.82,24.84,52
2018-04-09,TIPS.MI,24.72,24.735,24.72,24.725,129
2018-04-10,TIPS.MI,24.725,24.75,24.67,24.75,1679
2018-04-11,TIPS.MI,24.68,24.725,24.655,24.72,3845
2018-04-12,TIPS.MI,24.78,24.81,24.78,24.81,57
2018-04-13,TIPS.MI,24.825,24.825,24.815,24.815,20
2018-04-16,TIPS.MI,24.71,24.71,24.685,24.685,5
2018-04-17,TIPS.MI,24.71,24.785,24.71,24.785,346
2018-04-18,TIPS.MI,24.79,24.79,24.73,24.73,4926
2018-04-19,TIPS.MI,24.675,24.72,24.645,24.68,1043
2018-04-20,TIPS.MI,24.765,24.79,24.765,24.79,4
2018-04-23,TIPS.MI,24.81,24.855,24.81,24.855,1575
2018-04-24,TIPS.MI,24.915,24.915,24.815,24.845,938
2018-04-25,TIPS.MI,24.895,24.895,24.845,24.845,140
2018-04-26,TIPS.MI,24.94,25.07,24.92,25.07,741
2018-04-27,TIPS.MI,25.125,25.155,25.11,25.155,200
2018-04-30,TIPS.MI,25.145,25.245,25.145,25.245,1532
2018-05-02,TIPS.MI,25.3,25.395,25.3,25.395,477
2018-05-03,TIPS.MI,25.42,25.485,25.42,25.485,60
2018-05-04,TIPS.MI,25.445,25.525,25.44,25.525,3431
2018-05-07,TIPS.MI,25.51,25.565,25.505,25.56,3684
2018-05-08,TIPS.MI,25.63,25.645,25.625,25.625,214
2018-05-09,TIPS.MI,25.64,25.675,25.61,25.675,772
2018-05-10,TIPS.MI,25.565,25.66,25.565,25.59,132
2018-05-11,TIPS.MI,25.5,25.525,25.465,25.525,866
2018-05-14,TIPS.MI,25.435,25.435,25.355,25.415,222
2018-05-15,TIPS.MI,25.485,25.55,25.485,25.55,17
2018-05-16,TIPS.MI,25.55,25.55,25.55,25.55,0
2018-05-17,TIPS.MI,25.595,25.66,25.595,25.63,334
2018-05-18,TIPS.MI,25.63,25.63,25.63,25.63,0
2018-05-21,TIPS.MI,25.835,25.835,25.705,25.75,706
2018-05-22,TIPS.MI,25.595,25.76,25.595,25.695,1225
2018-05-23,TIPS.MI,25.885,25.935,25.875,25.935,1091
2018-05-24,TIPS.MI,25.94,25.985,25.85,25.95,1849
2018-05-25,TIPS.MI,25.745,26.09,25.74,26.09,1374
2018-05-28,TIPS.MI,26.11,26.235,26.11,26.235,10743
2018-05-29,TIPS.MI,26.325,26.56,26.275,26.43,250
2018-05-30,TIPS.MI,26.2,26.405,26.2,26.26,12093
2018-05-31,TIPS.MI,26.055,26.255,26.055,26.255,254
2018-06-01,TIPS.MI,26.17,26.2,26.14,26.18,1287
2018-06-04,TIPS.MI,26.1,26.11,25.935,26.11,1441
2018-06-05,TIPS.MI,26.025,26.155,26.01,26.155,2254
2018-06-06,TIPS.MI,25.98,25.98,25.805,25.87,2693
2018-06-07,TIPS.MI,25.66,25.875,25.66,25.785,743
2018-06-08,TIPS.MI,25.995,26.065,25.89,25.95,239
2018-06-11,TIPS.MI,25.75,25.8,25.725,25.8,4322
2018-06-12,TIPS.MI,25.8,25.87,25.8,25.87,99
2018-06-13,TIPS.MI,25.825,25.91,25.825,25.91,24
2018-06-14,TIPS.MI,25.895,26.28,25.895,26.2,286
2018-06-15,TIPS.MI,26.5,26.5,26.32,26.32,2005
2018-06-18,TIPS.MI,26.37,26.37,26.32,26.32,500
2018-06-19,TIPS.MI,26.6,26.635,26.445,26.46,882
2018-06-20,TIPS.MI,26.49,26.49,26.425,26.425,250
2018-06-21,TIPS.MI,26.41,26.59,26.36,26.36,4182
2018-06-22,TIPS.MI,26.305,26.335,26.305,26.335,1682
2018-06-25,TIPS.MI,26.215,26.255,26.215,26.255,156
2018-06-26,TIPS.MI,26.255,26.3,26.255,26.3,250
2018-06-27,TIPS.MI,26.47,26.585,26.47,26.565,158
2018-06-28,TIPS.MI,26.565,26.565,26.565,26.565,0
2018-06-29,TIPS.MI,26.52,26.53,26.375,26.385,2321
2018-07-02,TIPS.MI,26.425,26.575,26.425,26.555,60
2018-07-03,TIPS.MI,26.42,26.47,26.42,26.47,32
2018-07-04,TIPS.MI,26.47,26.47,26.47,26.47,0
2018-07-05,TIPS.MI,26.375,26.415,26.375,26.415,312
2018-07-06,TIPS.MI,26.415,26.415,26.415,26.415,0
2018-07-09,TIPS.MI,26.255,26.32,26.21,26.28,1432
2018-07-10,TIPS.MI,26.32,26.35,26.315,26.315,9
2018-07-11,TIPS.MI,26.34,26.37,26.255,26.34,531
2018-07-12,TIPS.MI,26.405,26.405,26.375,26.405,111
2018-07-13,TIPS.MI,26.595,26.6,26.475,26.475,12172
2018-07-16,TIPS.MI,26.46,26.46,26.255,26.315,1595
2018-07-17,TIPS.MI,26.32,26.38,26.32,26.37,299
2018-07-18,TIPS.MI,26.545,26.545,26.37,26.435,388
2018-07-19,TIPS.MI,26.49,26.54,26.49,26.535,518
2018-07-20,TIPS.MI,26.46,26.475,26.2,26.23,418
2018-07-23,TIPS.MI,26.25,26.25,26.135,26.135,360
2018-07-24,TIPS.MI,26.145,26.15,26.065,26.14,1397
2018-07-25,TIPS.MI,26.175,26.26,26.14,26.235,220
2018-07-26,TIPS.MI,26.2,26.245,26.2,26.245,72
2018-07-27,TIPS.MI,26.32,26.325,26.245,26.245,2976
2018-07-30,TIPS.MI,26.24,26.245,26.11,26.11,616
2018-07-31,TIPS.MI,26.175,26.215,26.11,26.16,860
2018-08-01,TIPS.MI,25.67,25.67,25.62,25.64,971
2018-08-02,TIPS.MI,25.82,25.83,25.735,25.79,393
