Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,TNOW.MI,206.9,209.8,204.0,206.85,926
2018-01-03,TNOW.MI,207.6,210.6,207.6,210.05,319
2018-01-04,TNOW.MI,214.25,214.25,209.95,211.15,690
2018-01-05,TNOW.MI,214.95,214.95,211.9,213.35,475
2018-01-08,TNOW.MI,214.65,216.25,211.6,215.7,916
2018-01-09,TNOW.MI,217.5,217.5,215.05,216.4,1469
2018-01-10,TNOW.MI,212.3,216.9,212.3,213.9,493
2018-01-11,TNOW.MI,212.15,216.15,212.15,213.5,211
2018-01-12,TNOW.MI,212.1,216.0,212.1,213.3,237
2018-01-15,TNOW.MI,215.8,215.8,211.6,212.7,360
2018-01-16,TNOW.MI,216.45,216.45,211.25,213.7,1262
2018-01-17,TNOW.MI,211.15,213.75,211.15,213.3,728
2018-01-18,TNOW.MI,213.8,215.35,213.05,214.95,1285
2018-01-19,TNOW.MI,212.9,216.65,212.9,215.75,1046
2018-01-22,TNOW.MI,212.85,217.0,212.85,216.3,672
2018-01-23,TNOW.MI,217.0,219.15,214.45,218.4,968
2018-01-24,TNOW.MI,218.8,218.8,215.5,215.5,1281
2018-01-25,TNOW.MI,217.25,217.25,212.5,212.85,2181
2018-01-26,TNOW.MI,217.0,217.0,213.6,214.8,463
2018-01-29,TNOW.MI,215.35,218.3,215.35,216.4,2103
2018-01-30,TNOW.MI,214.55,214.9,211.25,213.35,586
2018-01-31,TNOW.MI,213.0,213.6,212.05,212.95,289
2018-02-01,TNOW.MI,215.75,215.75,212.3,213.55,1058
2018-02-02,TNOW.MI,213.95,213.95,209.6,209.75,1269
2018-02-05,TNOW.MI,210.0,210.0,204.5,207.85,2077
2018-02-06,TNOW.MI,194.54,203.0,194.52,200.65,3429
2018-02-07,TNOW.MI,206.1,208.2,202.8,208.1,2530
2018-02-08,TNOW.MI,204.25,205.75,201.6,201.8,1176
2018-02-09,TNOW.MI,199.0,199.48,197.74,198.3,774
2018-02-12,TNOW.MI,203.0,203.9,202.75,203.2,2563
2018-02-13,TNOW.MI,205.75,205.75,201.5,202.1,317
2018-02-14,TNOW.MI,203.95,205.05,201.85,204.3,656
2018-02-15,TNOW.MI,205.75,207.7,205.75,206.6,1158
2018-02-16,TNOW.MI,209.0,211.2,209.0,210.8,349
2018-02-19,TNOW.MI,214.25,214.25,209.3,209.95,960
2018-02-20,TNOW.MI,210.0,212.5,209.15,212.5,667
2018-02-21,TNOW.MI,212.0,213.9,211.15,213.8,582
2018-02-22,TNOW.MI,211.2,212.4,210.4,212.4,64
2018-02-23,TNOW.MI,215.45,215.45,212.2,213.5,1322
2018-02-26,TNOW.MI,215.75,217.75,215.1,216.2,777
2018-02-27,TNOW.MI,218.0,220.6,217.5,218.8,504
2018-02-28,TNOW.MI,219.0,220.75,217.9,218.8,717
2018-03-01,TNOW.MI,218.8,218.8,215.75,215.75,443
