Date,Ticker,Open,High,Low,Close,Volume
2018-04-18,TPXH.MI,228.15,228.65,228.15,228.65,754
2018-04-19,TPXH.MI,227.75,227.8,227.35,227.75,329
2018-04-20,TPXH.MI,227.7,228.75,227.55,227.55,372
2018-04-23,TPXH.MI,228.35,229.55,227.9,229.55,228
2018-04-24,TPXH.MI,230.85,231.1,230.45,230.95,7128
2018-04-25,TPXH.MI,230.35,230.5,230.3,230.5,376
2018-04-26,TPXH.MI,231.15,232.05,231.05,231.95,2487
2018-04-27,TPXH.MI,232.0,232.65,231.5,231.5,1302
2018-04-30,TPXH.MI,231.95,232.65,231.7,232.65,3545
2018-05-02,TPXH.MI,231.0,231.35,230.75,231.35,338
2018-05-03,TPXH.MI,230.05,230.05,227.35,227.35,14171
2018-05-04,TPXH.MI,229.4,230.7,228.4,230.7,2164
2018-05-07,TPXH.MI,230.9,231.55,230.85,231.55,2468
2018-05-08,TPXH.MI,232.0,232.05,231.05,232.05,1124
2018-05-09,TPXH.MI,231.3,231.3,230.55,230.55,662
2018-05-10,TPXH.MI,231.75,232.1,231.65,232.1,301
2018-05-11,TPXH.MI,233.6,233.7,233.1,233.6,433
2018-05-14,TPXH.MI,235.1,235.55,234.85,235.3,1042
2018-05-15,TPXH.MI,235.5,235.5,234.4,234.6,422
2018-05-16,TPXH.MI,235.1,235.1,234.25,234.85,1110
2018-05-17,TPXH.MI,235.55,236.6,235.5,236.6,1102
2018-05-18,TPXH.MI,236.45,236.5,235.5,235.6,4921
2018-05-21,TPXH.MI,236.4,236.4,235.9,236.25,1298
2018-05-22,TPXH.MI,236.1,236.1,235.8,235.85,274
2018-05-23,TPXH.MI,234.15,234.15,231.85,232.35,52507
2018-05-24,TPXH.MI,231.45,232.05,227.45,228.7,5729
2018-05-25,TPXH.MI,230.65,230.65,228.85,229.45,4626
2018-05-28,TPXH.MI,230.75,230.75,229.25,229.55,12038
2018-05-29,TPXH.MI,227.2,227.35,225.95,226.25,1385
2018-05-30,TPXH.MI,226.15,227.2,226.1,227.1,1639
2018-05-31,TPXH.MI,227.2,227.7,225.5,225.85,1013
2018-06-01,TPXH.MI,228.1,229.5,228.1,229.0,4461
2018-06-04,TPXH.MI,231.1,231.25,231.0,231.05,150
2018-06-05,TPXH.MI,230.5,231.0,230.45,230.45,211
2018-06-06,TPXH.MI,231.35,231.7,230.9,231.7,7306
2018-06-07,TPXH.MI,232.6,232.8,232.0,232.3,1024
2018-06-08,TPXH.MI,231.7,231.7,230.15,231.05,4243
2018-06-11,TPXH.MI,233.2,233.45,232.95,233.45,137
2018-06-12,TPXH.MI,232.75,233.05,232.65,232.95,304
2018-06-13,TPXH.MI,233.9,233.9,233.45,233.6,1046
2018-06-14,TPXH.MI,231.85,233.2,231.75,233.2,195
2018-06-15,TPXH.MI,232.35,232.35,230.8,230.8,167
2018-06-18,TPXH.MI,230.1,230.25,229.05,229.8,3706
2018-06-19,TPXH.MI,225.8,226.15,225.25,225.95,6226
