Date,Ticker,Open,High,Low,Close,Volume
2024-06-24,TRVL.MI,29.25,29.59,29.14,29.275,2857
2024-06-25,TRVL.MI,29.265,29.38,29.2,29.335,260
2024-06-26,TRVL.MI,29.41,29.41,29.0,29.125,8782
2024-06-27,TRVL.MI,28.975,29.1,28.86,28.86,8871
2024-06-28,TRVL.MI,28.69,28.83,28.575,28.58,964
2024-07-01,TRVL.MI,28.905,28.93,28.48,28.48,2491
2024-07-02,TRVL.MI,28.425,28.45,28.21,28.41,249
2024-07-03,TRVL.MI,28.565,28.73,28.56,28.71,557
2024-07-04,TRVL.MI,28.78,28.845,28.715,28.795,2010
2024-07-05,TRVL.MI,28.95,29.0,28.685,28.74,10794
2024-07-08,TRVL.MI,28.605,28.92,28.54,28.54,2698
2024-07-09,TRVL.MI,28.46,28.625,28.31,28.31,2035
2024-07-10,TRVL.MI,28.385,28.66,28.355,28.66,2990
2024-07-11,TRVL.MI,28.715,28.89,28.66,28.77,8896
2024-07-12,TRVL.MI,28.95,29.3,28.95,29.29,2002
2024-07-15,TRVL.MI,29.0,29.115,28.79,28.79,2671
2024-07-16,TRVL.MI,28.635,28.68,28.57,28.655,4994
2024-07-17,TRVL.MI,28.62,28.62,28.46,28.485,1830
2024-07-18,TRVL.MI,28.66,28.865,28.66,28.66,1491
2024-07-19,TRVL.MI,28.39,28.39,28.25,28.25,964
2024-07-22,TRVL.MI,28.405,28.575,28.405,28.505,1192
2024-07-23,TRVL.MI,28.555,28.665,28.41,28.465,470
2024-07-24,TRVL.MI,28.0,28.215,27.955,28.14,2979
2024-07-25,TRVL.MI,27.53,27.79,27.495,27.68,13436
2024-07-26,TRVL.MI,27.9,28.075,27.89,28.075,7156
2024-07-29,TRVL.MI,28.12,28.12,27.86,27.89,2751
2024-07-30,TRVL.MI,27.945,28.025,27.85,27.85,1823
2024-07-31,TRVL.MI,28.105,28.185,27.925,27.97,4038
2024-08-01,TRVL.MI,27.715,27.855,27.51,27.565,6626
2024-08-02,TRVL.MI,27.4,27.4,26.84,26.885,2083
2024-08-05,TRVL.MI,26.435,26.475,25.545,26.435,1956
2024-08-06,TRVL.MI,26.575,26.575,26.22,26.315,2592
2024-08-07,TRVL.MI,26.395,26.85,26.395,26.725,717
2024-08-08,TRVL.MI,26.545,26.745,26.01,26.695,4408
2024-08-09,TRVL.MI,26.92,26.92,26.7,26.75,795
2024-08-12,TRVL.MI,26.935,26.955,26.695,26.7,1220
2024-08-13,TRVL.MI,26.645,26.78,26.64,26.78,284
2024-08-14,TRVL.MI,27.135,27.17,27.06,27.155,15785
2024-08-16,TRVL.MI,27.705,27.735,27.595,27.62,950
2024-08-19,TRVL.MI,27.62,27.97,27.62,27.915,751
2024-08-20,TRVL.MI,28.05,28.05,27.905,27.905,252
2024-08-21,TRVL.MI,27.97,28.145,27.97,28.145,668
2024-08-22,TRVL.MI,28.195,28.305,28.195,28.225,1788
2024-08-23,TRVL.MI,28.335,28.4,28.245,28.385,170
2024-08-26,TRVL.MI,28.41,28.45,28.4,28.4,5438
2024-08-27,TRVL.MI,28.45,28.48,28.32,28.32,3590
2024-08-28,TRVL.MI,28.34,28.375,28.225,28.225,1675
2024-08-29,TRVL.MI,28.38,28.56,28.38,28.56,608
2024-08-30,TRVL.MI,28.705,28.705,28.515,28.515,824
2024-09-02,TRVL.MI,28.25,28.48,28.25,28.48,603
2024-09-03,TRVL.MI,28.64,28.64,28.32,28.32,1169
2024-09-04,TRVL.MI,28.015,28.015,27.72,27.77,873
2024-09-05,TRVL.MI,27.77,27.78,27.465,27.465,1493
2024-09-06,TRVL.MI,27.37,27.46,27.075,27.075,196
2024-09-09,TRVL.MI,27.185,27.22,27.105,27.195,2701
2024-09-10,TRVL.MI,27.345,27.345,26.865,26.865,758
2024-09-11,TRVL.MI,27.055,27.115,26.84,26.91,1414
2024-09-12,TRVL.MI,27.295,27.295,27.07,27.08,7536
2024-09-13,TRVL.MI,27.28,27.375,27.185,27.285,395
2024-09-16,TRVL.MI,27.165,27.335,27.135,27.16,7163
2024-09-17,TRVL.MI,27.35,27.515,27.35,27.455,664
2024-09-18,TRVL.MI,27.275,27.345,27.24,27.245,391
2024-09-19,TRVL.MI,27.635,27.85,27.63,27.82,4788
2024-09-20,TRVL.MI,27.26,27.32,27.2,27.2,660
2024-09-23,TRVL.MI,27.145,27.43,27.145,27.26,1489
2024-09-24,TRVL.MI,27.9,27.925,27.78,27.9,1067
2024-09-25,TRVL.MI,27.94,27.94,27.805,27.83,1695
2024-09-26,TRVL.MI,28.375,28.905,28.35,28.84,1454
2024-09-27,TRVL.MI,29.17,29.345,29.115,29.18,2935
2024-09-30,TRVL.MI,29.255,29.255,28.73,28.73,960
2024-10-01,TRVL.MI,28.5,28.735,28.16,28.16,26448
2024-10-02,TRVL.MI,28.325,28.575,28.2,28.2,6388
2024-10-03,TRVL.MI,28.0,28.08,27.955,27.99,2099
2024-10-04,TRVL.MI,28.0,28.265,28.0,28.16,400
2024-10-07,TRVL.MI,28.255,28.39,28.11,28.345,9635
2024-10-08,TRVL.MI,27.805,28.06,27.805,27.86,2261
2024-10-09,TRVL.MI,28.065,28.22,28.03,28.22,2008
2024-10-10,TRVL.MI,28.195,28.215,28.03,28.215,465
2024-10-11,TRVL.MI,28.245,28.245,28.21,28.21,1
2024-10-14,TRVL.MI,27.98,28.27,27.98,28.145,1160
2024-10-15,TRVL.MI,28.345,28.35,27.885,27.885,3648
2024-10-16,TRVL.MI,27.57,27.94,27.57,27.85,2265
2024-10-17,TRVL.MI,27.935,28.19,27.845,28.09,2469
2024-10-18,TRVL.MI,28.205,28.355,28.18,28.18,493
2024-10-21,TRVL.MI,28.05,28.085,27.745,27.745,20107
2024-10-22,TRVL.MI,27.855,27.96,27.71,27.755,5477
2024-10-23,TRVL.MI,27.815,27.965,27.72,27.72,24705
2024-10-24,TRVL.MI,28.095,28.28,28.095,28.115,48608
2024-10-25,TRVL.MI,27.97,28.105,27.97,28.045,321
2024-10-28,TRVL.MI,28.275,28.4,28.14,28.14,4730
2024-10-29,TRVL.MI,28.425,28.425,28.11,28.11,2078
2024-10-30,TRVL.MI,27.685,27.92,27.685,27.92,783
2024-10-31,TRVL.MI,27.445,27.49,27.3,27.3,251
2024-11-01,TRVL.MI,27.4,27.79,27.4,27.79,103
2024-11-04,TRVL.MI,27.695,27.745,27.27,27.27,686
2024-11-05,TRVL.MI,27.465,27.465,27.35,27.45,861
2024-11-06,TRVL.MI,27.675,27.925,27.07,27.07,1810
2024-11-07,TRVL.MI,27.42,27.9,27.42,27.9,840
2024-11-08,TRVL.MI,27.64,27.64,27.04,27.04,1511
2024-11-11,TRVL.MI,27.475,27.53,27.4,27.45,1016
2024-11-12,TRVL.MI,27.045,27.045,26.675,26.675,3853
2024-11-13,TRVL.MI,26.775,26.775,26.635,26.69,1122
2024-11-14,TRVL.MI,26.705,27.145,26.705,27.08,432
2024-11-15,TRVL.MI,26.92,27.125,26.695,26.695,2146
2024-11-18,TRVL.MI,26.885,26.885,26.695,26.695,34
2024-11-19,TRVL.MI,26.81,26.81,26.4,26.44,11041
2024-11-20,TRVL.MI,26.78,26.78,26.315,26.315,5356
2024-11-21,TRVL.MI,26.335,26.545,26.265,26.545,88675
2024-11-22,TRVL.MI,26.95,27.035,26.545,26.975,20
2024-11-25,TRVL.MI,27.305,27.305,27.205,27.275,617
2024-11-26,TRVL.MI,27.06,27.27,27.025,27.025,2922
2024-11-27,TRVL.MI,27.16,27.16,27.015,27.08,2245
2024-11-28,TRVL.MI,27.23,27.23,27.035,27.035,1111
2024-11-29,TRVL.MI,27.04,27.165,27.0,27.0,699
2024-12-02,TRVL.MI,27.13,27.61,27.13,27.36,4371
2024-12-03,TRVL.MI,27.735,28.075,27.665,27.95,946
2024-12-04,TRVL.MI,27.955,28.05,27.785,27.785,1030
2024-12-05,TRVL.MI,27.98,28.34,27.98,28.34,3440
2024-12-06,TRVL.MI,28.435,28.58,28.435,28.535,443
2024-12-09,TRVL.MI,28.835,29.1,28.665,28.95,1314
2024-12-10,TRVL.MI,28.59,28.68,28.395,28.395,556
2024-12-11,TRVL.MI,28.335,28.75,28.335,28.75,8344
2024-12-12,TRVL.MI,28.71,28.71,28.555,28.62,1143
2024-12-13,TRVL.MI,28.78,28.8,28.56,28.715,898
2024-12-16,TRVL.MI,28.22,28.61,28.21,28.42,4101
2024-12-17,TRVL.MI,28.16,28.5,28.16,28.325,280
2024-12-18,TRVL.MI,28.35,28.565,28.35,28.565,2044
2024-12-19,TRVL.MI,28.01,28.23,27.905,28.005,6799
2024-12-20,TRVL.MI,27.895,28.12,27.69,27.865,3200
2024-12-23,TRVL.MI,27.95,28.04,27.855,28.04,364
2024-12-27,TRVL.MI,27.99,28.145,27.88,27.88,835
2024-12-30,TRVL.MI,28.055,28.055,27.96,27.96,1
2025-01-02,TRVL.MI,27.975,28.165,27.89,27.95,237
2025-01-03,TRVL.MI,28.055,28.055,27.6,27.6,1
2025-01-06,TRVL.MI,28.175,28.175,27.86,28.155,237
2025-01-07,TRVL.MI,28.1,28.29,28.1,28.245,911
2025-01-08,TRVL.MI,28.21,28.21,27.925,28.04,2584
2025-01-09,TRVL.MI,27.955,28.225,27.955,28.15,14
2025-01-10,TRVL.MI,28.215,28.325,27.795,27.795,1142
2025-01-13,TRVL.MI,27.87,27.98,27.72,27.98,952
2025-01-14,TRVL.MI,28.14,28.14,27.845,27.845,151
2025-01-15,TRVL.MI,27.83,28.28,27.83,28.28,307
2025-01-16,TRVL.MI,28.925,29.075,28.875,28.875,1221
2025-01-17,TRVL.MI,29.0,29.18,29.0,29.13,644
2025-01-20,TRVL.MI,29.025,29.365,29.015,29.365,5693
2025-01-21,TRVL.MI,29.29,29.365,29.29,29.34,3080
2025-01-22,TRVL.MI,29.51,29.705,29.49,29.64,2251
