Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,USAUSW.MI,14.174,14.174,14.174,14.174,0
2018-01-03,USAUSW.MI,14.265,14.265,14.265,14.265,0
2018-01-04,USAUSW.MI,14.325,14.325,14.325,14.325,0
2018-01-05,USAUSW.MI,14.424,14.424,14.424,14.424,0
2018-01-08,USAUSW.MI,14.451,14.451,14.451,14.451,0
2018-01-09,USAUSW.MI,14.474,14.474,14.474,14.474,0
2018-01-10,USAUSW.MI,14.455,14.455,14.455,14.455,0
2018-01-11,USAUSW.MI,14.56,14.56,14.56,14.56,0
2018-01-12,USAUSW.MI,14.654,14.654,14.654,14.654,0
2018-01-15,USAUSW.MI,14.654,14.654,14.654,14.654,0
2018-01-16,USAUSW.MI,14.6,14.6,14.6,14.6,0
2018-01-17,USAUSW.MI,14.737,14.737,14.737,14.737,0
2018-01-18,USAUSW.MI,14.715,14.715,14.715,14.715,0
2018-01-19,USAUSW.MI,14.785,14.785,14.785,14.785,0
2018-01-22,USAUSW.MI,14.905,14.905,14.905,14.905,0
2018-01-23,USAUSW.MI,14.939,14.939,14.939,14.939,0
2018-01-24,USAUSW.MI,14.931,14.931,14.931,14.931,0
2018-01-25,USAUSW.MI,14.94,14.94,14.94,14.94,0
2018-01-26,USAUSW.MI,15.115,15.115,15.115,15.115,0
2018-01-29,USAUSW.MI,15.014,15.014,15.014,15.014,0
2018-01-30,USAUSW.MI,14.852,14.852,14.852,14.852,0
2018-01-31,USAUSW.MI,14.86,14.86,14.86,14.86,0
2018-02-01,USAUSW.MI,14.854,14.854,14.854,14.854,0
2018-02-02,USAUSW.MI,14.543,14.543,14.543,14.543,0
2018-02-05,USAUSW.MI,13.95,13.95,13.95,13.95,0
2018-02-06,USAUSW.MI,14.191,14.191,14.191,14.191,0
2018-02-07,USAUSW.MI,14.125,14.125,14.125,14.125,0
2018-02-08,USAUSW.MI,13.6,13.6,13.6,13.6,0
2018-02-09,USAUSW.MI,13.802,13.802,13.802,13.802,0
2018-02-12,USAUSW.MI,13.992,13.992,13.992,13.992,0
2018-02-13,USAUSW.MI,14.033,14.033,14.033,14.033,0
2018-02-14,USAUSW.MI,14.228,14.228,14.228,14.228,0
2018-02-15,USAUSW.MI,14.402,14.402,14.402,14.402,0
2018-02-16,USAUSW.MI,14.407,14.407,14.407,14.407,0
2018-02-20,USAUSW.MI,14.324,14.324,14.324,14.324,0
2018-02-21,USAUSW.MI,14.248,14.248,14.248,14.248,0
2018-02-22,USAUSW.MI,14.258,14.258,14.258,14.258,0
2018-02-23,USAUSW.MI,14.486,14.486,14.486,14.486,0
2018-02-26,USAUSW.MI,14.65,14.65,14.65,14.65,0
2018-02-27,USAUSW.MI,14.466,14.466,14.466,14.466,0
2018-02-28,USAUSW.MI,14.309,14.309,14.309,14.309,0
2018-03-01,USAUSW.MI,14.125,14.125,14.125,14.125,0
2018-03-02,USAUSW.MI,14.204,14.204,14.204,14.204,0
2018-03-05,USAUSW.MI,14.361,14.361,14.361,14.361,0
2018-03-06,USAUSW.MI,14.404,14.404,14.404,14.404,0
2018-03-07,USAUSW.MI,14.402,14.402,14.402,14.402,0
2018-03-08,USAUSW.MI,14.467,14.467,14.467,14.467,0
2018-03-09,USAUSW.MI,14.713,14.713,14.713,14.713,0
2018-03-12,USAUSW.MI,14.698,14.698,14.698,14.698,0
2018-03-13,USAUSW.MI,14.606,14.606,14.606,14.606,0
2018-03-14,USAUSW.MI,14.528,14.528,14.528,14.528,0
2018-03-15,USAUSW.MI,14.515,14.515,14.515,14.515,0
2018-03-16,USAUSW.MI,14.541,14.541,14.541,14.541,0
2018-03-20,USAUSW.MI,14.358,14.358,14.358,14.358,0
2018-03-21,USAUSW.MI,14.337,14.337,14.337,14.337,0
2018-03-22,USAUSW.MI,13.977,13.977,13.977,13.977,0
2018-03-23,USAUSW.MI,13.686,13.686,13.686,13.686,0
2018-03-26,USAUSW.MI,14.053,14.053,14.053,14.053,0
