Date,Ticker,Open,High,Low,Close,Volume
2020-08-03,USPA.MI,21.61,21.785,21.61,21.76,110
2020-08-04,USPA.MI,21.64,21.795,21.64,21.72,800
2020-08-05,USPA.MI,21.715,21.715,21.64,21.64,300
2020-08-06,USPA.MI,21.73,21.73,21.725,21.725,25
2020-08-07,USPA.MI,21.725,21.725,21.725,21.725,0
2020-08-10,USPA.MI,21.725,21.725,21.725,21.725,0
2020-08-11,USPA.MI,22.195,22.195,22.16,22.16,150
2020-08-12,USPA.MI,22.16,22.16,22.16,22.16,0
2020-08-13,USPA.MI,22.16,22.16,22.16,22.16,0
2020-08-14,USPA.MI,22.01,22.08,22.01,22.08,300
2020-08-17,USPA.MI,22.08,22.08,22.08,22.08,0
2020-08-18,USPA.MI,22.08,22.08,22.08,22.08,0
2020-08-19,USPA.MI,22.08,22.08,22.08,22.08,0
2020-08-20,USPA.MI,22.08,22.08,22.08,22.08,0
2020-08-21,USPA.MI,22.23,22.325,22.23,22.325,390
2020-08-24,USPA.MI,22.47,22.475,22.47,22.475,400
2020-08-25,USPA.MI,22.56,22.59,22.495,22.56,1450
2020-08-26,USPA.MI,22.56,22.56,22.56,22.56,0
2020-08-27,USPA.MI,22.885,23.055,22.885,23.055,20
2020-08-28,USPA.MI,23.055,23.055,23.055,23.055,0
2020-08-31,USPA.MI,23.055,23.055,23.055,23.055,0
2020-09-01,USPA.MI,23.055,23.055,23.055,23.055,0
2020-09-02,USPA.MI,23.055,23.055,23.055,23.055,0
2020-09-03,USPA.MI,22.78,22.845,22.78,22.845,500
2020-09-04,USPA.MI,22.685,22.685,22.135,22.135,1900
2020-09-07,USPA.MI,22.415,22.54,22.415,22.54,500
2020-09-08,USPA.MI,22.54,22.54,22.54,22.54,0
2020-09-09,USPA.MI,22.54,22.54,22.54,22.54,0
2020-09-10,USPA.MI,22.54,22.54,22.54,22.54,0
2020-09-11,USPA.MI,22.54,22.54,22.54,22.54,0
2020-09-14,USPA.MI,22.54,22.54,22.54,22.54,0
2020-09-15,USPA.MI,22.54,22.54,22.54,22.54,0
2020-09-16,USPA.MI,22.37,22.39,22.37,22.39,500
2020-09-17,USPA.MI,22.04,22.045,22.035,22.035,1000
2020-09-18,USPA.MI,22.035,22.035,22.035,22.035,0
2020-09-21,USPA.MI,21.56,21.56,21.355,21.355,375
2020-09-22,USPA.MI,21.71,21.735,21.705,21.705,990
2020-09-23,USPA.MI,21.705,21.705,21.705,21.705,0
2020-09-24,USPA.MI,21.705,21.705,21.705,21.705,0
2020-09-25,USPA.MI,21.705,21.705,21.705,21.705,0
2020-09-28,USPA.MI,22.265,22.28,22.265,22.28,500
2020-09-29,USPA.MI,22.21,22.21,22.08,22.08,500
2020-09-30,USPA.MI,22.08,22.08,22.08,22.08,0
2020-10-01,USPA.MI,22.08,22.08,22.08,22.08,0
2020-10-02,USPA.MI,22.285,22.285,22.27,22.27,115
2020-10-05,USPA.MI,22.28,22.4,22.28,22.4,227
2020-10-06,USPA.MI,22.425,22.45,22.415,22.415,395
2020-10-07,USPA.MI,22.33,22.465,22.33,22.445,3645
2020-10-08,USPA.MI,22.735,22.76,22.705,22.705,565
2020-10-09,USPA.MI,22.795,22.795,22.785,22.785,267
2020-10-12,USPA.MI,23.075,23.225,23.075,23.225,423
2020-10-13,USPA.MI,23.33,23.4,23.33,23.4,16
2020-10-14,USPA.MI,23.3,23.315,23.225,23.225,279
2020-10-15,USPA.MI,22.905,23.055,22.905,23.03,636
2020-10-16,USPA.MI,23.125,23.2,23.125,23.2,101
2020-10-19,USPA.MI,23.065,23.135,22.89,22.89,170
2020-10-20,USPA.MI,22.62,22.635,22.62,22.635,31
2020-10-21,USPA.MI,22.645,22.76,22.59,22.59,593
2020-10-22,USPA.MI,22.615,22.71,22.615,22.645,345
2020-10-23,USPA.MI,22.795,22.795,22.745,22.745,267
2020-10-26,USPA.MI,22.635,22.715,22.395,22.395,283
2020-10-27,USPA.MI,22.555,22.555,22.38,22.42,558
2020-10-28,USPA.MI,22.425,22.425,21.87,21.88,798
2020-10-29,USPA.MI,22.055,22.055,22.055,22.055,6
2020-10-30,USPA.MI,21.94,21.99,21.725,21.92,367
2020-11-02,USPA.MI,22.2,22.21,22.18,22.21,301
2020-11-03,USPA.MI,22.21,22.21,22.21,22.21,0
2020-11-04,USPA.MI,22.795,23.235,22.795,23.235,331
2020-11-05,USPA.MI,23.415,23.415,23.285,23.4,3531
2020-11-06,USPA.MI,23.23,23.23,22.965,23.185,1967
2020-11-09,USPA.MI,23.61,24.145,23.61,24.0,567
2020-11-10,USPA.MI,23.595,23.595,23.385,23.4,1439
2020-11-11,USPA.MI,23.56,23.735,23.56,23.735,618
2020-11-12,USPA.MI,23.6,23.6,23.585,23.585,36
2020-11-13,USPA.MI,23.56,23.66,23.525,23.555,411
2020-11-16,USPA.MI,23.85,23.93,23.84,23.93,1077
2020-11-17,USPA.MI,23.8,23.8,23.64,23.71,1338
2020-11-18,USPA.MI,23.7,23.775,23.7,23.74,116
2020-11-19,USPA.MI,23.395,23.485,23.395,23.485,801
2020-11-20,USPA.MI,23.505,23.525,23.46,23.525,564
2020-11-23,USPA.MI,23.46,23.53,23.425,23.44,239
2020-11-24,USPA.MI,23.635,23.74,23.62,23.74,290
2020-11-25,USPA.MI,23.69,23.72,23.69,23.705,139
2020-11-26,USPA.MI,23.705,23.705,23.705,23.705,0
2020-11-27,USPA.MI,23.8,23.8,23.765,23.765,200
2020-11-30,USPA.MI,23.615,23.67,23.51,23.56,161
2020-12-01,USPA.MI,23.85,23.915,23.815,23.825,862
2020-12-02,USPA.MI,23.78,23.78,23.62,23.685,1411
2020-12-03,USPA.MI,23.62,23.655,23.62,23.655,194
2020-12-04,USPA.MI,23.71,23.755,23.71,23.755,139
2020-12-07,USPA.MI,23.825,23.945,23.795,23.795,300
2020-12-08,USPA.MI,23.795,23.795,23.795,23.795,0
2020-12-09,USPA.MI,23.94,23.94,23.895,23.895,150
2020-12-10,USPA.MI,23.715,23.715,23.48,23.64,266
2020-12-11,USPA.MI,23.49,23.53,23.45,23.48,15855
2020-12-14,USPA.MI,23.665,23.78,23.665,23.665,24263
2020-12-15,USPA.MI,23.625,23.625,23.505,23.505,442
2020-12-16,USPA.MI,23.71,23.71,23.66,23.685,866
2020-12-17,USPA.MI,23.755,23.755,23.62,23.675,5052
2020-12-18,USPA.MI,23.68,23.685,23.58,23.58,1784
2020-12-21,USPA.MI,23.39,23.54,23.29,23.42,1290
2020-12-22,USPA.MI,23.64,23.72,23.64,23.695,1154
2020-12-23,USPA.MI,23.66,23.71,23.66,23.71,119
2020-12-28,USPA.MI,23.71,23.71,23.71,23.71,0
2020-12-29,USPA.MI,23.995,23.995,23.865,23.865,294
2020-12-30,USPA.MI,23.835,23.835,23.775,23.775,27
2021-01-04,USPA.MI,23.99,24.0,23.57,23.57,610
2021-01-05,USPA.MI,23.635,23.645,23.555,23.555,1425
2021-01-06,USPA.MI,23.54,23.925,23.54,23.925,1650
2021-01-07,USPA.MI,23.935,24.155,23.92,24.155,149
2021-01-08,USPA.MI,24.265,24.345,24.24,24.24,1570
2021-01-11,USPA.MI,24.32,24.465,24.32,24.465,3013
2021-01-12,USPA.MI,24.455,24.485,24.335,24.345,1145
2021-01-13,USPA.MI,24.3,24.4,24.245,24.4,1792
2021-01-14,USPA.MI,24.375,24.45,24.375,24.415,165
