Date,Ticker,Open,High,Low,Close,Volume
2021-06-11,VDTE.MI,28.885,28.885,28.82,28.82,200
2021-06-14,VDTE.MI,28.82,28.82,28.78,28.78,290
2021-06-15,VDTE.MI,28.78,28.78,28.78,28.78,0
2021-06-16,VDTE.MI,28.78,28.78,28.78,28.78,0
2021-06-17,VDTE.MI,28.72,28.745,28.72,28.745,100
2021-06-18,VDTE.MI,28.745,28.745,28.745,28.745,0
2021-06-21,VDTE.MI,28.745,28.745,28.745,28.745,0
2021-06-22,VDTE.MI,28.745,28.745,28.745,28.745,0
2021-06-23,VDTE.MI,28.745,28.745,28.745,28.745,0
2021-06-24,VDTE.MI,28.745,28.745,28.745,28.745,0
2021-06-25,VDTE.MI,28.745,28.745,28.745,28.745,0
2021-06-28,VDTE.MI,28.745,28.745,28.745,28.745,0
2021-06-29,VDTE.MI,28.745,28.745,28.745,28.745,0
2021-06-30,VDTE.MI,28.745,28.745,28.745,28.745,0
2021-07-01,VDTE.MI,28.745,28.745,28.745,28.745,0
2021-07-02,VDTE.MI,28.865,28.865,28.865,28.865,3
2021-07-05,VDTE.MI,28.865,28.865,28.865,28.865,0
2021-07-06,VDTE.MI,29.01,29.01,29.005,29.01,9678
2021-07-07,VDTE.MI,29.01,29.01,29.01,29.01,0
2021-07-08,VDTE.MI,29.145,29.145,29.125,29.125,7229
2021-07-09,VDTE.MI,29.06,29.06,29.02,29.02,1000
2021-07-12,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-13,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-14,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-15,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-16,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-19,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-20,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-21,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-22,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-23,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-26,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-27,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-28,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-29,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-07-30,VDTE.MI,29.02,29.02,29.02,29.02,0
2021-08-02,VDTE.MI,29.245,29.295,29.245,29.295,6
2021-08-03,VDTE.MI,29.295,29.295,29.295,29.295,0
2021-08-04,VDTE.MI,29.295,29.295,29.295,29.295,0
2021-08-05,VDTE.MI,29.26,29.26,29.22,29.22,500
2021-08-06,VDTE.MI,29.22,29.22,29.22,29.22,0
2021-08-09,VDTE.MI,29.08,29.08,29.075,29.075,200
2021-08-10,VDTE.MI,29.075,29.075,29.075,29.075,0
2021-08-11,VDTE.MI,29.075,29.075,29.075,29.075,0
2021-08-12,VDTE.MI,28.98,29.0,28.98,29.0,9063
2021-08-13,VDTE.MI,29.0,29.0,29.0,29.0,0
2021-08-16,VDTE.MI,29.0,29.0,29.0,29.0,0
2021-08-17,VDTE.MI,29.0,29.0,29.0,29.0,0
2021-08-18,VDTE.MI,29.0,29.0,29.0,29.0,0
2021-08-19,VDTE.MI,29.0,29.0,29.0,29.0,0
2021-08-20,VDTE.MI,29.0,29.0,29.0,29.0,0
2021-08-23,VDTE.MI,29.0,29.0,29.0,29.0,0
2021-08-24,VDTE.MI,29.14,29.155,29.14,29.155,1000
2021-08-25,VDTE.MI,29.155,29.155,29.155,29.155,0
2021-08-26,VDTE.MI,29.155,29.155,29.155,29.155,0
2021-08-27,VDTE.MI,29.155,29.155,29.155,29.155,0
2021-08-30,VDTE.MI,29.155,29.155,29.155,29.155,0
2021-08-31,VDTE.MI,29.195,29.195,29.14,29.14,100
2021-09-01,VDTE.MI,29.105,29.13,29.08,29.13,9013
2021-09-02,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-03,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-06,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-07,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-08,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-09,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-10,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-13,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-14,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-15,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-16,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-17,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-20,VDTE.MI,29.13,29.13,29.13,29.13,0
2021-09-21,VDTE.MI,29.15,29.185,29.15,29.185,324
2021-09-22,VDTE.MI,29.185,29.185,29.185,29.185,0
2021-09-23,VDTE.MI,29.145,29.145,29.01,29.01,8999
2021-09-24,VDTE.MI,29.01,29.01,29.01,29.01,0
2021-09-27,VDTE.MI,29.01,29.01,29.01,29.01,0
2021-09-28,VDTE.MI,28.78,28.8,28.78,28.8,200
2021-09-29,VDTE.MI,28.8,28.8,28.8,28.8,0
2021-09-30,VDTE.MI,28.8,28.8,28.8,28.8,0
2021-10-01,VDTE.MI,28.8,28.8,28.8,28.8,0
2021-10-04,VDTE.MI,28.8,28.8,28.8,28.8,0
2021-10-05,VDTE.MI,28.8,28.8,28.8,28.8,0
2021-10-06,VDTE.MI,28.725,28.795,28.725,28.795,200
