Date,Ticker,Open,High,Low,Close,Volume
2021-08-05,VITA.MI,4.329,4.338,4.306,4.306,2017
2021-08-06,VITA.MI,4.319,4.337,4.312,4.321,4336
2021-08-09,VITA.MI,4.367,4.37,4.356,4.356,12019
2021-08-10,VITA.MI,4.376,4.393,4.364,4.37,3367
2021-08-11,VITA.MI,4.383,4.411,4.347,4.372,11985
2021-08-12,VITA.MI,4.4,4.405,4.389,4.389,2335
2021-08-13,VITA.MI,4.408,4.409,4.385,4.385,3750
2021-08-16,VITA.MI,4.358,4.358,4.33,4.333,3216
2021-08-17,VITA.MI,4.319,4.319,4.272,4.293,1400
2021-08-18,VITA.MI,4.309,4.312,4.306,4.312,11297
2021-08-19,VITA.MI,4.266,4.271,4.243,4.265,1415
2021-08-20,VITA.MI,4.274,4.298,4.267,4.298,3210
2021-08-23,VITA.MI,4.354,4.358,4.342,4.358,1725
2021-08-24,VITA.MI,4.38,4.39,4.355,4.38,4750
2021-08-25,VITA.MI,4.404,4.409,4.398,4.398,5750
2021-08-26,VITA.MI,4.38,4.393,4.355,4.368,11849
2021-08-27,VITA.MI,4.388,4.391,4.381,4.391,4033
2021-08-30,VITA.MI,4.393,4.431,4.393,4.418,17083
2021-08-31,VITA.MI,4.456,4.462,4.419,4.419,7921
2021-09-01,VITA.MI,4.442,4.442,4.424,4.424,3463
2021-09-02,VITA.MI,4.438,4.446,4.438,4.445,2560
2021-09-03,VITA.MI,4.451,4.456,4.423,4.431,4541
2021-09-06,VITA.MI,4.455,4.457,4.45,4.451,1922
2021-09-07,VITA.MI,4.436,4.436,4.387,4.403,9743
2021-09-08,VITA.MI,4.374,4.4,4.36,4.365,30308
2021-09-09,VITA.MI,4.35,4.384,4.35,4.384,574
2021-09-10,VITA.MI,4.4,4.41,4.381,4.381,1002
2021-09-13,VITA.MI,4.398,4.398,4.366,4.366,1075
2021-09-14,VITA.MI,4.389,4.393,4.372,4.372,2360
2021-09-15,VITA.MI,4.35,4.359,4.333,4.333,2430
2021-09-16,VITA.MI,4.371,4.371,4.335,4.335,1157
2021-09-17,VITA.MI,4.355,4.355,4.324,4.324,350
2021-09-20,VITA.MI,4.285,4.285,4.218,4.236,1947
2021-09-21,VITA.MI,4.266,4.266,4.246,4.246,1760
2021-09-22,VITA.MI,4.297,4.297,4.288,4.296,2631
2021-09-23,VITA.MI,4.352,4.357,4.339,4.339,3779
2021-09-24,VITA.MI,4.337,4.337,4.318,4.318,1300
2021-09-27,VITA.MI,4.332,4.332,4.29,4.323,9070
2021-09-28,VITA.MI,4.293,4.293,4.225,4.238,1641
2021-09-29,VITA.MI,4.27,4.27,4.252,4.252,250
2021-09-30,VITA.MI,4.3,4.3,4.25,4.261,4800
2021-10-01,VITA.MI,4.199,4.251,4.18,4.222,3287
2021-10-04,VITA.MI,4.207,4.222,4.177,4.177,2717
2021-10-05,VITA.MI,4.161,4.23,4.161,4.201,1732
2021-10-06,VITA.MI,4.201,4.201,4.201,4.201,0
2021-10-07,VITA.MI,4.24,4.27,4.235,4.265,4488
2021-10-08,VITA.MI,4.253,4.257,4.23,4.233,3470
2021-10-11,VITA.MI,4.199,4.25,4.198,4.241,6407
2021-10-12,VITA.MI,4.206,4.275,4.206,4.275,5060
2021-10-13,VITA.MI,4.32,4.326,4.311,4.311,3765
2021-10-14,VITA.MI,4.33,4.38,4.33,4.363,493
2021-10-15,VITA.MI,4.397,4.417,4.397,4.41,8615
2021-10-18,VITA.MI,4.4,4.4,4.37,4.37,355
2021-10-19,VITA.MI,4.4,4.419,4.377,4.419,6383
2021-10-20,VITA.MI,4.442,4.464,4.422,4.443,3514
2021-10-21,VITA.MI,4.439,4.465,4.439,4.444,750
2021-10-22,VITA.MI,4.444,4.444,4.444,4.444,0
2021-10-25,VITA.MI,4.494,4.509,4.494,4.509,31
2021-10-26,VITA.MI,4.537,4.54,4.518,4.518,2594
2021-10-27,VITA.MI,4.523,4.523,4.5,4.51,482
2021-10-28,VITA.MI,4.456,4.517,4.456,4.517,7189
2021-10-29,VITA.MI,4.517,4.517,4.517,4.517,0
2021-11-01,VITA.MI,4.635,4.64,4.603,4.622,2859
2021-11-02,VITA.MI,4.64,4.64,4.62,4.626,4260
2021-11-03,VITA.MI,4.634,4.635,4.591,4.621,3257
2021-11-04,VITA.MI,4.65,4.654,4.646,4.646,3047
2021-11-05,VITA.MI,4.689,4.693,4.657,4.672,4990
2021-11-08,VITA.MI,4.688,4.712,4.686,4.704,3426
2021-11-09,VITA.MI,4.7,4.702,4.682,4.692,9639
2021-11-10,VITA.MI,4.693,4.724,4.69,4.708,2035
2021-11-11,VITA.MI,4.75,4.775,4.726,4.751,3040
2021-11-12,VITA.MI,4.769,4.793,4.769,4.793,1991
2021-11-15,VITA.MI,4.799,4.867,4.789,4.789,10400
2021-11-16,VITA.MI,4.791,4.806,4.79,4.796,1096
2021-11-17,VITA.MI,4.815,4.815,4.798,4.798,1095
2021-11-18,VITA.MI,4.808,4.817,4.751,4.771,5249
2021-11-19,VITA.MI,4.79,4.794,4.762,4.778,3747
2021-11-22,VITA.MI,4.825,4.826,4.823,4.826,1010
2021-11-23,VITA.MI,4.75,4.791,4.727,4.727,3110
2021-11-24,VITA.MI,4.758,4.758,4.74,4.74,6200
2021-11-25,VITA.MI,4.75,4.766,4.75,4.753,2750
2021-11-26,VITA.MI,4.6,4.637,4.536,4.584,3069
2021-11-29,VITA.MI,4.67,4.67,4.629,4.629,613
2021-11-30,VITA.MI,4.58,4.621,4.573,4.589,3617
2021-12-01,VITA.MI,4.6,4.635,4.6,4.635,4786
2021-12-02,VITA.MI,4.543,4.558,4.522,4.551,3507
2021-12-03,VITA.MI,4.568,4.577,4.499,4.499,630
2021-12-06,VITA.MI,4.515,4.555,4.515,4.538,944
2021-12-07,VITA.MI,4.647,4.671,4.647,4.671,4200
2021-12-08,VITA.MI,4.686,4.686,4.641,4.641,2506
2021-12-09,VITA.MI,4.629,4.645,4.619,4.619,1500
2021-12-10,VITA.MI,4.596,4.605,4.573,4.573,753
2021-12-13,VITA.MI,4.622,4.622,4.555,4.555,1652
2021-12-14,VITA.MI,4.53,4.53,4.47,4.481,37956
2021-12-15,VITA.MI,4.502,4.503,4.46,4.47,1576
2021-12-16,VITA.MI,4.562,4.562,4.516,4.516,2476
2021-12-17,VITA.MI,4.498,4.498,4.455,4.495,684
2021-12-20,VITA.MI,4.389,4.389,4.361,4.361,705
2021-12-21,VITA.MI,4.424,4.458,4.424,4.444,1375
2021-12-22,VITA.MI,4.48,4.48,4.463,4.476,1230
2021-12-23,VITA.MI,4.524,4.528,4.524,4.528,1700
2021-12-27,VITA.MI,4.532,4.561,4.53,4.545,1277
2021-12-28,VITA.MI,4.587,4.587,4.565,4.565,104
2021-12-29,VITA.MI,4.594,4.595,4.562,4.562,3120
2021-12-30,VITA.MI,4.586,4.595,4.586,4.595,185
2022-01-03,VITA.MI,4.626,4.638,4.6,4.602,610
2022-01-04,VITA.MI,4.643,4.643,4.561,4.583,2566
2022-01-05,VITA.MI,4.561,4.595,4.561,4.569,11826
2022-01-06,VITA.MI,4.483,4.483,4.464,4.464,1610
2022-01-07,VITA.MI,4.419,4.464,4.4,4.411,1935
2022-01-10,VITA.MI,4.38,4.389,4.31,4.326,223
2022-01-11,VITA.MI,4.34,4.376,4.34,4.359,6590
2022-01-12,VITA.MI,4.42,4.42,4.382,4.382,2896
2022-01-13,VITA.MI,4.396,4.396,4.374,4.374,687
2022-01-14,VITA.MI,4.348,4.348,4.289,4.289,2045
2022-01-17,VITA.MI,4.262,4.312,4.262,4.292,1089
2022-01-18,VITA.MI,4.258,4.258,4.238,4.238,706
2022-01-19,VITA.MI,4.202,4.228,4.198,4.219,2490
2022-01-20,VITA.MI,4.239,4.285,4.239,4.285,1318
2022-01-21,VITA.MI,4.205,4.208,4.12,4.166,1100
2022-01-24,VITA.MI,4.12,4.13,3.974,3.974,1692
2022-01-25,VITA.MI,4.068,4.068,4.011,4.011,210
2022-01-26,VITA.MI,4.098,4.098,4.085,4.085,17
2022-01-27,VITA.MI,4.009,4.041,4.009,4.041,512
2022-01-28,VITA.MI,3.97,3.988,3.97,3.988,100
2022-01-31,VITA.MI,4.061,4.084,4.043,4.084,1981
2022-02-01,VITA.MI,4.13,4.157,4.117,4.117,27534
2022-02-02,VITA.MI,4.14,4.159,4.127,4.127,821
2022-02-03,VITA.MI,4.107,4.107,4.023,4.023,255
2022-02-04,VITA.MI,4.023,4.023,3.945,3.945,1261
2022-02-07,VITA.MI,3.995,3.995,3.934,3.967,6371
2022-02-08,VITA.MI,3.984,3.984,3.965,3.965,230
2022-02-09,VITA.MI,4.06,4.083,4.06,4.063,850
2022-02-10,VITA.MI,4.06,4.06,4.023,4.036,2620
2022-02-11,VITA.MI,4.02,4.022,4.003,4.003,730
2022-02-14,VITA.MI,3.962,3.962,3.857,3.944,2240
2022-02-15,VITA.MI,4.0,4.023,4.0,4.015,302
2022-02-16,VITA.MI,4.037,4.037,4.016,4.016,5
2022-02-17,VITA.MI,4.016,4.016,4.016,4.016,0
2022-02-18,VITA.MI,3.984,3.984,3.969,3.969,1590
2022-02-21,VITA.MI,3.926,3.938,3.917,3.917,88
2022-02-22,VITA.MI,3.885,3.918,3.885,3.918,2097
2022-02-23,VITA.MI,3.929,3.929,3.872,3.882,1120
2022-02-24,VITA.MI,3.78,3.88,3.75,3.88,2601
2022-02-25,VITA.MI,3.88,3.88,3.88,3.88,0
2022-02-28,VITA.MI,3.88,3.88,3.88,3.88,0
2022-03-01,VITA.MI,4.104,4.128,4.091,4.091,206
2022-03-02,VITA.MI,4.102,4.103,4.102,4.103,10
2022-03-03,VITA.MI,4.103,4.103,4.103,4.103,0
2022-03-04,VITA.MI,4.007,4.022,4.007,4.022,2000
2022-03-07,VITA.MI,3.941,4.057,3.941,4.056,2346
2022-03-08,VITA.MI,4.037,4.093,4.037,4.093,492
2022-03-09,VITA.MI,4.155,4.177,4.155,4.177,100
2022-03-10,VITA.MI,4.17,4.17,4.13,4.13,1000
2022-03-11,VITA.MI,4.234,4.234,4.199,4.199,1000
2022-03-14,VITA.MI,4.2,4.203,4.122,4.122,1272
2022-03-15,VITA.MI,4.09,4.139,4.09,4.13,323
2022-03-16,VITA.MI,4.13,4.13,4.13,4.13,0
2022-03-17,VITA.MI,4.225,4.26,4.225,4.255,5065
2022-03-18,VITA.MI,4.28,4.298,4.28,4.298,118
2022-03-21,VITA.MI,4.28,4.313,4.28,4.301,905
2022-03-22,VITA.MI,4.328,4.328,4.32,4.32,240
2022-03-23,VITA.MI,4.345,4.345,4.295,4.295,45
2022-03-24,VITA.MI,4.298,4.298,4.287,4.287,60
2022-03-25,VITA.MI,4.318,4.318,4.26,4.26,191
2022-03-28,VITA.MI,4.291,4.291,4.254,4.277,2623
2022-03-29,VITA.MI,4.288,4.317,4.272,4.302,25311
2022-03-30,VITA.MI,4.311,4.311,4.267,4.29,1925
2022-03-31,VITA.MI,4.294,4.302,4.293,4.302,123
2022-04-01,VITA.MI,4.326,4.332,4.314,4.314,1911
2022-04-04,VITA.MI,4.314,4.314,4.314,4.314,0
2022-04-05,VITA.MI,4.399,4.399,4.386,4.386,228
2022-04-06,VITA.MI,4.28,4.295,4.28,4.295,1000
2022-04-07,VITA.MI,4.27,4.277,4.27,4.277,200
2022-04-08,VITA.MI,4.277,4.277,4.277,4.277,0
2022-04-11,VITA.MI,4.277,4.277,4.277,4.277,0
2022-04-12,VITA.MI,4.277,4.277,4.277,4.277,0
2022-04-13,VITA.MI,4.277,4.277,4.277,4.277,0
2022-04-14,VITA.MI,4.277,4.277,4.277,4.277,0
2022-04-19,VITA.MI,4.259,4.259,4.232,4.256,1143
2022-04-20,VITA.MI,4.273,4.277,4.273,4.277,250
2022-04-21,VITA.MI,4.277,4.277,4.277,4.277,0
2022-04-22,VITA.MI,4.185,4.185,4.174,4.174,345
2022-04-25,VITA.MI,4.174,4.174,4.174,4.174,0
2022-04-26,VITA.MI,4.142,4.142,4.056,4.056,2142
2022-04-27,VITA.MI,4.056,4.056,4.056,4.056,0
2022-04-28,VITA.MI,4.13,4.13,4.107,4.107,220
2022-04-29,VITA.MI,4.182,4.201,4.167,4.167,12
2022-05-02,VITA.MI,4.1,4.1,4.067,4.067,1152
2022-05-03,VITA.MI,4.213,4.213,4.114,4.122,77814
2022-05-04,VITA.MI,4.122,4.122,4.122,4.122,0
2022-05-05,VITA.MI,4.122,4.122,4.122,4.122,0
2022-05-06,VITA.MI,4.01,4.013,4.0,4.013,1150
2022-05-09,VITA.MI,3.954,3.954,3.853,3.853,4065
2022-05-10,VITA.MI,3.853,3.89,3.825,3.825,1809
2022-05-11,VITA.MI,3.841,3.885,3.841,3.868,15825
2022-05-12,VITA.MI,3.785,3.816,3.783,3.816,325
2022-05-13,VITA.MI,3.816,3.816,3.816,3.816,0
2022-05-16,VITA.MI,3.937,3.937,3.914,3.914,222
2022-05-17,VITA.MI,3.967,3.967,3.96,3.96,100
2022-05-18,VITA.MI,3.96,3.96,3.96,3.96,0
2022-05-19,VITA.MI,3.918,3.947,3.918,3.947,340
2022-05-20,VITA.MI,3.948,3.953,3.948,3.953,633
2022-05-23,VITA.MI,3.953,3.953,3.953,3.953,0
2022-05-24,VITA.MI,3.951,3.951,3.9,3.918,1010
2022-05-25,VITA.MI,3.984,3.984,3.96,3.96,120
2022-05-26,VITA.MI,3.96,3.96,3.96,3.96,0
2022-05-27,VITA.MI,4.038,4.085,4.038,4.073,1019
2022-05-30,VITA.MI,4.13,4.13,4.098,4.098,1536
2022-05-31,VITA.MI,4.09,4.09,4.044,4.057,428
2022-06-01,VITA.MI,4.08,4.102,4.054,4.054,395
2022-06-02,VITA.MI,4.054,4.054,4.054,4.054,0
2022-06-03,VITA.MI,4.054,4.054,4.054,4.054,0
2022-06-06,VITA.MI,4.147,4.147,4.127,4.127,975
2022-06-07,VITA.MI,4.111,4.111,4.106,4.106,15
2022-06-08,VITA.MI,4.121,4.121,4.082,4.088,1378
2022-06-09,VITA.MI,4.07,4.07,4.05,4.054,2077
2022-06-10,VITA.MI,4.054,4.054,4.054,4.054,0
2022-06-13,VITA.MI,3.887,3.887,3.841,3.841,29080
2022-06-14,VITA.MI,3.821,3.821,3.776,3.776,700
2022-06-15,VITA.MI,3.75,3.818,3.75,3.799,847
2022-06-16,VITA.MI,3.76,3.76,3.708,3.708,1100
2022-06-17,VITA.MI,3.7,3.757,3.7,3.733,1100
2022-06-20,VITA.MI,3.717,3.756,3.717,3.75,25060
2022-06-21,VITA.MI,3.769,3.78,3.763,3.773,2150
2022-06-22,VITA.MI,3.684,3.714,3.684,3.714,273
2022-06-23,VITA.MI,3.722,3.723,3.722,3.723,11000
2022-06-24,VITA.MI,3.795,3.795,3.786,3.789,1595
2022-06-27,VITA.MI,3.82,3.826,3.82,3.822,2500
2022-06-28,VITA.MI,3.822,3.822,3.822,3.822,0
2022-06-29,VITA.MI,3.789,3.789,3.728,3.728,1052
2022-06-30,VITA.MI,3.728,3.728,3.728,3.728,0
2022-07-01,VITA.MI,3.685,3.734,3.685,3.718,384
2022-07-04,VITA.MI,3.715,3.734,3.715,3.734,500
2022-07-05,VITA.MI,3.734,3.734,3.734,3.734,0
2022-07-06,VITA.MI,3.734,3.734,3.734,3.734,0
2022-07-07,VITA.MI,3.734,3.734,3.734,3.734,0
2022-07-08,VITA.MI,3.734,3.734,3.734,3.734,0
2022-07-11,VITA.MI,3.885,3.885,3.884,3.884,439
2022-07-12,VITA.MI,3.884,3.884,3.884,3.884,0
2022-07-13,VITA.MI,3.848,3.848,3.821,3.832,448
2022-07-14,VITA.MI,3.794,3.794,3.789,3.789,1000
2022-07-15,VITA.MI,3.841,3.841,3.828,3.828,26
2022-07-18,VITA.MI,3.828,3.828,3.828,3.828,0
2022-07-19,VITA.MI,3.828,3.828,3.828,3.828,0
2022-07-20,VITA.MI,3.828,3.828,3.828,3.828,0
2022-07-21,VITA.MI,3.97,3.984,3.97,3.984,240
2022-07-22,VITA.MI,4.023,4.024,4.014,4.014,1624
2022-07-25,VITA.MI,4.0,4.0,3.981,3.981,500
2022-07-26,VITA.MI,3.981,3.981,3.981,3.981,0
2022-07-27,VITA.MI,3.981,3.981,3.981,3.981,0
2022-07-28,VITA.MI,4.142,4.182,4.142,4.182,79060
2022-07-29,VITA.MI,4.245,4.256,4.238,4.24,3644
2022-08-01,VITA.MI,4.27,4.27,4.207,4.221,26962
2022-08-02,VITA.MI,4.198,4.227,4.198,4.227,1000
2022-08-03,VITA.MI,4.268,4.269,4.255,4.255,2500
2022-08-04,VITA.MI,4.293,4.293,4.281,4.281,1000
2022-08-05,VITA.MI,4.305,4.323,4.271,4.284,2082
2022-08-08,VITA.MI,4.284,4.284,4.284,4.284,0
2022-08-09,VITA.MI,4.286,4.301,4.275,4.287,2095
2022-08-10,VITA.MI,4.295,4.363,4.295,4.363,116
2022-08-11,VITA.MI,4.38,4.417,4.38,4.392,1270
2022-08-12,VITA.MI,4.372,4.427,4.372,4.427,1500
2022-08-16,VITA.MI,4.456,4.496,4.449,4.473,5693
2022-08-17,VITA.MI,4.449,4.449,4.407,4.407,80
2022-08-18,VITA.MI,4.398,4.455,4.398,4.445,717
2022-08-19,VITA.MI,4.433,4.433,4.375,4.375,1212
2022-08-22,VITA.MI,4.337,4.337,4.285,4.32,26616
2022-08-23,VITA.MI,4.336,4.336,4.304,4.304,762
2022-08-24,VITA.MI,4.308,4.345,4.288,4.345,3366
2022-08-25,VITA.MI,4.367,4.39,4.36,4.364,1940
2022-08-26,VITA.MI,4.367,4.368,4.284,4.284,569
2022-08-29,VITA.MI,4.216,4.223,4.214,4.216,2448
2022-08-30,VITA.MI,4.262,4.262,4.179,4.179,117
