Date,Ticker,Open,High,Low,Close,Volume
2023-06-21,VMIG.MI,37.08,37.08,37.08,37.08,0
2023-06-22,VMIG.MI,36.4,36.4,36.4,36.4,0
2023-06-23,VMIG.MI,36.18,36.18,36.18,36.18,0
2023-06-26,VMIG.MI,35.855,35.855,35.855,35.855,0
2023-06-27,VMIG.MI,35.9,35.9,35.9,35.9,0
2023-06-28,VMIG.MI,36.445,36.445,36.445,36.445,0
2023-06-29,VMIG.MI,36.2,36.2,36.2,36.2,0
2023-06-30,VMIG.MI,36.745,36.745,36.745,36.745,0
2023-07-03,VMIG.MI,36.85,36.85,36.85,36.85,0
2023-07-04,VMIG.MI,37.055,37.055,37.055,37.055,0
2023-07-05,VMIG.MI,36.83,36.83,36.83,36.83,0
2023-07-06,VMIG.MI,35.975,35.975,35.975,35.975,0
2023-07-07,VMIG.MI,36.12,36.12,36.12,36.12,0
2023-07-10,VMIG.MI,36.065,36.065,36.065,36.065,0
2023-07-11,VMIG.MI,36.37,36.37,36.37,36.37,0
2023-07-12,VMIG.MI,37.31,37.31,37.31,37.31,0
2023-07-13,VMIG.MI,37.405,37.405,37.405,37.405,0
2023-07-14,VMIG.MI,37.23,37.23,37.23,37.23,0
2023-07-17,VMIG.MI,36.81,36.81,36.81,36.81,0
2023-07-18,VMIG.MI,37.13,37.13,37.13,37.13,0
2023-07-19,VMIG.MI,38.015,38.015,38.015,38.015,0
2023-07-20,VMIG.MI,38.155,38.155,38.155,38.155,0
2023-07-21,VMIG.MI,38.035,38.035,38.035,38.035,0
2023-07-24,VMIG.MI,37.875,37.875,37.875,37.875,0
2023-07-25,VMIG.MI,38.225,38.225,38.225,38.225,0
2023-07-26,VMIG.MI,38.345,38.345,38.345,38.345,0
2023-07-27,VMIG.MI,38.65,38.65,38.65,38.65,0
2023-07-28,VMIG.MI,38.26,38.26,38.26,38.26,0
2023-07-31,VMIG.MI,38.355,38.355,38.355,38.355,0
2023-08-01,VMIG.MI,38.035,38.035,38.035,38.035,0
2023-08-02,VMIG.MI,37.545,37.545,37.48,37.48,131
2023-08-03,VMIG.MI,37.555,37.555,37.555,37.555,0
2023-08-04,VMIG.MI,37.625,37.625,37.625,37.625,0
2023-08-07,VMIG.MI,37.61,37.61,37.61,37.61,0
2023-08-08,VMIG.MI,37.605,37.605,37.605,37.605,0
2023-08-09,VMIG.MI,37.655,37.655,37.655,37.655,0
2023-08-10,VMIG.MI,37.86,37.86,37.86,37.86,0
2023-08-11,VMIG.MI,37.58,37.58,37.58,37.58,0
2023-08-14,VMIG.MI,37.515,37.515,37.515,37.515,0
2023-08-16,VMIG.MI,37.43,37.43,37.43,37.43,0
2023-08-17,VMIG.MI,37.165,37.165,37.165,37.165,0
2023-08-18,VMIG.MI,36.555,36.555,36.555,36.555,0
2023-08-21,VMIG.MI,36.21,36.21,36.21,36.21,0
2023-08-22,VMIG.MI,36.505,36.505,36.505,36.505,0
2023-08-23,VMIG.MI,36.705,36.705,36.705,36.705,0
2023-08-24,VMIG.MI,36.71,36.71,36.71,36.71,0
2023-08-25,VMIG.MI,36.465,36.465,36.465,36.465,0
2023-08-28,VMIG.MI,36.81,36.81,36.81,36.81,2892
2023-08-29,VMIG.MI,37.06,37.06,37.06,37.06,0
2023-08-30,VMIG.MI,37.25,37.25,37.25,37.25,0
2023-08-31,VMIG.MI,37.535,37.535,37.535,37.535,0
2023-09-01,VMIG.MI,37.4,37.4,37.4,37.4,0
2023-09-04,VMIG.MI,37.425,37.425,37.425,37.425,0
2023-09-05,VMIG.MI,37.47,37.47,37.47,37.47,0
2023-09-06,VMIG.MI,37.205,37.205,37.205,37.205,0
2023-09-07,VMIG.MI,37.03,37.03,37.03,37.03,0
2023-09-08,VMIG.MI,37.135,37.135,37.135,37.135,0
2023-09-11,VMIG.MI,37.32,37.32,37.32,37.32,0
2023-09-12,VMIG.MI,37.205,37.205,37.205,37.205,0
2023-09-13,VMIG.MI,37.27,37.27,37.27,37.27,0
2023-09-14,VMIG.MI,37.815,37.815,37.815,37.815,0
2023-09-18,VMIG.MI,37.01,37.01,37.01,37.01,0
2023-09-19,VMIG.MI,36.885,36.885,36.885,36.885,0
2023-09-20,VMIG.MI,37.375,37.375,37.375,37.375,0
2023-09-21,VMIG.MI,37.19,37.19,37.19,37.19,0
2023-09-22,VMIG.MI,37.06,37.06,37.06,37.06,0
2023-09-25,VMIG.MI,36.7,36.7,36.7,36.7,0
2023-09-26,VMIG.MI,36.52,36.52,36.52,36.52,0
2023-09-27,VMIG.MI,36.39,36.39,36.39,36.39,0
2023-09-28,VMIG.MI,36.165,36.165,36.165,36.165,0
2023-09-29,VMIG.MI,36.57,36.57,36.57,36.57,0
2023-10-02,VMIG.MI,35.935,35.935,35.935,35.935,0
2023-10-03,VMIG.MI,35.36,35.36,35.36,35.36,0
2023-10-04,VMIG.MI,34.96,34.96,34.96,34.96,0
2023-10-05,VMIG.MI,35.265,35.265,35.265,35.265,0
2023-10-06,VMIG.MI,35.515,35.515,35.515,35.515,0
2023-10-09,VMIG.MI,35.24,35.24,35.24,35.24,0
2023-10-10,VMIG.MI,35.95,35.95,35.95,35.95,0
2023-10-11,VMIG.MI,35.855,35.855,35.855,35.855,0
2023-10-12,VMIG.MI,35.785,35.785,35.785,35.785,0
2023-10-13,VMIG.MI,35.08,35.08,35.08,35.08,0
2023-10-16,VMIG.MI,35.1,35.1,35.1,35.1,0
