Date,Ticker,Open,High,Low,Close,Volume
2020-02-26,VOLT.MI,24.532,24.532,24.532,24.532,0
2020-02-27,VOLT.MI,23.784,23.784,23.784,23.784,0
2020-02-28,VOLT.MI,23.116,23.116,23.116,23.116,0
2020-03-02,VOLT.MI,23.678,23.678,23.678,23.678,0
2020-03-03,VOLT.MI,23.763,23.763,23.763,23.763,0
2020-03-04,VOLT.MI,21.835,21.835,21.655,21.655,286
2020-03-05,VOLT.MI,21.77,21.77,21.3,21.5,5809
2020-03-06,VOLT.MI,20.89,20.91,20.61,20.67,2950
2020-03-09,VOLT.MI,19.48,19.598,19.414,19.414,355
2020-03-10,VOLT.MI,19.994,20.16,19.496,19.496,501
2020-03-11,VOLT.MI,19.4,19.408,19.362,19.362,525
2020-03-12,VOLT.MI,17.312,17.426,17.312,17.344,223
2020-03-13,VOLT.MI,18.176,18.176,17.684,17.684,280
2020-03-16,VOLT.MI,17.684,17.684,17.684,17.684,0
2020-03-17,VOLT.MI,17.684,17.684,17.684,17.684,0
2020-03-18,VOLT.MI,16.3,16.468,16.3,16.326,628
2020-03-19,VOLT.MI,16.326,16.326,16.326,16.326,0
2020-03-20,VOLT.MI,16.326,16.326,16.326,16.326,0
2020-03-23,VOLT.MI,16.326,16.326,16.326,16.326,0
2020-03-24,VOLT.MI,16.69,17.192,16.69,17.192,64
2020-03-25,VOLT.MI,17.77,17.908,17.372,17.602,560
2020-03-26,VOLT.MI,17.302,17.714,17.25,17.714,40
2020-03-27,VOLT.MI,17.118,17.118,17.084,17.084,60
2020-03-30,VOLT.MI,17.084,17.084,17.084,17.084,0
2020-03-31,VOLT.MI,17.28,17.426,17.168,17.426,150
2020-04-01,VOLT.MI,17.426,17.426,17.426,17.426,0
2020-04-02,VOLT.MI,17.426,17.426,17.426,17.426,0
2020-04-03,VOLT.MI,17.426,17.426,17.426,17.426,0
2020-04-06,VOLT.MI,17.64,17.936,17.64,17.856,1088
2020-04-07,VOLT.MI,18.632,18.632,18.15,18.294,3238
2020-04-08,VOLT.MI,18.294,18.294,18.142,18.214,1280
2020-04-09,VOLT.MI,18.652,18.652,18.394,18.576,1122
2020-04-14,VOLT.MI,18.7,18.798,18.65,18.65,3844
2020-04-15,VOLT.MI,19.064,19.064,18.246,18.246,1491
2020-04-16,VOLT.MI,18.542,18.542,18.366,18.454,541
2020-04-17,VOLT.MI,19.092,19.092,18.754,18.754,285
2020-04-20,VOLT.MI,18.858,18.868,18.686,18.686,1865
2020-04-21,VOLT.MI,18.4,18.4,18.098,18.098,245
