Date,Ticker,Open,High,Low,Close,Volume
2019-01-21,VUKE.MI,35.12,35.12,35.005,35.005,10
2019-01-22,VUKE.MI,35.005,35.005,35.005,35.005,0
2019-01-23,VUKE.MI,34.985,34.985,34.815,34.815,4
2019-01-24,VUKE.MI,34.815,34.815,34.815,34.815,0
2019-01-25,VUKE.MI,34.815,34.815,34.815,34.815,0
2019-01-28,VUKE.MI,34.475,34.475,34.425,34.425,10
2019-01-29,VUKE.MI,34.425,34.425,34.425,34.425,0
2019-01-30,VUKE.MI,34.425,34.425,34.425,34.425,0
2019-01-31,VUKE.MI,34.425,34.425,34.425,34.425,0
2019-02-01,VUKE.MI,35.395,35.485,35.395,35.485,162
2019-02-04,VUKE.MI,35.645,35.645,35.575,35.575,14
2019-02-05,VUKE.MI,35.575,35.575,35.575,35.575,0
2019-02-06,VUKE.MI,35.575,35.575,35.575,35.575,0
2019-02-07,VUKE.MI,36.16,36.16,35.925,35.925,270
2019-02-08,VUKE.MI,35.925,35.925,35.925,35.925,0
2019-02-11,VUKE.MI,35.925,35.925,35.925,35.925,0
2019-02-12,VUKE.MI,36.0,36.0,35.985,35.985,10
2019-02-13,VUKE.MI,35.985,35.985,35.985,35.985,0
2019-02-14,VUKE.MI,36.29,36.29,36.22,36.22,10
2019-02-15,VUKE.MI,36.22,36.22,36.22,36.22,0
2019-02-18,VUKE.MI,36.68,36.685,36.6,36.6,396
2019-02-19,VUKE.MI,36.48,36.645,36.48,36.645,100
2019-02-20,VUKE.MI,36.645,36.645,36.645,36.645,0
2019-02-21,VUKE.MI,36.645,36.645,36.645,36.645,0
2019-02-22,VUKE.MI,36.645,36.645,36.645,36.645,0
2019-02-25,VUKE.MI,36.79,36.795,36.775,36.795,256
2019-02-26,VUKE.MI,36.795,36.795,36.795,36.795,0
2019-02-27,VUKE.MI,36.795,36.795,36.795,36.795,0
2019-02-28,VUKE.MI,36.85,36.865,36.85,36.865,5
2019-03-01,VUKE.MI,36.865,36.865,36.865,36.865,0
2019-03-04,VUKE.MI,37.165,37.165,37.005,37.005,2
2019-03-05,VUKE.MI,37.005,37.005,37.005,37.005,0
2019-03-06,VUKE.MI,37.005,37.005,37.005,37.005,0
2019-03-07,VUKE.MI,37.37,37.37,37.225,37.225,52
2019-03-08,VUKE.MI,36.975,36.975,36.85,36.85,135
2019-03-11,VUKE.MI,36.93,37.14,36.93,37.14,10002
2019-03-12,VUKE.MI,37.235,37.235,37.02,37.05,4500
2019-03-13,VUKE.MI,37.15,37.335,37.15,37.3,98
2019-03-14,VUKE.MI,37.43,37.735,37.43,37.725,152
2019-03-15,VUKE.MI,37.725,37.725,37.725,37.725,0
2019-03-18,VUKE.MI,37.99,37.99,37.98,37.98,66
2019-03-19,VUKE.MI,37.98,37.98,37.98,37.98,0
2019-03-20,VUKE.MI,37.91,37.91,37.895,37.895,158
2019-03-21,VUKE.MI,37.895,37.895,37.895,37.895,0
2019-03-22,VUKE.MI,37.745,37.745,37.68,37.68,264
2019-03-25,VUKE.MI,37.68,37.68,37.68,37.68,0
2019-03-26,VUKE.MI,37.77,37.77,37.7,37.7,54
2019-03-27,VUKE.MI,37.7,37.7,37.7,37.7,0
2019-03-28,VUKE.MI,37.245,37.245,37.135,37.135,10
2019-03-29,VUKE.MI,37.34,37.34,37.215,37.255,120
2019-04-01,VUKE.MI,37.665,37.745,37.635,37.745,56
2019-04-02,VUKE.MI,37.825,37.97,37.825,37.97,50
2019-04-03,VUKE.MI,37.97,37.97,37.97,37.97,0
2019-04-04,VUKE.MI,38.185,38.22,38.095,38.095,233
2019-04-05,VUKE.MI,38.175,38.21,38.175,38.21,60
2019-04-08,VUKE.MI,38.21,38.21,38.21,38.21,0
2019-04-09,VUKE.MI,38.175,38.175,37.995,37.995,750
2019-04-10,VUKE.MI,38.045,38.08,38.045,38.08,8
2019-04-11,VUKE.MI,37.925,38.04,37.925,38.04,400
2019-04-12,VUKE.MI,38.04,38.04,38.04,38.04,0
2019-04-15,VUKE.MI,38.04,38.04,38.04,38.04,0
2019-04-16,VUKE.MI,38.04,38.04,38.04,38.04,0
2019-04-17,VUKE.MI,38.04,38.04,38.04,38.04,0
2019-04-18,VUKE.MI,38.04,38.04,38.04,38.04,0
2019-04-23,VUKE.MI,38.25,38.4,38.22,38.4,480
2019-04-24,VUKE.MI,38.28,38.29,38.245,38.245,567
2019-04-25,VUKE.MI,38.245,38.245,38.245,38.245,0
2019-04-26,VUKE.MI,38.245,38.245,38.245,38.245,0
2019-04-29,VUKE.MI,38.245,38.245,38.245,38.245,0
2019-04-30,VUKE.MI,38.245,38.245,38.245,38.245,0
2019-05-02,VUKE.MI,38.15,38.15,37.965,37.965,356
2019-05-03,VUKE.MI,38.32,38.4,38.315,38.4,200
2019-05-06,VUKE.MI,38.4,38.4,38.4,38.4,0
2019-05-07,VUKE.MI,38.4,38.4,38.4,38.4,0
2019-05-08,VUKE.MI,38.4,38.4,38.4,38.4,0
2019-05-09,VUKE.MI,37.18,37.18,37.005,37.005,1954
2019-05-10,VUKE.MI,37.005,37.005,37.005,37.005,0
2019-05-13,VUKE.MI,37.005,37.005,37.005,37.005,0
2019-05-14,VUKE.MI,37.005,37.005,37.005,37.005,0
2019-05-15,VUKE.MI,37.005,37.005,37.005,37.005,0
2019-05-16,VUKE.MI,37.325,37.46,37.325,37.46,30
2019-05-17,VUKE.MI,37.46,37.46,37.46,37.46,0
2019-05-20,VUKE.MI,37.4,37.4,37.05,37.055,35
2019-05-21,VUKE.MI,37.055,37.055,37.055,37.055,0
2019-05-22,VUKE.MI,37.055,37.055,37.055,37.055,0
