Date,Ticker,Open,High,Low,Close,Volume
2026-05-26,WEB3.MI,10.314,10.314,10.292,10.292,10
2026-05-27,WEB3.MI,10.228,10.228,10.176,10.176,420
2026-05-28,WEB3.MI,10.15,10.35,10.142,10.35,406
2026-05-29,WEB3.MI,10.426,10.638,10.426,10.638,579
2026-06-01,WEB3.MI,10.616,10.754,10.616,10.65,112
2026-06-02,WEB3.MI,10.668,10.668,10.668,10.668,439
2026-06-03,WEB3.MI,10.496,10.496,10.118,10.118,6
2026-06-04,WEB3.MI,9.918,10.226,9.918,10.226,35
2026-06-05,WEB3.MI,10.248,10.248,9.676,9.676,50
2026-06-08,WEB3.MI,9.676,9.676,9.676,9.676,0
2026-06-09,WEB3.MI,9.676,9.676,9.676,9.676,0
2026-06-10,WEB3.MI,9.038,9.13,9.038,9.13,743
2026-06-11,WEB3.MI,9.13,9.13,9.13,9.13,0
2026-06-12,WEB3.MI,9.3,9.332,9.3,9.332,150
2026-06-15,WEB3.MI,9.273,9.702,9.273,9.702,211
2026-06-16,WEB3.MI,9.726,9.726,9.533,9.533,86
2026-06-17,WEB3.MI,9.533,9.533,9.533,9.533,0
2026-06-18,WEB3.MI,9.46,9.46,9.397,9.397,518
2026-06-19,WEB3.MI,9.397,9.397,9.397,9.397,0
2026-06-22,WEB3.MI,9.459,9.459,9.409,9.409,12
2026-06-23,WEB3.MI,9.219,9.254,9.002,9.212,1153
2026-06-24,WEB3.MI,9.212,9.212,9.212,9.212,0
2026-06-25,WEB3.MI,8.892,8.892,8.565,8.565,3045
2026-06-26,WEB3.MI,8.565,8.565,8.565,8.565,0
2026-06-29,WEB3.MI,8.865,8.865,8.666,8.766,630
2026-06-30,WEB3.MI,8.674,8.884,8.674,8.884,1697
2026-07-01,WEB3.MI,8.884,8.884,8.884,8.884,0
2026-07-02,WEB3.MI,9.305,9.335,9.3,9.3,1080
2026-07-03,WEB3.MI,9.182,9.216,9.182,9.216,8
2026-07-06,WEB3.MI,9.207,9.445,9.207,9.399,230
2026-07-07,WEB3.MI,9.399,9.399,9.399,9.399,0
2026-07-08,WEB3.MI,8.98,8.98,8.883,8.883,11
2026-07-09,WEB3.MI,9.084,9.191,9.063,9.191,1000
2026-07-10,WEB3.MI,9.184,9.348,9.184,9.301,775
2026-07-13,WEB3.MI,9.301,9.301,9.301,9.301,0
2026-07-14,WEB3.MI,9.301,9.301,9.301,9.301,0
2026-07-15,WEB3.MI,9.295,9.341,9.295,9.341,135
2026-07-16,WEB3.MI,9.207,9.207,9.038,9.066,755
2026-07-17,WEB3.MI,8.905,9.048,8.905,9.048,960
2026-07-20,WEB3.MI,9.065,9.087,9.065,9.081,1263
2026-07-21,WEB3.MI,8.975,8.975,8.964,8.964,100
2026-07-22,WEB3.MI,8.972,9.01,8.972,9.01,720
2026-07-23,WEB3.MI,9.066,9.104,9.066,9.104,120
2026-07-24,WEB3.MI,9.225,9.225,9.2,9.2,168
2026-07-27,WEB3.MI,9.173,9.202,9.173,9.202,41
2026-07-28,WEB3.MI,9.031,9.142,8.976,9.142,23
2026-07-29,WEB3.MI,8.95,8.95,8.934,8.934,20000
2026-07-30,WEB3.MI,8.838,8.838,8.684,8.684,10006
2026-07-31,WEB3.MI,8.804,8.851,8.804,8.851,110
2026-08-03,WEB3.MI,8.41,9.191,8.41,9.17,371
2026-08-04,WEB3.MI,9.17,9.17,9.17,9.17,0
2026-08-05,WEB3.MI,9.734,9.734,9.25,9.586,5402
2026-08-06,WEB3.MI,9.529,9.708,9.529,9.708,18
2026-08-07,WEB3.MI,9.689,9.738,9.689,9.738,630
2026-08-10,WEB3.MI,9.853,10.012,9.853,10.012,1171
2026-08-11,WEB3.MI,10.0,10.0,9.9,9.935,400
2026-08-12,WEB3.MI,9.948,9.976,9.948,9.976,310
2026-08-13,WEB3.MI,9.976,9.976,9.976,9.976,0
2026-08-14,WEB3.MI,9.976,9.976,9.976,9.976,0
2026-08-17,WEB3.MI,9.972,9.972,9.906,9.906,9
