Date,Ticker,Open,High,Low,Close,Volume
2025-10-20,WEBN.MI,10.936,10.992,10.916,10.992,2273
2025-10-21,WEBN.MI,11.006,11.048,11.002,11.048,19718
2025-10-22,WEBN.MI,11.024,11.052,10.974,10.974,3048
2025-10-23,WEBN.MI,11.022,11.024,10.992,11.02,6128
2025-10-27,WEBN.MI,11.188,11.202,11.17,11.186,8765
2025-10-28,WEBN.MI,11.184,11.192,11.168,11.19,17064
2025-10-29,WEBN.MI,11.246,11.256,11.224,11.224,3053
2025-10-30,WEBN.MI,11.232,11.258,11.192,11.258,8069
2025-10-31,WEBN.MI,11.248,11.262,11.22,11.22,8718
2025-11-03,WEBN.MI,11.242,11.296,11.226,11.238,33116
2025-11-04,WEBN.MI,11.162,11.228,11.134,11.2,8099
2025-11-05,WEBN.MI,11.122,11.212,11.12,11.21,12747
2025-11-06,WEBN.MI,11.17,11.236,11.072,11.072,1692
2025-11-07,WEBN.MI,11.09,11.09,10.91,10.91,2968
2025-11-10,WEBN.MI,11.128,11.166,11.116,11.14,7951
2025-11-11,WEBN.MI,11.198,11.198,11.174,11.176,12155
2025-11-12,WEBN.MI,11.258,11.276,11.206,11.224,31641
2025-11-13,WEBN.MI,11.248,11.248,11.086,11.088,3135
2025-11-14,WEBN.MI,10.996,11.068,10.896,11.068,13942
2025-11-17,WEBN.MI,11.1,11.1,10.988,11.022,20020
2025-11-18,WEBN.MI,10.874,10.906,10.792,10.878,27068
2025-11-19,WEBN.MI,10.852,10.916,10.852,10.912,24746
2025-11-20,WEBN.MI,11.052,11.102,10.984,10.984,12742
2025-11-21,WEBN.MI,10.762,10.834,10.74,10.832,60967
2025-11-24,WEBN.MI,10.914,10.986,10.868,10.986,4349
2025-11-25,WEBN.MI,10.988,10.994,10.908,10.992,24720
2025-11-26,WEBN.MI,11.104,11.128,11.07,11.126,3822
2025-11-27,WEBN.MI,11.126,11.134,11.12,11.12,2159
2025-11-28,WEBN.MI,11.148,11.166,11.142,11.154,28726
2025-12-01,WEBN.MI,11.094,11.114,11.068,11.114,9230
2025-12-02,WEBN.MI,11.114,11.15,11.1,11.112,1598
2025-12-03,WEBN.MI,11.124,11.126,11.084,11.102,15605
2025-12-04,WEBN.MI,11.126,11.15,11.126,11.14,73960
2025-12-05,WEBN.MI,11.186,11.21,11.17,11.198,3652
2025-12-08,WEBN.MI,11.198,11.204,11.17,11.178,48387
2025-12-09,WEBN.MI,11.186,11.194,11.146,11.178,44028
2025-12-10,WEBN.MI,11.152,11.17,11.136,11.156,42186
2025-12-11,WEBN.MI,11.086,11.106,11.086,11.098,1410
2025-12-12,WEBN.MI,11.16,11.19,11.048,11.048,11079
2025-12-15,WEBN.MI,11.11,11.128,11.05,11.06,11325
2025-12-16,WEBN.MI,10.988,11.022,10.964,10.964,4505
2025-12-17,WEBN.MI,11.046,11.068,10.946,10.946,3098
2025-12-18,WEBN.MI,10.956,11.052,10.956,11.052,2027
2025-12-19,WEBN.MI,11.066,11.112,11.03,11.112,7094
2025-12-22,WEBN.MI,11.12,11.138,11.104,11.132,7005
2025-12-23,WEBN.MI,11.12,11.246,11.118,11.152,37210
2025-12-29,WEBN.MI,11.222,11.222,11.162,11.194,40889
2025-12-30,WEBN.MI,11.202,11.214,11.162,11.204,7896
2026-01-02,WEBN.MI,11.248,11.508,11.178,11.184,43309
2026-01-05,WEBN.MI,11.288,11.34,11.284,11.34,13841
2026-01-06,WEBN.MI,11.35,11.398,11.322,11.378,16952
2026-01-07,WEBN.MI,11.41,11.41,11.394,11.402,6949
2026-01-08,WEBN.MI,11.362,11.476,11.36,11.476,11926
2026-01-09,WEBN.MI,11.406,11.49,11.4,11.49,24423
2026-01-12,WEBN.MI,11.43,11.484,11.392,11.484,32139
2026-01-13,WEBN.MI,11.492,11.512,11.47,11.494,8444
2026-01-14,WEBN.MI,11.506,11.506,11.414,11.448,15893
2026-01-15,WEBN.MI,11.512,11.578,11.506,11.574,18749
2026-01-16,WEBN.MI,11.58,11.58,11.508,11.54,47953
2026-01-19,WEBN.MI,11.454,11.454,11.4,11.404,59364
2026-01-20,WEBN.MI,11.33,11.33,11.224,11.294,24051
2026-01-21,WEBN.MI,11.264,11.338,11.2,11.338,33668
2026-01-22,WEBN.MI,11.404,11.438,11.384,11.404,33487
2026-01-23,WEBN.MI,11.408,11.408,11.354,11.38,13237
2026-01-26,WEBN.MI,11.346,11.346,11.278,11.338,13558
2026-01-27,WEBN.MI,11.39,11.396,11.33,11.34,18574
2026-01-28,WEBN.MI,11.366,11.366,11.346,11.362,10527
2026-01-29,WEBN.MI,11.36,11.382,11.226,11.254,9830
2026-01-30,WEBN.MI,11.272,11.354,11.268,11.326,7602
2026-02-02,WEBN.MI,11.238,11.614,11.226,11.438,21894
2026-02-03,WEBN.MI,11.496,11.508,11.402,11.402,7396
2026-02-04,WEBN.MI,11.402,11.426,11.366,11.388,6840
2026-02-05,WEBN.MI,11.356,11.4,11.21,11.256,20687
2026-02-06,WEBN.MI,11.212,11.438,11.212,11.366,10769
2026-02-09,WEBN.MI,11.41,11.44,11.338,11.438,18126
2026-02-10,WEBN.MI,11.428,11.47,11.428,11.456,9204
2026-02-11,WEBN.MI,11.464,11.538,11.43,11.476,20209
2026-02-12,WEBN.MI,11.52,11.524,11.354,11.354,9082
2026-02-13,WEBN.MI,11.336,11.378,11.276,11.368,30519
2026-02-16,WEBN.MI,11.382,11.402,11.344,11.358,19630
2026-02-17,WEBN.MI,11.36,11.458,11.304,11.374,25892
2026-02-18,WEBN.MI,11.442,11.502,11.422,11.498,9243
2026-02-19,WEBN.MI,11.502,11.506,11.444,11.478,10146
2026-02-20,WEBN.MI,11.51,11.536,11.452,11.52,23641
2026-02-23,WEBN.MI,11.492,11.548,11.444,11.452,34141
2026-02-24,WEBN.MI,11.47,11.536,11.446,11.53,12110
2026-02-25,WEBN.MI,11.558,11.616,11.554,11.606,53679
2026-02-26,WEBN.MI,11.628,11.65,11.514,11.58,116724
2026-02-27,WEBN.MI,11.576,11.584,11.49,11.532,36132
2026-03-02,WEBN.MI,11.424,11.546,11.344,11.542,35331
2026-03-03,WEBN.MI,11.462,11.462,11.272,11.348,59816
2026-03-04,WEBN.MI,11.362,11.48,11.356,11.474,43586
2026-03-05,WEBN.MI,11.46,11.508,11.39,11.396,26363
2026-03-09,WEBN.MI,11.13,11.27,11.124,11.258,57561
2026-03-10,WEBN.MI,11.484,11.484,11.35,11.42,103063
2026-03-11,WEBN.MI,11.386,11.424,11.36,11.37,12893
2026-03-12,WEBN.MI,11.378,11.39,11.274,11.3,16409
2026-03-13,WEBN.MI,11.268,11.388,11.258,11.298,28434
2026-03-16,WEBN.MI,11.336,11.38,11.3,11.346,9077
2026-03-17,WEBN.MI,11.334,11.426,11.32,11.378,10086
2026-03-18,WEBN.MI,11.454,11.454,11.3,11.312,9664
2026-03-19,WEBN.MI,11.23,11.23,11.1,11.114,23537
2026-03-20,WEBN.MI,11.152,11.152,10.99,10.99,14608
2026-03-23,WEBN.MI,10.836,11.298,10.824,11.022,28859
2026-03-24,WEBN.MI,11.046,11.054,10.972,11.036,21088
2026-03-25,WEBN.MI,11.126,11.136,11.106,11.124,17572
2026-03-26,WEBN.MI,11.078,11.078,11.0,11.0,21911
2026-03-27,WEBN.MI,10.99,10.99,10.84,10.848,41325
2026-03-30,WEBN.MI,10.84,10.91,10.834,10.9,22448
2026-03-31,WEBN.MI,10.868,10.932,10.85,10.9,10634
2026-04-01,WEBN.MI,11.126,11.14,11.08,11.14,57780
2026-04-02,WEBN.MI,11.0,11.128,10.986,11.126,100080
2026-04-07,WEBN.MI,11.43,11.43,11.042,11.064,21476
2026-04-08,WEBN.MI,11.418,11.454,11.378,11.396,38530
2026-04-09,WEBN.MI,11.392,11.396,11.35,11.382,13970
2026-04-10,WEBN.MI,11.438,11.464,11.432,11.436,25869
2026-04-13,WEBN.MI,11.374,11.436,11.366,11.432,6650
2026-04-14,WEBN.MI,11.486,11.566,11.486,11.566,96024
2026-04-15,WEBN.MI,11.588,11.614,11.58,11.614,39549
2026-04-16,WEBN.MI,11.684,11.692,11.656,11.68,21726
2026-04-17,WEBN.MI,11.678,11.83,11.678,11.822,22743
2026-04-20,WEBN.MI,11.768,11.81,11.742,11.774,13856
2026-04-21,WEBN.MI,11.808,11.922,11.758,11.758,21888
2026-04-22,WEBN.MI,11.808,11.824,11.772,11.818,13122
2026-04-23,WEBN.MI,11.796,11.848,11.78,11.846,9084
2026-04-24,WEBN.MI,11.836,11.838,11.802,11.834,25210
2026-04-27,WEBN.MI,11.852,11.866,11.828,11.83,41640
2026-04-28,WEBN.MI,11.872,11.878,11.786,11.792,24999
2026-04-29,WEBN.MI,11.85,11.864,11.794,11.798,48435
2026-04-30,WEBN.MI,11.798,11.898,11.798,11.866,29337
2026-05-04,WEBN.MI,11.976,12.0,11.898,11.92,26878
2026-05-05,WEBN.MI,11.97,12.03,11.968,12.028,93559
2026-05-06,WEBN.MI,12.094,12.186,12.092,12.184,28872
2026-05-07,WEBN.MI,12.234,12.248,12.18,12.18,15518
2026-05-08,WEBN.MI,12.166,12.194,12.15,12.188,31997
2026-05-11,WEBN.MI,12.19,12.23,12.176,12.23,25358
2026-05-12,WEBN.MI,12.156,12.182,12.096,12.102,82093
2026-05-13,WEBN.MI,12.254,12.282,12.216,12.268,20661
2026-05-14,WEBN.MI,12.318,12.426,12.318,12.426,17417
2026-05-15,WEBN.MI,12.34,12.344,12.246,12.29,30119
2026-05-18,WEBN.MI,12.2,12.29,12.18,12.21,39733
2026-05-19,WEBN.MI,12.234,12.252,12.18,12.192,56231
2026-05-20,WEBN.MI,12.218,12.314,12.216,12.314,25881
2026-05-21,WEBN.MI,12.322,12.364,12.296,12.348,45542
2026-05-22,WEBN.MI,12.432,12.468,12.414,12.468,47303
2026-05-25,WEBN.MI,12.538,12.568,12.524,12.558,47766
2026-05-26,WEBN.MI,12.536,12.57,12.51,12.536,23256
2026-05-27,WEBN.MI,12.534,12.576,12.5,12.518,23747
2026-05-28,WEBN.MI,12.506,12.552,12.488,12.552,33000
2026-05-29,WEBN.MI,12.6,12.624,12.576,12.576,7928
2026-06-01,WEBN.MI,12.644,12.654,12.596,12.622,44696
2026-06-02,WEBN.MI,12.654,12.71,12.636,12.71,42317
2026-06-03,WEBN.MI,12.726,12.728,12.656,12.656,86317
2026-06-04,WEBN.MI,12.594,12.626,12.52,12.626,47983
2026-06-05,WEBN.MI,12.542,12.576,12.518,12.518,34144
2026-06-08,WEBN.MI,12.376,12.482,12.376,12.454,57744
2026-06-09,WEBN.MI,12.476,12.5,12.282,12.282,37597
2026-06-10,WEBN.MI,12.328,12.37,12.222,12.27,41165
2026-06-11,WEBN.MI,12.27,12.338,12.258,12.294,21149
2026-06-12,WEBN.MI,12.394,12.528,12.394,12.514,13702
2026-06-15,WEBN.MI,12.648,12.69,12.632,12.69,28174
2026-06-16,WEBN.MI,12.694,12.706,12.65,12.662,27334
2026-06-17,WEBN.MI,12.674,12.694,12.65,12.684,21142
2026-06-18,WEBN.MI,12.734,12.796,12.724,12.764,25679
2026-06-19,WEBN.MI,12.77,12.78,12.74,12.766,18249
2026-06-22,WEBN.MI,12.79,12.89,12.782,12.816,66517
2026-06-23,WEBN.MI,12.586,12.686,12.564,12.632,41794
2026-06-24,WEBN.MI,12.654,12.708,12.652,12.704,53376
2026-06-25,WEBN.MI,12.736,12.768,12.62,12.658,22486
2026-06-26,WEBN.MI,12.576,12.608,12.476,12.608,26553
2026-06-29,WEBN.MI,12.598,12.642,12.538,12.604,21263
2026-06-30,WEBN.MI,12.71,12.76,12.696,12.746,17243
2026-07-01,WEBN.MI,12.718,12.794,12.702,12.794,27395
2026-07-02,WEBN.MI,12.718,12.79,12.686,12.7,91927
2026-07-03,WEBN.MI,12.772,12.794,12.748,12.786,16725
2026-07-06,WEBN.MI,12.8,12.844,12.786,12.844,27848
2026-07-07,WEBN.MI,12.782,12.792,12.7,12.704,55197
2026-07-08,WEBN.MI,12.702,12.718,12.578,12.626,27956
