Date,Ticker,Open,High,Low,Close,Volume
2021-05-19,XAIX.MI,73.26,73.26,72.74,72.74,23
2021-05-20,XAIX.MI,73.3,74.3,73.12,74.3,69
2021-05-21,XAIX.MI,74.62,74.65,74.62,74.65,1209
2021-05-24,XAIX.MI,75.34,75.34,75.29,75.29,100
2021-05-25,XAIX.MI,75.67,75.71,75.29,75.29,1488
2021-05-26,XAIX.MI,75.77,75.96,75.77,75.96,2
2021-05-27,XAIX.MI,75.96,75.96,75.96,75.96,0
2021-05-28,XAIX.MI,76.73,77.11,76.71,76.71,984
2021-05-31,XAIX.MI,77.01,77.01,76.27,76.27,297
2021-06-01,XAIX.MI,76.66,77.09,76.33,76.33,1398
2021-06-02,XAIX.MI,76.83,77.16,76.83,77.16,1241
2021-06-03,XAIX.MI,77.53,77.53,77.47,77.47,4
2021-06-04,XAIX.MI,77.74,78.34,77.74,78.29,96
2021-06-07,XAIX.MI,78.71,78.71,78.17,78.36,337
2021-06-08,XAIX.MI,79.02,79.3,78.67,78.67,152
2021-06-09,XAIX.MI,78.67,78.83,78.67,78.83,38
2021-06-10,XAIX.MI,78.81,78.97,78.81,78.97,65
2021-06-11,XAIX.MI,78.97,78.97,78.97,78.97,0
2021-06-14,XAIX.MI,78.97,78.97,78.97,78.97,0
2021-06-15,XAIX.MI,80.14,80.48,79.82,79.82,181
2021-06-16,XAIX.MI,79.82,79.91,79.82,79.91,38
2021-06-17,XAIX.MI,80.44,81.18,80.33,81.18,173
2021-06-18,XAIX.MI,81.31,81.31,80.46,80.46,100
2021-06-21,XAIX.MI,80.45,80.49,80.33,80.49,1725
2021-06-22,XAIX.MI,80.35,80.72,80.25,80.53,439
2021-06-23,XAIX.MI,80.66,80.94,80.66,80.94,121
2021-06-24,XAIX.MI,81.29,81.85,81.28,81.85,255
2021-06-25,XAIX.MI,81.48,81.89,81.48,81.89,542
2021-06-28,XAIX.MI,82.41,82.42,82.41,82.42,500
2021-06-29,XAIX.MI,82.66,82.85,82.66,82.78,516
2021-06-30,XAIX.MI,83.29,83.29,82.84,83.06,277
2021-07-01,XAIX.MI,82.93,82.93,82.34,82.34,599
2021-07-02,XAIX.MI,82.9,82.9,82.77,82.77,15
2021-07-05,XAIX.MI,82.99,83.22,82.85,82.86,611
2021-07-06,XAIX.MI,83.01,83.09,82.85,82.85,146
2021-07-07,XAIX.MI,83.2,83.37,82.74,82.74,209
2021-07-08,XAIX.MI,81.54,81.72,80.9,81.38,750
2021-07-09,XAIX.MI,82.04,82.37,81.91,82.37,306
2021-07-12,XAIX.MI,82.71,82.71,82.1,82.1,91
