Date,Ticker,Open,High,Low,Close,Volume
2018-06-22,XAT1.MI,20.0,20.0,20.0,20.0,0
2018-06-25,XAT1.MI,19.899,19.899,19.899,19.899,0
2018-06-26,XAT1.MI,19.886,19.886,19.886,19.886,0
2018-06-27,XAT1.MI,19.829,19.829,19.829,19.829,0
2018-06-28,XAT1.MI,19.761,19.761,19.761,19.761,0
2018-06-29,XAT1.MI,19.796,19.796,19.796,19.796,0
2018-07-02,XAT1.MI,19.752,19.752,19.752,19.752,0
2018-07-03,XAT1.MI,19.763,19.763,19.763,19.763,0
2018-07-05,XAT1.MI,19.819,19.819,19.819,19.819,0
2018-07-06,XAT1.MI,19.893,19.893,19.893,19.893,0
2018-07-09,XAT1.MI,19.884,19.884,19.884,19.884,0
2018-07-10,XAT1.MI,19.931,19.931,19.931,19.931,0
2018-07-11,XAT1.MI,20.002,20.002,20.002,20.002,0
2018-07-12,XAT1.MI,20.089,20.089,20.089,20.089,0
2018-07-13,XAT1.MI,20.148,20.148,20.148,20.148,0
2018-07-16,XAT1.MI,20.183,20.183,20.183,20.183,0
2018-07-17,XAT1.MI,20.154,20.154,20.154,20.154,0
2018-07-18,XAT1.MI,20.126,20.126,20.126,20.126,0
2018-07-19,XAT1.MI,20.21,20.21,20.135,20.135,17
2018-07-20,XAT1.MI,20.135,20.135,20.135,20.135,0
2018-07-23,XAT1.MI,20.135,20.135,20.135,20.135,0
2018-07-24,XAT1.MI,20.135,20.135,20.135,20.135,0
2018-07-25,XAT1.MI,20.135,20.135,20.135,20.135,0
2018-07-26,XAT1.MI,20.135,20.135,20.135,20.135,0
2018-07-27,XAT1.MI,20.135,20.135,20.135,20.135,0
2018-07-30,XAT1.MI,20.135,20.135,20.135,20.135,0
2018-07-31,XAT1.MI,20.47,20.485,20.44,20.44,3510
2018-08-01,XAT1.MI,20.5,20.505,20.49,20.495,8580
2018-08-02,XAT1.MI,20.495,20.495,20.435,20.435,3075
2018-08-03,XAT1.MI,20.435,20.44,20.42,20.42,600
2018-08-06,XAT1.MI,20.42,20.42,20.42,20.42,0
2018-08-07,XAT1.MI,20.42,20.42,20.42,20.42,0
2018-08-08,XAT1.MI,20.455,20.455,20.435,20.435,1500
2018-08-09,XAT1.MI,20.435,20.435,20.435,20.435,0
2018-08-10,XAT1.MI,20.315,20.315,20.305,20.305,1750
2018-08-13,XAT1.MI,20.325,20.325,20.185,20.185,424
2018-08-14,XAT1.MI,20.165,20.225,20.165,20.225,500
2018-08-16,XAT1.MI,20.225,20.225,20.225,20.225,0
2018-08-17,XAT1.MI,20.265,20.265,20.225,20.225,70
2018-08-20,XAT1.MI,20.225,20.225,20.225,20.225,0
2018-08-21,XAT1.MI,20.225,20.225,20.225,20.225,0
2018-08-22,XAT1.MI,20.225,20.225,20.225,20.225,0
2018-08-23,XAT1.MI,20.225,20.225,20.225,20.225,0
2018-08-24,XAT1.MI,20.225,20.225,20.225,20.225,0
2018-08-27,XAT1.MI,20.34,20.34,20.3,20.3,544
2018-08-28,XAT1.MI,20.355,20.36,20.345,20.345,850
2018-08-29,XAT1.MI,20.345,20.345,20.345,20.345,0
2018-08-30,XAT1.MI,20.345,20.345,20.345,20.345,0
2018-08-31,XAT1.MI,20.345,20.345,20.345,20.345,0
2018-09-03,XAT1.MI,20.28,20.33,20.28,20.33,600
2018-09-04,XAT1.MI,20.37,20.37,20.32,20.32,150
2018-09-05,XAT1.MI,20.32,20.32,20.32,20.32,0
2018-09-06,XAT1.MI,20.32,20.32,20.32,20.32,0
2018-09-07,XAT1.MI,20.27,20.3,20.26,20.3,2389
2018-09-10,XAT1.MI,20.3,20.3,20.3,20.3,0
2018-09-11,XAT1.MI,20.3,20.3,20.3,20.3,0
2018-09-12,XAT1.MI,20.3,20.3,20.3,20.3,0
