Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,XDAX.MI,125.36,125.48,124.24,125.16,58725
2018-01-03,XDAX.MI,125.6,126.58,125.5,126.48,56252
2018-01-04,XDAX.MI,127.32,128.36,127.32,128.16,87484
2018-01-05,XDAX.MI,128.62,129.74,128.48,129.54,56345
2018-01-08,XDAX.MI,130.7,130.7,129.88,130.16,26808
2018-01-09,XDAX.MI,130.28,130.56,130.1,130.34,31614
2018-01-10,XDAX.MI,130.16,130.22,128.8,129.22,61938
2018-01-11,XDAX.MI,129.5,129.5,128.02,128.48,72615
2018-01-12,XDAX.MI,128.74,129.1,128.3,128.82,60401
2018-01-15,XDAX.MI,128.92,128.92,128.26,128.6,24023
2018-01-16,XDAX.MI,129.06,129.9,128.5,128.8,72968
2018-01-17,XDAX.MI,128.58,128.84,127.98,128.18,53385
2018-01-18,XDAX.MI,128.94,129.32,128.48,129.1,71056
2018-01-19,XDAX.MI,129.32,130.78,129.32,130.76,79769
2018-01-22,XDAX.MI,130.84,131.02,130.62,130.92,28415
2018-01-23,XDAX.MI,132.1,132.32,131.7,132.04,47494
2018-01-24,XDAX.MI,132.1,132.1,130.9,130.9,47044
2018-01-25,XDAX.MI,130.24,130.86,128.82,129.28,93418
2018-01-26,XDAX.MI,129.42,129.88,129.18,129.8,55818
2018-01-29,XDAX.MI,129.96,130.0,129.32,129.66,16441
2018-01-30,XDAX.MI,128.86,129.52,128.42,128.52,11232
2018-01-31,XDAX.MI,129.08,129.08,128.3,128.3,4380
2018-02-01,XDAX.MI,128.96,129.28,126.2,126.22,31091
2018-02-02,XDAX.MI,126.16,126.16,124.36,124.44,25477
2018-02-05,XDAX.MI,123.12,124.06,122.98,123.4,24631
2018-02-06,XDAX.MI,121.8,122.02,118.5,120.42,74128
2018-02-07,XDAX.MI,121.58,123.0,120.98,122.56,15991
2018-02-08,XDAX.MI,121.76,121.78,118.66,118.66,59864
2018-02-09,XDAX.MI,119.18,119.56,116.8,117.36,80360
2018-02-12,XDAX.MI,119.24,120.44,119.24,119.8,23271
2018-02-13,XDAX.MI,119.16,119.42,118.76,118.76,22816
2018-02-14,XDAX.MI,119.74,120.5,118.0,120.42,60508
2018-02-15,XDAX.MI,120.74,121.4,119.52,120.02,58115
2018-02-16,XDAX.MI,120.9,121.32,120.5,121.14,13366
2018-02-19,XDAX.MI,121.56,121.6,120.4,120.44,8903
2018-02-20,XDAX.MI,120.74,121.6,119.98,121.6,13052
2018-02-21,XDAX.MI,120.98,121.32,120.42,121.32,4281
2018-02-22,XDAX.MI,120.24,121.58,119.64,121.58,8614
2018-02-23,XDAX.MI,121.44,121.7,120.96,121.46,3516
2018-02-26,XDAX.MI,122.38,122.58,121.6,122.04,4065
2018-02-27,XDAX.MI,122.28,122.3,121.0,121.38,8685
2018-02-28,XDAX.MI,121.02,121.66,120.8,120.8,22519
2018-03-01,XDAX.MI,120.18,120.4,118.28,118.28,20467
2018-03-02,XDAX.MI,117.12,117.28,115.68,115.98,16213
2018-03-05,XDAX.MI,115.1,117.84,115.1,117.84,33821
2018-03-06,XDAX.MI,119.12,119.18,117.88,117.88,20102
2018-03-07,XDAX.MI,117.14,119.4,117.0,119.16,43532
2018-03-08,XDAX.MI,119.18,120.3,118.62,120.3,9964
2018-03-09,XDAX.MI,119.9,120.66,119.54,119.98,11863
2018-03-12,XDAX.MI,121.02,121.04,120.34,120.88,5540
2018-03-13,XDAX.MI,120.92,121.16,118.44,118.68,3427
2018-03-14,XDAX.MI,118.9,119.82,118.42,118.94,9413
2018-03-15,XDAX.MI,119.54,120.26,119.22,120.26,3966
2018-03-16,XDAX.MI,120.72,121.1,120.02,120.72,4198
2018-03-19,XDAX.MI,120.22,120.22,118.74,118.78,10813
2018-03-20,XDAX.MI,119.24,119.82,118.64,119.82,8343
2018-03-21,XDAX.MI,119.94,120.0,119.22,119.72,7346
2018-03-22,XDAX.MI,118.66,119.28,116.86,117.76,20949
2018-03-23,XDAX.MI,116.54,116.68,115.18,115.78,9550
2018-03-26,XDAX.MI,116.0,116.54,113.9,114.46,20090
2018-03-27,XDAX.MI,116.76,117.14,116.08,116.54,7726
2018-03-28,XDAX.MI,115.54,116.32,114.56,115.88,9070
2018-03-29,XDAX.MI,116.58,118.2,116.22,117.84,6690
2018-04-03,XDAX.MI,116.98,117.4,116.0,116.9,18121
2018-04-04,XDAX.MI,116.74,116.74,114.74,116.24,21527
2018-04-05,XDAX.MI,118.18,119.8,118.1,119.8,7714
2018-04-06,XDAX.MI,119.24,119.44,118.68,119.0,12930
2018-04-09,XDAX.MI,119.8,120.3,118.76,119.36,22562
2018-04-10,XDAX.MI,120.56,120.82,119.92,120.52,6153
2018-04-11,XDAX.MI,120.32,120.34,119.22,119.54,8667
2018-04-12,XDAX.MI,119.48,120.8,119.38,120.7,5242
2018-04-13,XDAX.MI,121.2,121.7,120.88,121.02,5952
2018-04-16,XDAX.MI,121.28,121.36,120.34,120.54,5152
2018-04-17,XDAX.MI,120.92,122.6,120.72,122.36,9000
2018-04-18,XDAX.MI,122.48,122.68,122.08,122.38,3760
2018-04-19,XDAX.MI,122.28,122.36,121.94,122.16,5935
2018-04-20,XDAX.MI,122.08,122.32,121.6,121.92,8327
2018-04-23,XDAX.MI,121.86,122.34,121.26,122.26,18230
2018-04-24,XDAX.MI,122.26,122.9,121.54,121.94,18104
2018-04-25,XDAX.MI,121.28,121.28,119.68,120.62,7508
2018-04-26,XDAX.MI,120.94,121.5,120.54,121.5,2436
2018-04-27,XDAX.MI,122.2,122.48,121.98,122.34,2377
2018-04-30,XDAX.MI,122.46,122.58,122.14,122.44,1152
2018-05-02,XDAX.MI,123.0,124.44,122.58,124.32,3349
2018-05-03,XDAX.MI,124.34,124.34,123.16,123.38,4452
2018-05-04,XDAX.MI,124.04,124.54,123.52,124.54,1553
2018-05-07,XDAX.MI,124.58,125.82,124.48,125.68,1363
2018-05-08,XDAX.MI,125.58,125.58,124.92,125.44,7003
2018-05-09,XDAX.MI,125.48,125.82,125.2,125.7,3655
2018-05-10,XDAX.MI,125.98,126.44,125.44,126.44,2530
2018-05-11,XDAX.MI,126.18,126.28,125.78,126.14,3100
2018-05-14,XDAX.MI,126.24,126.24,125.48,125.94,7689
2018-05-15,XDAX.MI,125.6,126.08,125.34,125.9,6923
2018-05-16,XDAX.MI,125.92,126.42,125.92,126.08,7465
2018-05-17,XDAX.MI,126.02,127.16,125.98,127.08,6188
2018-05-18,XDAX.MI,126.88,126.88,126.72,126.82,688
2018-05-21,XDAX.MI,127.04,128.24,127.0,127.48,1404
2018-05-22,XDAX.MI,127.0,127.96,127.0,127.96,6605
2018-05-23,XDAX.MI,126.26,126.3,125.5,126.06,9110
2018-05-24,XDAX.MI,125.86,126.1,124.34,124.62,11161
2018-05-25,XDAX.MI,125.2,126.02,124.72,125.4,14810
2018-05-28,XDAX.MI,126.26,126.26,124.86,124.86,3445
2018-05-29,XDAX.MI,123.98,123.98,122.42,122.86,35767
2018-05-30,XDAX.MI,123.26,124.06,122.8,124.06,3553
2018-05-31,XDAX.MI,123.7,123.82,121.8,122.1,4832
2018-06-01,XDAX.MI,123.12,123.9,123.12,123.36,4189
2018-06-04,XDAX.MI,124.48,124.48,123.5,123.82,1176
2018-06-05,XDAX.MI,123.72,125.28,123.72,123.94,6929
2018-06-06,XDAX.MI,124.16,124.74,123.42,124.48,4907
2018-06-07,XDAX.MI,124.78,125.02,123.76,124.18,5046
2018-06-08,XDAX.MI,122.84,123.92,122.28,123.82,20756
2018-06-11,XDAX.MI,124.32,124.64,123.76,124.52,4096
2018-06-12,XDAX.MI,125.36,125.52,124.3,124.6,3354
2018-06-13,XDAX.MI,124.64,125.1,124.1,125.1,5641
2018-06-14,XDAX.MI,124.32,127.4,124.14,127.2,9676
2018-06-15,XDAX.MI,127.12,127.68,126.18,126.18,14171
2018-06-18,XDAX.MI,125.62,125.66,124.02,124.34,7325
2018-06-19,XDAX.MI,122.44,123.08,122.1,122.94,18282
2018-06-20,XDAX.MI,123.38,123.64,122.92,123.12,6150
2018-06-21,XDAX.MI,123.06,123.22,120.98,121.42,14620
2018-06-22,XDAX.MI,121.4,121.96,121.08,121.96,3887
2018-06-25,XDAX.MI,121.2,121.2,119.16,119.2,13393
2018-06-26,XDAX.MI,119.62,119.72,118.38,118.7,6033
2018-06-27,XDAX.MI,118.54,120.56,117.66,119.66,18576
2018-06-28,XDAX.MI,119.16,119.94,117.36,117.92,26853
2018-06-29,XDAX.MI,119.46,119.92,118.9,119.5,20185
2018-07-02,XDAX.MI,117.7,119.24,117.64,118.74,8318
2018-07-03,XDAX.MI,119.56,120.42,119.12,119.74,15790
2018-07-04,XDAX.MI,119.58,119.72,119.18,119.46,2860
2018-07-05,XDAX.MI,120.12,121.32,120.12,120.88,6114
2018-07-06,XDAX.MI,121.1,121.1,120.54,121.1,3680
2018-07-09,XDAX.MI,121.52,121.78,121.16,121.74,12238
2018-07-10,XDAX.MI,121.76,122.48,121.54,122.32,10070
2018-07-11,XDAX.MI,121.0,121.0,120.36,120.48,2925
2018-07-12,XDAX.MI,120.9,121.14,120.46,121.12,2491
2018-07-13,XDAX.MI,121.54,121.94,121.2,121.54,2665
2018-07-16,XDAX.MI,121.48,122.2,121.3,121.92,9978
2018-07-17,XDAX.MI,121.54,123.0,121.42,122.92,17886
2018-07-18,XDAX.MI,123.4,123.84,123.34,123.74,9449
2018-07-19,XDAX.MI,123.48,123.64,122.84,123.02,3892
2018-07-20,XDAX.MI,122.76,123.06,121.0,121.9,8768
2018-07-23,XDAX.MI,121.18,121.76,121.1,121.66,888
2018-07-24,XDAX.MI,122.32,123.5,122.18,123.02,5923
2018-07-25,XDAX.MI,122.98,123.04,121.7,121.8,3043
2018-07-26,XDAX.MI,123.38,124.3,123.32,124.3,3355
2018-07-27,XDAX.MI,124.44,124.84,124.44,124.84,2177
2018-07-30,XDAX.MI,124.48,124.5,124.2,124.2,352
2018-07-31,XDAX.MI,124.16,124.36,123.8,124.36,2991
2018-08-01,XDAX.MI,123.76,124.14,123.28,123.6,5257
2018-08-02,XDAX.MI,122.66,122.66,121.2,121.58,5493
2018-08-03,XDAX.MI,121.98,122.52,121.88,122.38,3599
2018-08-06,XDAX.MI,122.38,122.94,121.58,122.02,8158
2018-08-07,XDAX.MI,122.72,123.46,122.68,122.76,12500
2018-08-08,XDAX.MI,122.36,123.16,122.1,122.44,11290
2018-08-09,XDAX.MI,122.54,122.94,122.1,122.8,7722
2018-08-10,XDAX.MI,122.02,122.02,120.12,120.36,11369
2018-08-13,XDAX.MI,119.56,120.18,119.5,120.0,20729
2018-08-14,XDAX.MI,120.66,120.78,119.2,119.92,6728
2018-08-16,XDAX.MI,118.42,118.74,118.14,118.74,2531
2018-08-17,XDAX.MI,118.56,118.68,117.7,118.36,4345
2018-08-20,XDAX.MI,118.84,119.88,118.8,119.64,3038
2018-08-21,XDAX.MI,119.44,120.44,119.44,120.06,3921
2018-08-22,XDAX.MI,120.26,120.58,119.76,120.12,9458
2018-08-23,XDAX.MI,119.9,120.24,119.86,119.94,4684
2018-08-24,XDAX.MI,120.3,120.68,119.78,120.2,10204
2018-08-27,XDAX.MI,120.96,121.78,120.58,121.62,11289
2018-08-28,XDAX.MI,121.92,121.96,121.62,121.7,7626
2018-08-29,XDAX.MI,121.74,121.8,121.22,121.8,21456
2018-08-30,XDAX.MI,121.42,121.48,120.3,121.14,20302
2018-08-31,XDAX.MI,120.48,120.48,119.74,119.74,4626
2018-09-03,XDAX.MI,119.64,119.74,119.34,119.62,2951
2018-09-04,XDAX.MI,120.2,120.2,117.98,118.34,14549
2018-09-05,XDAX.MI,117.78,117.92,116.74,116.74,17711
2018-09-06,XDAX.MI,116.44,117.2,115.78,115.88,74938
2018-09-07,XDAX.MI,115.96,116.2,115.26,115.86,33907
2018-09-10,XDAX.MI,115.8,116.58,115.7,116.3,14221
2018-09-11,XDAX.MI,116.44,116.44,115.1,116.0,16183
2018-09-12,XDAX.MI,116.2,116.74,115.9,116.74,22417
2018-09-13,XDAX.MI,116.7,117.5,116.7,116.9,52273
2018-09-14,XDAX.MI,117.34,117.62,117.08,117.62,14375
2018-09-17,XDAX.MI,117.16,117.52,116.82,117.36,11215
2018-09-18,XDAX.MI,117.2,118.08,116.96,117.74,27666
2018-09-19,XDAX.MI,118.2,118.6,117.94,118.48,20135
2018-09-20,XDAX.MI,118.34,119.68,118.34,119.54,21921
2018-09-21,XDAX.MI,120.32,120.74,119.98,120.34,11468
2018-09-24,XDAX.MI,120.04,120.2,119.72,119.8,2111
2018-09-25,XDAX.MI,119.9,120.24,119.54,120.0,9923
2018-09-26,XDAX.MI,120.26,120.26,119.58,120.12,10139
2018-09-27,XDAX.MI,119.52,120.74,119.16,120.62,11126
2018-09-28,XDAX.MI,120.08,120.08,118.24,118.84,31301
2018-10-01,XDAX.MI,118.92,119.94,118.92,119.66,10247
2018-10-02,XDAX.MI,119.0,119.16,118.3,119.08,30477
2018-10-03,XDAX.MI,119.42,120.24,119.14,119.9,9171
2018-10-04,XDAX.MI,118.84,119.72,118.08,118.68,29410
2018-10-05,XDAX.MI,118.5,118.52,117.34,117.34,15010
2018-10-08,XDAX.MI,116.84,116.92,115.76,115.78,12747
2018-10-09,XDAX.MI,115.88,116.28,114.48,116.16,20203
2018-10-10,XDAX.MI,116.0,116.04,113.6,113.6,21777
2018-10-11,XDAX.MI,112.04,113.4,111.86,111.98,18229
2018-10-12,XDAX.MI,113.18,113.18,111.64,111.64,16462
2018-10-15,XDAX.MI,111.36,112.66,111.08,112.66,6009
2018-10-16,XDAX.MI,113.0,114.2,112.64,114.2,14820
2018-10-17,XDAX.MI,114.76,114.76,113.16,113.66,9218
2018-10-18,XDAX.MI,113.36,114.24,112.36,112.42,24891
2018-10-19,XDAX.MI,112.36,112.62,111.78,112.0,9161
2018-10-22,XDAX.MI,112.88,113.1,111.5,111.76,11992
2018-10-23,XDAX.MI,110.24,110.36,108.98,109.38,10569
2018-10-24,XDAX.MI,109.82,110.36,108.3,108.4,16005
2018-10-25,XDAX.MI,107.46,109.72,107.46,109.72,25314
2018-10-26,XDAX.MI,108.52,108.58,107.1,108.12,6187
2018-10-29,XDAX.MI,109.1,110.8,108.82,109.98,5861
2018-10-30,XDAX.MI,110.46,110.56,108.98,109.62,33080
2018-10-31,XDAX.MI,110.76,111.42,110.48,111.18,19434
2018-11-01,XDAX.MI,110.78,112.1,110.74,110.9,10390
2018-11-02,XDAX.MI,112.76,113.1,111.8,111.82,16711
2018-11-05,XDAX.MI,111.64,112.02,111.4,111.44,2300
2018-11-06,XDAX.MI,111.72,111.72,110.96,111.36,12582
2018-11-07,XDAX.MI,111.72,112.72,111.72,112.18,6651
2018-11-08,XDAX.MI,112.72,112.86,111.52,111.56,4467
2018-11-09,XDAX.MI,111.22,111.84,110.84,111.7,4859
2018-11-12,XDAX.MI,112.36,112.36,109.74,109.74,7764
2018-11-13,XDAX.MI,110.28,111.32,110.04,111.32,6455
2018-11-14,XDAX.MI,110.44,112.0,109.76,110.56,16002
2018-11-15,XDAX.MI,111.04,111.46,109.12,110.04,9479
2018-11-16,XDAX.MI,110.72,110.92,108.88,110.06,25473
2018-11-19,XDAX.MI,110.2,110.68,108.9,108.9,5075
2018-11-20,XDAX.MI,108.18,108.42,106.84,107.26,31740
2018-11-21,XDAX.MI,107.94,109.12,107.8,109.12,11859
2018-11-22,XDAX.MI,108.72,108.72,107.84,107.98,8720
2018-11-23,XDAX.MI,108.08,108.58,107.54,108.5,6283
2018-11-26,XDAX.MI,109.68,110.24,109.64,110.2,10900
2018-11-27,XDAX.MI,110.3,110.32,109.32,109.66,5613
2018-11-28,XDAX.MI,109.94,110.06,109.38,109.56,7500
2018-11-29,XDAX.MI,110.3,110.4,109.28,109.68,8123
2018-11-30,XDAX.MI,109.8,109.8,108.7,109.02,5386
2018-12-03,XDAX.MI,111.9,112.06,111.1,111.22,32090
2018-12-04,XDAX.MI,110.82,110.86,109.86,109.86,5718
2018-12-05,XDAX.MI,108.78,109.06,108.38,108.52,7363
2018-12-06,XDAX.MI,107.28,107.28,104.32,104.32,26762
2018-12-07,XDAX.MI,105.32,105.82,104.78,104.82,9697
2018-12-10,XDAX.MI,104.0,104.24,102.6,102.8,10455
2018-12-11,XDAX.MI,103.96,105.48,103.62,104.9,25113
2018-12-12,XDAX.MI,105.06,106.28,104.9,106.12,12116
2018-12-13,XDAX.MI,106.32,106.32,105.56,105.78,14070
2018-12-14,XDAX.MI,104.56,105.42,104.06,105.2,12104
2018-12-17,XDAX.MI,105.36,105.48,103.76,104.48,20566
2018-12-18,XDAX.MI,104.2,105.08,104.08,104.26,7173
2018-12-19,XDAX.MI,104.38,104.88,104.2,104.52,8224
2018-12-20,XDAX.MI,102.76,103.58,102.5,102.84,16134
2018-12-21,XDAX.MI,102.5,103.22,101.88,102.98,23920
2018-12-27,XDAX.MI,102.98,102.98,99.95,100.56,1468
2018-12-28,XDAX.MI,101.88,102.46,101.68,102.42,4098
2019-01-02,XDAX.MI,102.22,102.86,101.24,102.54,10915
2019-01-03,XDAX.MI,101.52,101.88,100.9,101.06,9505
2019-01-04,XDAX.MI,102.04,104.46,101.64,104.26,4635
2019-01-07,XDAX.MI,104.82,104.82,103.82,104.06,6524
2019-01-08,XDAX.MI,104.44,105.64,104.12,104.94,9960
2019-01-09,XDAX.MI,105.44,106.22,105.06,105.64,15487
2019-01-10,XDAX.MI,105.24,105.84,104.7,105.66,9135
2019-01-11,XDAX.MI,106.12,106.18,105.06,105.52,6170
2019-01-14,XDAX.MI,104.8,105.44,104.66,105.14,17350
2019-01-15,XDAX.MI,106.04,106.38,104.82,105.54,39965
2019-01-16,XDAX.MI,105.92,106.0,105.34,105.86,2090
2019-01-17,XDAX.MI,105.14,105.78,104.94,105.74,14644
2019-01-18,XDAX.MI,106.5,108.74,106.5,108.7,21796
2019-01-21,XDAX.MI,108.2,108.2,107.82,107.82,3835
2019-01-22,XDAX.MI,107.32,107.88,107.02,107.4,5898
2019-01-23,XDAX.MI,106.88,107.88,106.88,107.14,17609
2019-01-24,XDAX.MI,107.06,108.02,107.06,107.8,34175
2019-01-25,XDAX.MI,108.74,109.68,108.7,109.3,26523
2019-01-28,XDAX.MI,108.98,109.12,108.5,108.66,14941
2019-01-29,XDAX.MI,108.44,109.16,108.14,108.68,8157
2019-01-30,XDAX.MI,108.54,108.54,108.02,108.2,53117
2019-01-31,XDAX.MI,109.5,109.5,107.04,108.1,6455
2019-02-01,XDAX.MI,108.24,108.4,107.66,108.3,6858
2019-02-04,XDAX.MI,108.48,108.48,107.6,107.98,13146
2019-02-05,XDAX.MI,108.26,110.06,108.26,110.04,6923
2019-02-06,XDAX.MI,109.82,109.82,109.44,109.66,8050
2019-02-07,XDAX.MI,109.04,109.3,106.92,106.92,23432
2019-02-08,XDAX.MI,106.42,106.88,105.38,105.64,4556
2019-02-11,XDAX.MI,106.1,106.86,106.02,106.76,16386
2019-02-12,XDAX.MI,107.8,108.0,107.76,107.9,4495
2019-02-13,XDAX.MI,108.3,108.52,107.82,108.26,3488
2019-02-14,XDAX.MI,108.68,108.68,107.44,107.46,2469
2019-02-15,XDAX.MI,107.04,109.56,107.04,109.44,49173
2019-02-18,XDAX.MI,109.34,109.52,109.14,109.34,851
2019-02-19,XDAX.MI,109.16,110.06,109.12,109.46,6417
2019-02-20,XDAX.MI,109.8,110.66,109.64,110.52,2766
2019-02-21,XDAX.MI,110.72,110.88,110.38,110.66,7110
2019-02-22,XDAX.MI,110.98,111.24,110.84,111.06,1309
2019-02-25,XDAX.MI,111.44,111.76,111.34,111.52,1057
2019-02-26,XDAX.MI,110.86,111.86,110.86,111.86,1741
2019-02-27,XDAX.MI,111.36,111.46,110.86,111.22,3301
2019-02-28,XDAX.MI,110.7,111.56,110.7,111.56,2461
2019-03-01,XDAX.MI,112.2,112.96,112.2,112.34,1836
2019-03-04,XDAX.MI,112.8,112.8,112.3,112.3,2187
2019-03-05,XDAX.MI,112.16,112.56,112.1,112.52,1697
2019-03-06,XDAX.MI,112.22,112.64,112.12,112.26,2890
2019-03-07,XDAX.MI,111.76,112.42,111.18,111.48,2416
2019-03-08,XDAX.MI,110.88,111.08,110.46,111.04,27208
2019-03-11,XDAX.MI,111.36,111.78,111.18,111.74,777
2019-03-12,XDAX.MI,112.08,112.08,111.48,111.7,1026
2019-03-13,XDAX.MI,111.44,112.1,111.44,112.1,1052
2019-03-14,XDAX.MI,112.54,112.62,111.98,112.28,7857
2019-03-15,XDAX.MI,112.28,113.34,112.14,113.08,16735
2019-03-18,XDAX.MI,113.24,113.24,112.76,112.9,1457
2019-03-19,XDAX.MI,113.0,114.26,113.0,114.18,598
2019-03-20,XDAX.MI,113.4,113.4,112.38,112.52,10928
2019-03-21,XDAX.MI,111.74,112.1,111.32,111.9,46056
2019-03-22,XDAX.MI,112.26,112.3,110.0,110.1,3915
2019-03-25,XDAX.MI,109.88,110.24,109.68,109.96,7372
2019-03-26,XDAX.MI,109.54,110.72,109.5,110.6,3675
2019-03-27,XDAX.MI,110.82,110.82,110.1,110.54,2176
2019-03-28,XDAX.MI,110.62,111.08,110.62,110.68,708
2019-03-29,XDAX.MI,111.1,111.74,111.1,111.52,2434
2019-04-01,XDAX.MI,112.7,113.34,112.7,113.14,3512
2019-04-02,XDAX.MI,113.22,113.88,113.02,113.88,2954
2019-04-03,XDAX.MI,114.84,115.84,114.84,115.84,7412
2019-04-04,XDAX.MI,115.52,116.14,115.52,116.14,310
2019-04-05,XDAX.MI,116.08,116.36,116.04,116.36,6429
2019-04-08,XDAX.MI,115.9,116.02,115.74,115.74,370
2019-04-09,XDAX.MI,115.66,116.0,114.96,114.96,4850
2019-04-10,XDAX.MI,115.24,115.5,115.24,115.34,6667
2019-04-11,XDAX.MI,115.38,115.72,114.8,115.7,10897
2019-04-12,XDAX.MI,115.52,116.4,115.52,116.18,7668
2019-04-15,XDAX.MI,116.28,116.44,116.12,116.4,4063
2019-04-16,XDAX.MI,116.56,117.28,116.56,117.28,6407
2019-04-17,XDAX.MI,117.22,118.02,117.1,117.72,20139
2019-04-18,XDAX.MI,117.24,118.28,117.24,118.26,9123
2019-04-23,XDAX.MI,118.04,118.54,118.04,118.54,709
2019-04-24,XDAX.MI,118.7,119.58,118.36,119.08,8666
2019-04-25,XDAX.MI,118.98,119.08,118.94,118.94,735
2019-04-26,XDAX.MI,118.8,119.28,118.8,119.28,155
