Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,XDER.MI,25.74,25.74,25.61,25.65,1360
2018-01-03,XDER.MI,25.68,25.875,25.68,25.845,3321
2018-01-04,XDER.MI,25.82,25.82,25.755,25.755,260
2018-01-05,XDER.MI,25.785,26.01,25.785,26.01,2699
2018-01-08,XDER.MI,26.18,26.285,26.18,26.26,210
2018-01-09,XDER.MI,26.2,26.245,26.2,26.24,1307
2018-01-10,XDER.MI,26.165,26.165,25.83,25.83,6
2018-01-11,XDER.MI,25.73,25.73,25.425,25.455,2295
2018-01-12,XDER.MI,25.455,25.455,25.455,25.455,0
2018-01-15,XDER.MI,25.35,25.36,25.31,25.36,649
2018-01-16,XDER.MI,25.445,25.645,25.445,25.605,3054
2018-01-17,XDER.MI,25.645,25.73,25.61,25.71,1749
2018-01-18,XDER.MI,25.61,25.64,25.505,25.55,3667
2018-01-19,XDER.MI,25.55,25.55,25.55,25.55,0
2018-01-22,XDER.MI,25.615,25.635,25.615,25.635,743
2018-01-23,XDER.MI,25.77,25.79,25.77,25.785,174
2018-01-24,XDER.MI,25.775,25.79,25.7,25.7,1163
2018-01-25,XDER.MI,25.775,25.775,25.435,25.435,113
2018-01-26,XDER.MI,25.56,25.655,25.56,25.655,40
2018-01-29,XDER.MI,25.47,25.47,25.445,25.445,4500
2018-01-30,XDER.MI,25.4,25.475,25.36,25.37,5698
2018-01-31,XDER.MI,25.445,25.52,25.435,25.5,5818
2018-02-01,XDER.MI,25.61,25.61,25.22,25.245,1770
2018-02-02,XDER.MI,25.125,25.265,24.9,24.9,2978
2018-02-05,XDER.MI,24.72,24.72,24.375,24.375,615
2018-02-06,XDER.MI,23.81,23.92,23.81,23.815,359
2018-02-07,XDER.MI,23.895,24.355,23.895,24.32,745
2018-02-08,XDER.MI,24.2,24.2,23.85,23.85,2809
2018-02-09,XDER.MI,23.81,23.81,23.745,23.745,1830
2018-02-12,XDER.MI,24.0,24.0,23.97,23.97,1532
2018-02-13,XDER.MI,23.97,23.97,23.97,23.97,0
2018-02-14,XDER.MI,24.13,24.13,23.95,23.95,125
2018-02-15,XDER.MI,23.95,23.95,23.95,23.95,0
2018-02-16,XDER.MI,24.245,24.335,24.245,24.335,85
2018-02-19,XDER.MI,24.295,24.295,24.12,24.145,3542
2018-02-20,XDER.MI,24.145,24.145,24.145,24.145,0
2018-02-21,XDER.MI,24.25,24.27,24.24,24.27,733
2018-02-22,XDER.MI,24.27,24.27,24.27,24.27,0
2018-02-23,XDER.MI,24.57,24.59,24.56,24.56,103
2018-02-26,XDER.MI,24.75,24.75,24.55,24.61,10005
2018-02-27,XDER.MI,24.5,24.5,24.325,24.325,485
2018-02-28,XDER.MI,24.325,24.325,24.325,24.325,0
2018-03-01,XDER.MI,23.955,24.25,23.955,24.055,644
2018-03-02,XDER.MI,23.95,23.95,23.765,23.815,3509
2018-03-05,XDER.MI,23.94,24.13,23.94,24.13,146
2018-03-06,XDER.MI,23.98,24.05,23.98,24.05,1466
2018-03-07,XDER.MI,24.05,24.05,24.05,24.05,0
2018-03-08,XDER.MI,24.78,24.78,24.725,24.725,48
2018-03-09,XDER.MI,24.96,24.96,24.62,24.62,88
2018-03-12,XDER.MI,24.75,24.75,24.685,24.685,81
2018-03-13,XDER.MI,24.785,24.785,24.555,24.555,100
2018-03-14,XDER.MI,24.6,24.63,24.6,24.63,2658
2018-03-15,XDER.MI,24.63,24.63,24.63,24.63,0
2018-03-16,XDER.MI,24.715,24.715,24.605,24.605,328
2018-03-19,XDER.MI,24.88,24.88,24.85,24.85,48
2018-03-20,XDER.MI,25.03,25.03,25.005,25.005,25
2018-03-21,XDER.MI,25.005,25.005,25.005,25.005,0
2018-03-22,XDER.MI,25.005,25.005,25.005,25.005,0
2018-03-23,XDER.MI,24.56,24.73,24.56,24.65,454
2018-03-26,XDER.MI,24.555,24.555,24.435,24.435,218
2018-03-27,XDER.MI,24.48,24.71,24.48,24.71,249
2018-03-28,XDER.MI,24.71,24.71,24.71,24.71,0
2018-03-29,XDER.MI,25.01,25.105,25.01,25.105,2114
2018-04-03,XDER.MI,24.895,25.035,24.895,25.03,14
2018-04-04,XDER.MI,25.03,25.03,25.03,25.03,0
2018-04-05,XDER.MI,25.225,25.27,25.225,25.27,4
2018-04-06,XDER.MI,25.27,25.27,25.27,25.27,0
