Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,XDW0.MI,28.355,28.5,28.355,28.5,744
2018-01-03,XDW0.MI,28.91,29.03,28.825,29.03,15357
2018-01-04,XDW0.MI,29.1,29.23,29.1,29.23,3434
2018-01-05,XDW0.MI,29.335,29.44,29.255,29.255,33010
2018-01-08,XDW0.MI,29.525,29.525,29.43,29.44,2606
2018-01-09,XDW0.MI,29.665,29.755,29.645,29.69,5692
2018-01-10,XDW0.MI,29.49,29.655,29.48,29.585,4107
2018-01-11,XDW0.MI,29.655,29.735,29.46,29.735,443
2018-01-12,XDW0.MI,29.735,29.735,29.65,29.705,50
2018-01-15,XDW0.MI,29.65,29.7,29.545,29.66,638
2018-01-16,XDW0.MI,29.63,29.76,29.475,29.49,72100
2018-01-17,XDW0.MI,29.35,29.47,29.225,29.35,35097
2018-01-18,XDW0.MI,29.535,29.56,29.335,29.335,2554
2018-01-19,XDW0.MI,29.19,29.2,29.11,29.15,1218
2018-01-22,XDW0.MI,29.25,29.49,29.19,29.49,366
2018-01-23,XDW0.MI,29.67,29.7,29.49,29.56,87228
2018-01-24,XDW0.MI,29.595,29.595,29.385,29.385,2876
2018-01-25,XDW0.MI,29.395,29.49,29.055,29.055,90269
2018-01-26,XDW0.MI,29.11,29.235,29.11,29.18,2369
2018-01-29,XDW0.MI,29.07,29.245,29.065,29.105,1445
2018-01-30,XDW0.MI,28.665,28.665,28.375,28.38,4956
2018-01-31,XDW0.MI,28.195,28.2,28.135,28.14,1358
2018-02-01,XDW0.MI,28.36,28.36,28.055,28.055,836
2018-02-02,XDW0.MI,28.135,28.215,27.585,27.585,691
2018-02-05,XDW0.MI,27.245,27.275,27.115,27.125,1832
2018-02-06,XDW0.MI,26.235,26.355,25.975,26.18,6269
2018-02-07,XDW0.MI,26.6,26.86,26.535,26.82,409
2018-02-08,XDW0.MI,26.515,26.59,26.215,26.215,2023
2018-02-09,XDW0.MI,25.93,26.005,25.58,25.58,3094
2018-02-12,XDW0.MI,26.185,26.21,26.01,26.01,4565
2018-02-13,XDW0.MI,25.84,25.925,25.825,25.84,4308
2018-02-14,XDW0.MI,25.895,25.895,25.645,25.89,4249
2018-02-15,XDW0.MI,26.12,26.17,25.71,25.845,84202
2018-02-16,XDW0.MI,26.075,26.225,26.075,26.225,1350
2018-02-19,XDW0.MI,26.84,26.84,26.18,26.205,1366
2018-02-20,XDW0.MI,26.245,26.33,26.235,26.33,5773
2018-02-21,XDW0.MI,26.085,26.34,26.085,26.34,2064
2018-02-22,XDW0.MI,25.925,26.335,25.925,26.335,10850
2018-02-23,XDW0.MI,26.165,26.405,26.13,26.405,6587
2018-02-26,XDW0.MI,26.745,26.745,26.675,26.71,1888
2018-02-27,XDW0.MI,26.785,26.86,26.74,26.805,1901
2018-02-28,XDW0.MI,26.595,26.73,26.52,26.52,2717
2018-03-01,XDW0.MI,26.085,26.14,26.06,26.11,2204
2018-03-02,XDW0.MI,25.73,25.73,25.49,25.53,2967
2018-03-05,XDW0.MI,25.8,25.935,25.625,25.935,576
2018-03-06,XDW0.MI,25.98,26.095,25.875,25.875,2640
2018-03-07,XDW0.MI,25.7,25.785,25.7,25.785,2158
2018-03-08,XDW0.MI,25.705,25.865,25.7,25.81,2863
2018-03-09,XDW0.MI,26.105,26.24,26.03,26.24,1908
2018-03-12,XDW0.MI,26.375,26.44,26.2,26.255,508
2018-03-13,XDW0.MI,26.325,26.35,26.045,26.045,3620
2018-03-14,XDW0.MI,26.125,26.125,25.975,25.975,1584
2018-03-15,XDW0.MI,26.005,26.06,25.81,25.81,4657
2018-03-16,XDW0.MI,25.85,26.205,25.85,26.205,1832
2018-03-19,XDW0.MI,26.0,26.0,25.69,25.69,630
2018-03-20,XDW0.MI,25.725,26.045,25.725,26.045,4367
2018-03-21,XDW0.MI,26.0,26.58,25.96,26.58,14562
2018-03-22,XDW0.MI,26.43,26.43,26.245,26.245,3449
2018-03-23,XDW0.MI,25.975,26.18,25.9,26.145,27644
2018-03-26,XDW0.MI,26.045,26.045,25.76,25.76,1614
2018-03-27,XDW0.MI,26.38,26.38,26.2,26.2,590
2018-03-28,XDW0.MI,26.0,26.005,25.9,25.9,5368
2018-03-29,XDW0.MI,25.855,26.225,25.85,26.215,489
2018-04-03,XDW0.MI,26.025,26.105,26.02,26.105,378
2018-04-04,XDW0.MI,26.035,26.165,26.035,26.165,738
2018-04-05,XDW0.MI,26.585,27.13,26.575,27.13,1457
2018-04-06,XDW0.MI,26.935,27.025,26.795,26.795,1376
2018-04-09,XDW0.MI,26.69,26.845,26.69,26.845,284
2018-04-10,XDW0.MI,27.075,27.38,27.005,27.38,2050
2018-04-11,XDW0.MI,27.245,27.525,27.245,27.525,981
2018-04-12,XDW0.MI,27.625,27.73,27.605,27.63,2736
2018-04-13,XDW0.MI,27.65,27.905,27.65,27.905,970
2018-04-16,XDW0.MI,27.69,27.885,27.69,27.885,1866
2018-04-17,XDW0.MI,27.895,28.11,27.895,28.11,4206
2018-04-18,XDW0.MI,28.275,28.525,28.275,28.525,3066
2018-04-19,XDW0.MI,28.6,28.825,28.595,28.825,3689
2018-04-20,XDW0.MI,28.63,28.685,28.54,28.605,58276
2018-04-23,XDW0.MI,28.665,28.845,28.625,28.845,1241
2018-04-24,XDW0.MI,29.09,29.125,29.0,29.085,3150
2018-04-25,XDW0.MI,29.085,29.085,29.085,29.085,0
2018-04-26,XDW0.MI,28.86,29.29,28.855,29.275,70013
2018-04-27,XDW0.MI,29.32,29.395,29.1,29.19,16729
2018-04-30,XDW0.MI,28.97,29.325,28.97,29.32,275
2018-05-02,XDW0.MI,29.395,29.525,29.23,29.525,1426
2018-05-03,XDW0.MI,29.46,29.465,29.17,29.17,57941
2018-05-04,XDW0.MI,29.42,29.6,29.365,29.6,1268
2018-05-07,XDW0.MI,29.86,30.2,29.85,30.195,2092
2018-05-08,XDW0.MI,29.69,29.905,29.5,29.5,4067
2018-05-09,XDW0.MI,30.3,30.58,30.245,30.57,8863
2018-05-10,XDW0.MI,30.58,30.675,30.51,30.675,1871
2018-05-11,XDW0.MI,30.59,30.775,30.59,30.775,1714
2018-05-14,XDW0.MI,30.645,30.88,30.645,30.88,1552
2018-05-15,XDW0.MI,30.92,31.23,30.92,31.13,3901
2018-05-16,XDW0.MI,31.065,31.295,31.065,31.195,5833
2018-05-17,XDW0.MI,31.415,31.77,31.39,31.74,5059
2018-05-18,XDW0.MI,31.645,31.815,31.565,31.63,23991
2018-05-21,XDW0.MI,31.925,31.945,31.685,31.87,22605
2018-05-22,XDW0.MI,31.89,31.965,31.78,31.965,3299
2018-05-23,XDW0.MI,31.68,31.68,31.175,31.215,4966
2018-05-24,XDW0.MI,31.12,31.12,30.875,30.875,657
2018-05-25,XDW0.MI,30.795,30.795,30.19,30.19,11872
2018-05-28,XDW0.MI,30.045,30.16,30.0,30.06,687
2018-05-29,XDW0.MI,29.965,30.39,29.92,30.39,3490
2018-05-30,XDW0.MI,30.39,30.92,30.39,30.92,522
2018-05-31,XDW0.MI,30.85,30.935,30.775,30.935,5996
2018-06-01,XDW0.MI,30.99,31.095,30.885,31.075,404
2018-06-04,XDW0.MI,30.875,30.96,30.77,30.77,808
2018-06-05,XDW0.MI,30.68,30.715,30.58,30.675,9562
2018-06-06,XDW0.MI,30.685,30.685,30.35,30.545,385
2018-06-07,XDW0.MI,30.58,30.965,30.575,30.935,1234
2018-06-08,XDW0.MI,30.985,30.985,30.885,30.915,514
2018-06-11,XDW0.MI,30.785,30.96,30.785,30.96,4554
2018-06-12,XDW0.MI,31.175,31.175,30.98,30.985,2751
2018-06-13,XDW0.MI,30.735,30.815,30.735,30.785,1521
2018-06-14,XDW0.MI,30.635,31.14,30.635,31.14,650
2018-06-15,XDW0.MI,31.065,31.07,30.54,30.54,3179
2018-06-18,XDW0.MI,30.35,30.825,30.345,30.825,3892
2018-06-19,XDW0.MI,30.56,30.765,30.455,30.75,4269
2018-06-20,XDW0.MI,30.83,30.83,30.69,30.745,328
2018-06-21,XDW0.MI,30.7,30.7,30.38,30.38,2435
2018-06-22,XDW0.MI,30.355,31.03,30.355,31.01,6914
2018-06-25,XDW0.MI,30.705,30.705,30.07,30.07,1125
2018-06-26,XDW0.MI,30.24,30.475,30.24,30.475,406
2018-06-27,XDW0.MI,30.605,31.43,30.605,31.24,34042
2018-06-28,XDW0.MI,31.09,31.09,31.08,31.08,29
2018-06-29,XDW0.MI,31.205,31.33,31.02,31.33,7151
2018-07-02,XDW0.MI,31.07,31.07,30.975,30.975,1082
2018-07-03,XDW0.MI,30.96,31.185,30.94,31.06,2915
2018-07-04,XDW0.MI,31.185,31.205,31.135,31.205,2714
2018-07-05,XDW0.MI,31.16,31.335,31.01,31.08,4471
2018-07-06,XDW0.MI,30.92,31.02,30.695,31.02,5008
2018-07-09,XDW0.MI,31.145,31.405,31.145,31.405,189
2018-07-10,XDW0.MI,31.765,31.99,31.68,31.775,731
