Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,XDWH.MI,24.955,25.205,24.955,25.18,1186
2018-01-03,XDWH.MI,25.295,25.41,25.27,25.41,1862
2018-01-04,XDWH.MI,25.44,25.47,25.385,25.395,681
2018-01-05,XDWH.MI,25.54,25.675,25.54,25.675,1605
2018-01-08,XDWH.MI,25.93,25.93,25.685,25.685,7355
2018-01-09,XDWH.MI,25.755,26.055,25.755,26.055,4905
2018-01-10,XDWH.MI,26.0,26.0,25.76,25.83,6632
2018-01-11,XDWH.MI,25.77,25.77,25.695,25.715,767
2018-01-12,XDWH.MI,25.705,25.785,25.705,25.73,3088
2018-01-15,XDWH.MI,25.78,25.78,25.55,25.605,5288
2018-01-16,XDWH.MI,25.6,25.785,25.6,25.71,2697
2018-01-17,XDWH.MI,25.655,25.84,25.64,25.745,2782
2018-01-18,XDWH.MI,25.765,25.865,25.695,25.695,4516
2018-01-19,XDWH.MI,25.775,25.925,25.775,25.855,2691
2018-01-22,XDWH.MI,25.8,25.985,25.8,25.94,364
2018-01-23,XDWH.MI,26.09,26.13,26.005,26.045,7041
2018-01-24,XDWH.MI,26.01,26.01,25.86,25.86,413
2018-01-25,XDWH.MI,25.835,25.845,25.695,25.78,7154
2018-01-26,XDWH.MI,26.0,26.235,25.99,26.235,3054
2018-01-29,XDWH.MI,26.35,26.51,26.335,26.465,5694
2018-01-30,XDWH.MI,26.415,26.415,25.98,26.025,2009
2018-01-31,XDWH.MI,25.905,25.925,25.57,25.585,1571
2018-02-01,XDWH.MI,25.56,25.575,25.32,25.32,1756
2018-02-02,XDWH.MI,25.14,25.38,25.13,25.31,470
2018-02-05,XDWH.MI,25.05,25.05,24.905,24.905,5051
2018-02-06,XDWH.MI,24.355,24.355,23.8,23.975,738
2018-02-07,XDWH.MI,24.32,24.725,24.305,24.725,3307
2018-02-08,XDWH.MI,24.625,24.63,24.31,24.31,1994
2018-02-09,XDWH.MI,24.025,24.11,23.75,23.78,2920
2018-02-12,XDWH.MI,24.305,24.34,24.12,24.22,6378
2018-02-13,XDWH.MI,24.175,24.175,23.98,23.98,8435
2018-02-14,XDWH.MI,24.215,24.215,24.18,24.185,66
2018-02-15,XDWH.MI,24.295,24.41,24.295,24.32,1472
2018-02-16,XDWH.MI,24.635,24.81,24.6,24.81,2039
2018-02-19,XDWH.MI,24.78,24.89,24.685,24.73,7320
