Date,Ticker,Open,High,Low,Close,Volume
2018-09-18,XLCS.MI,41.425,41.425,41.425,41.425,0
2018-09-19,XLCS.MI,41.459,41.459,41.459,41.459,0
2018-09-20,XLCS.MI,41.881,41.881,41.881,41.881,0
2018-09-21,XLCS.MI,41.627,41.627,41.627,41.627,0
2018-09-24,XLCS.MI,41.686,41.686,41.686,41.686,0
2018-09-25,XLCS.MI,41.664,41.664,41.664,41.664,0
2018-09-26,XLCS.MI,41.845,41.845,41.845,41.845,0
2018-09-27,XLCS.MI,42.158,42.158,42.158,42.158,0
2018-09-28,XLCS.MI,41.971,41.971,41.971,41.971,0
2018-10-01,XLCS.MI,41.91,41.91,41.91,41.91,0
2018-10-02,XLCS.MI,41.965,41.965,41.965,41.965,0
2018-10-03,XLCS.MI,42.081,42.081,42.081,42.081,0
2018-10-04,XLCS.MI,41.544,41.544,41.544,41.544,0
2018-10-05,XLCS.MI,41.101,41.101,41.101,41.101,0
2018-10-08,XLCS.MI,41.083,41.083,41.083,41.083,0
2018-10-09,XLCS.MI,41.154,41.154,41.154,41.154,0
2018-10-10,XLCS.MI,39.586,39.586,39.586,39.586,0
2018-10-11,XLCS.MI,39.213,39.213,39.213,39.213,0
2018-10-12,XLCS.MI,39.988,39.988,39.988,39.988,0
2018-10-15,XLCS.MI,39.886,39.886,39.886,39.886,0
2018-10-16,XLCS.MI,40.799,40.799,40.799,40.799,0
2018-10-17,XLCS.MI,41.068,41.068,41.068,41.068,0
2018-10-18,XLCS.MI,40.353,40.353,40.353,40.353,0
2018-10-19,XLCS.MI,40.39,40.39,40.39,40.39,0
2018-10-22,XLCS.MI,40.343,40.343,40.343,40.343,0
2018-10-23,XLCS.MI,40.513,40.513,40.513,40.513,0
2018-10-24,XLCS.MI,38.544,38.544,38.544,38.544,0
2018-10-25,XLCS.MI,39.479,39.479,39.479,39.479,0
2018-10-26,XLCS.MI,38.508,38.508,38.508,38.508,0
2018-10-29,XLCS.MI,38.056,38.056,38.056,38.056,0
2018-10-30,XLCS.MI,39.057,39.057,39.057,39.057,0
2018-10-31,XLCS.MI,39.778,39.778,39.778,39.778,0
2018-11-01,XLCS.MI,39.872,39.872,39.872,39.872,0
2018-11-02,XLCS.MI,39.57,39.57,39.57,39.57,0
2018-11-05,XLCS.MI,39.515,39.515,39.515,39.515,0
2018-11-06,XLCS.MI,39.709,39.709,39.709,39.709,0
2018-11-07,XLCS.MI,40.385,40.385,40.385,40.385,0
2018-11-08,XLCS.MI,40.019,40.019,40.019,40.019,0
2018-11-09,XLCS.MI,39.446,39.446,39.446,39.446,0
2018-11-12,XLCS.MI,38.923,38.923,38.923,38.923,0
2018-11-13,XLCS.MI,38.814,38.814,38.814,38.814,0
2018-11-14,XLCS.MI,38.979,38.979,38.979,38.979,0
2018-11-15,XLCS.MI,39.158,39.158,39.158,39.158,0
2018-11-16,XLCS.MI,34.485,34.485,34.11,34.11,40
2018-11-19,XLCS.MI,34.11,34.11,34.11,34.11,0
2018-11-20,XLCS.MI,34.11,34.11,34.11,34.11,0
2018-11-21,XLCS.MI,34.11,34.11,34.11,34.11,0
2018-11-22,XLCS.MI,34.11,34.11,34.11,34.11,0
2018-11-23,XLCS.MI,33.25,33.25,33.14,33.14,180
2018-11-26,XLCS.MI,33.14,33.14,33.14,33.14,0
2018-11-27,XLCS.MI,33.14,33.14,33.14,33.14,0
2018-11-28,XLCS.MI,33.14,33.14,33.14,33.14,0
2018-11-29,XLCS.MI,33.14,33.14,33.14,33.14,0
2018-11-30,XLCS.MI,33.14,33.14,33.14,33.14,0
2018-12-03,XLCS.MI,33.14,33.14,33.14,33.14,0
2018-12-04,XLCS.MI,33.14,33.14,33.14,33.14,0
