Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,XLPS.MI,327.6,328.15,326.7,326.7,925
2018-01-03,XLPS.MI,325.85,327.05,325.85,326.5,2445
2018-01-04,XLPS.MI,325.3,326.15,325.0,326.0,1944
2018-01-05,XLPS.MI,326.75,328.15,326.75,327.95,241
2018-01-08,XLPS.MI,328.7,330.5,328.7,329.35,833
2018-01-09,XLPS.MI,331.6,332.75,331.6,332.75,805
2018-01-10,XLPS.MI,328.55,328.9,326.2,328.5,2041
2018-01-11,XLPS.MI,329.95,329.95,326.2,326.2,165
2018-01-12,XLPS.MI,325.35,325.35,323.6,323.6,839
2018-01-15,XLPS.MI,320.2,321.25,320.2,321.2,679
2018-01-16,XLPS.MI,322.9,324.1,321.7,322.2,585
2018-01-17,XLPS.MI,324.5,325.4,324.5,325.4,146
2018-01-18,XLPS.MI,327.15,327.15,324.35,324.35,1265
2018-01-19,XLPS.MI,324.55,327.65,324.5,327.65,466
2018-01-22,XLPS.MI,327.45,330.6,327.4,329.5,900
2018-01-23,XLPS.MI,331.0,331.15,327.95,329.0,403
2018-01-24,XLPS.MI,327.65,327.7,325.85,325.85,3410
2018-01-25,XLPS.MI,325.8,326.85,324.1,325.3,281
2018-01-26,XLPS.MI,325.0,325.8,324.55,325.8,592
2018-01-29,XLPS.MI,328.7,329.65,327.65,328.35,2894
2018-01-30,XLPS.MI,324.75,325.05,322.15,324.85,4056
2018-01-31,XLPS.MI,324.1,324.1,322.85,323.25,193
2018-02-01,XLPS.MI,323.35,323.4,319.85,320.35,2655
2018-02-02,XLPS.MI,317.8,319.4,317.6,317.95,666
2018-02-05,XLPS.MI,313.4,315.8,312.9,313.85,1975
2018-02-06,XLPS.MI,301.7,307.2,299.55,303.45,2499
2018-02-07,XLPS.MI,306.6,313.65,306.6,313.3,2959
2018-02-08,XLPS.MI,308.6,310.05,307.7,308.05,2850
2018-02-09,XLPS.MI,305.3,305.85,301.4,302.6,5217
2018-02-12,XLPS.MI,304.95,306.8,304.45,305.35,3794
2018-02-13,XLPS.MI,303.1,304.5,302.9,303.3,2815
2018-02-14,XLPS.MI,306.55,306.55,300.4,303.5,241
2018-02-15,XLPS.MI,302.3,303.4,302.3,303.4,710
2018-02-16,XLPS.MI,307.3,308.85,307.3,308.85,396
2018-02-19,XLPS.MI,310.45,311.4,309.25,309.25,128
2018-02-20,XLPS.MI,310.05,310.05,305.45,306.4,655
2018-02-21,XLPS.MI,305.0,305.8,304.35,304.35,567
2018-02-22,XLPS.MI,301.85,303.9,301.85,303.9,308
2018-02-23,XLPS.MI,302.85,304.05,302.65,304.05,215
2018-02-26,XLPS.MI,305.55,307.45,305.55,306.45,6
2018-02-27,XLPS.MI,306.45,308.95,306.45,307.4,2936
2018-02-28,XLPS.MI,306.35,306.35,305.3,305.3,407
2018-03-01,XLPS.MI,302.35,303.55,302.35,302.6,148
2018-03-02,XLPS.MI,297.95,299.95,297.45,299.75,785
2018-03-05,XLPS.MI,300.45,302.2,299.8,302.2,146
2018-03-06,XLPS.MI,302.55,302.55,300.4,300.45,8
2018-03-07,XLPS.MI,299.65,300.45,299.5,300.45,203
2018-03-08,XLPS.MI,299.35,302.85,299.35,302.6,1372
2018-03-09,XLPS.MI,304.7,305.95,304.7,305.3,1168
2018-03-12,XLPS.MI,307.1,308.05,306.05,306.45,424
2018-03-13,XLPS.MI,306.3,306.3,303.95,303.95,644
2018-03-14,XLPS.MI,305.35,305.35,302.2,302.2,52
2018-03-15,XLPS.MI,302.1,302.25,301.75,301.9,753
2018-03-16,XLPS.MI,303.2,303.2,302.2,302.2,6
2018-03-19,XLPS.MI,300.55,300.6,299.15,299.15,506
2018-03-20,XLPS.MI,297.55,299.15,297.2,297.7,281
2018-03-21,XLPS.MI,297.95,297.95,294.15,295.05,801
2018-03-22,XLPS.MI,291.0,294.25,290.8,294.25,52
2018-03-23,XLPS.MI,290.0,291.5,290.0,290.1,143
2018-03-26,XLPS.MI,286.4,287.7,285.65,285.65,937
2018-03-27,XLPS.MI,289.2,290.1,289.0,290.1,892
2018-03-28,XLPS.MI,294.35,294.5,293.25,294.0,2191
2018-03-29,XLPS.MI,296.45,298.05,295.5,297.55,446
2018-04-03,XLPS.MI,292.15,292.9,291.25,292.9,1639
2018-04-04,XLPS.MI,291.25,296.65,291.2,296.65,934
2018-04-05,XLPS.MI,300.35,302.15,300.35,302.15,1
2018-04-06,XLPS.MI,302.15,302.15,302.15,302.15,0
2018-04-09,XLPS.MI,298.45,298.45,297.0,297.25,605
2018-04-10,XLPS.MI,295.8,296.85,295.8,296.85,90
2018-04-11,XLPS.MI,293.8,294.8,293.2,294.8,834
2018-04-12,XLPS.MI,296.35,300.75,296.35,300.75,3956
2018-04-13,XLPS.MI,296.45,296.8,295.9,296.8,674
2018-04-16,XLPS.MI,296.55,298.15,296.55,298.15,20
2018-04-17,XLPS.MI,300.05,300.05,299.55,299.55,4
2018-04-18,XLPS.MI,299.55,299.55,299.55,299.55,0
2018-04-19,XLPS.MI,296.5,296.5,287.8,288.35,2998
2018-04-20,XLPS.MI,288.35,289.3,286.5,286.5,1422
2018-04-23,XLPS.MI,285.05,286.45,284.95,286.45,192
2018-04-24,XLPS.MI,285.3,285.3,285.3,285.3,101
