Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,XLYS.MI,264.35,266.6,264.35,266.6,90
2018-01-03,XLYS.MI,268.9,268.9,268.9,268.9,86
2018-01-04,XLYS.MI,268.6,268.7,267.75,267.75,6000
2018-01-05,XLYS.MI,270.2,270.95,270.05,270.95,2199
2018-01-08,XLYS.MI,272.75,273.3,272.6,273.3,2734
2018-01-09,XLYS.MI,274.6,275.15,274.6,275.15,70
2018-01-10,XLYS.MI,272.5,273.8,272.5,273.8,20
2018-01-11,XLYS.MI,273.65,273.85,273.65,273.85,10
2018-01-12,XLYS.MI,275.5,276.45,275.5,276.45,310
2018-01-15,XLYS.MI,275.65,276.0,275.65,276.0,20
2018-01-16,XLYS.MI,278.0,278.0,277.25,277.25,8
2018-01-17,XLYS.MI,274.25,276.0,274.25,274.3,39
2018-01-18,XLYS.MI,275.5,275.5,274.75,274.75,36
2018-01-19,XLYS.MI,276.1,276.75,276.0,276.75,171
2018-01-22,XLYS.MI,277.9,277.9,277.9,277.9,19
2018-01-23,XLYS.MI,281.0,281.0,280.95,280.95,16
2018-01-24,XLYS.MI,280.7,281.2,280.05,280.05,341
2018-01-25,XLYS.MI,280.5,280.5,276.55,277.1,1318
2018-01-26,XLYS.MI,277.1,277.1,277.1,277.1,0
2018-01-29,XLYS.MI,277.1,277.1,277.1,277.1,0
2018-01-30,XLYS.MI,282.65,282.65,279.4,280.85,359
2018-01-31,XLYS.MI,280.2,280.2,279.5,279.5,6
2018-02-01,XLYS.MI,280.65,280.65,276.35,276.75,458
2018-02-02,XLYS.MI,275.75,276.95,275.35,276.95,2190
2018-02-05,XLYS.MI,271.35,274.5,270.65,274.15,28625
2018-02-06,XLYS.MI,262.7,269.65,260.1,264.9,7464
2018-02-07,XLYS.MI,269.8,276.8,269.8,276.8,2712
2018-02-08,XLYS.MI,273.75,273.85,269.25,269.3,1272
2018-02-09,XLYS.MI,264.75,266.2,260.9,260.9,5078
2018-02-12,XLYS.MI,265.65,267.9,264.5,266.15,3377
2018-02-13,XLYS.MI,265.7,266.25,265.2,265.75,1682
2018-02-14,XLYS.MI,269.0,269.0,266.85,268.5,1078
2018-02-15,XLYS.MI,270.5,270.6,268.8,268.9,1537
2018-02-16,XLYS.MI,271.8,272.15,271.3,271.85,269
2018-02-19,XLYS.MI,272.1,272.8,271.4,271.4,232
2018-02-20,XLYS.MI,271.65,274.4,271.6,274.4,3104
2018-02-21,XLYS.MI,274.3,275.2,273.7,275.2,77
2018-02-22,XLYS.MI,273.1,274.2,273.0,274.2,216
2018-02-23,XLYS.MI,274.35,274.35,274.2,274.2,4
2018-02-26,XLYS.MI,277.85,278.15,277.85,278.0,148
2018-02-27,XLYS.MI,277.75,278.65,276.7,276.7,416
2018-02-28,XLYS.MI,276.25,277.05,275.85,275.85,21
2018-03-01,XLYS.MI,274.3,275.3,273.8,273.8,1514
2018-03-02,XLYS.MI,265.6,266.5,265.6,266.5,168
2018-03-05,XLYS.MI,269.05,269.9,268.0,269.9,164
2018-03-06,XLYS.MI,271.5,271.5,269.55,269.55,80
2018-03-07,XLYS.MI,268.9,270.15,268.9,270.15,345
2018-03-08,XLYS.MI,272.35,273.05,272.35,272.8,54
2018-03-09,XLYS.MI,274.7,275.15,274.6,275.15,360
2018-03-12,XLYS.MI,277.7,279.15,277.65,278.55,586
2018-03-13,XLYS.MI,278.7,278.7,275.5,275.5,644
2018-03-14,XLYS.MI,276.15,276.95,274.45,274.5,151
2018-03-15,XLYS.MI,275.35,276.45,275.05,275.9,218
2018-03-16,XLYS.MI,275.55,277.9,275.55,276.95,816
2018-03-19,XLYS.MI,275.4,275.4,270.95,271.6,927
2018-03-20,XLYS.MI,273.45,274.55,273.45,274.55,1394
2018-03-21,XLYS.MI,274.3,275.75,274.05,275.65,193
2018-03-22,XLYS.MI,271.1,271.55,269.05,269.9,704
2018-03-23,XLYS.MI,265.75,268.45,265.5,265.6,810
2018-03-26,XLYS.MI,263.6,264.3,261.1,261.65,730
2018-03-27,XLYS.MI,269.65,269.7,268.0,268.0,646
2018-03-28,XLYS.MI,261.95,264.15,259.35,259.8,6089
2018-03-29,XLYS.MI,262.55,264.1,260.45,264.1,2102
2018-04-03,XLYS.MI,258.25,261.1,258.25,261.1,105
2018-04-04,XLYS.MI,257.3,262.05,257.3,262.05,448
2018-04-05,XLYS.MI,269.35,271.55,268.15,271.4,1578
2018-04-06,XLYS.MI,267.75,267.75,267.75,267.75,40
2018-04-09,XLYS.MI,265.45,266.55,264.85,266.25,1990
2018-04-10,XLYS.MI,266.25,266.25,266.25,266.25,0
2018-04-11,XLYS.MI,262.3,265.9,262.3,265.5,1961
2018-04-12,XLYS.MI,266.9,267.85,266.9,267.25,272
2018-04-13,XLYS.MI,267.25,267.25,267.25,267.25,0
2018-04-16,XLYS.MI,265.75,265.75,264.3,265.35,376
2018-04-17,XLYS.MI,268.6,270.9,268.6,270.9,273
2018-04-18,XLYS.MI,271.0,272.8,271.0,272.8,54
2018-04-19,XLYS.MI,272.8,272.8,272.8,272.8,0
2018-04-20,XLYS.MI,271.05,272.15,271.05,271.1,14
2018-04-23,XLYS.MI,271.9,273.5,271.3,273.5,150
2018-04-24,XLYS.MI,274.45,274.45,270.65,271.45,1594
2018-04-25,XLYS.MI,268.25,270.05,266.65,270.05,347
2018-04-26,XLYS.MI,271.7,274.6,270.85,274.2,2973
2018-04-27,XLYS.MI,279.3,281.3,277.6,278.1,2168
2018-04-30,XLYS.MI,278.5,279.5,278.5,279.45,2063
2018-05-02,XLYS.MI,278.75,278.85,278.05,278.85,302
2018-05-03,XLYS.MI,275.3,275.3,273.35,273.4,285
2018-05-04,XLYS.MI,276.15,280.0,275.75,280.0,377
2018-05-07,XLYS.MI,283.1,283.1,281.1,281.95,264
2018-05-08,XLYS.MI,282.4,282.85,282.35,282.6,1035
2018-05-09,XLYS.MI,281.15,281.15,281.15,281.15,9
2018-05-10,XLYS.MI,281.15,281.15,281.15,281.15,0
2018-05-11,XLYS.MI,282.8,282.85,281.8,282.85,280
2018-05-14,XLYS.MI,282.85,283.25,281.7,283.0,66
2018-05-15,XLYS.MI,283.55,283.9,282.55,282.55,1264
2018-05-16,XLYS.MI,285.35,286.6,285.35,286.35,88
2018-05-17,XLYS.MI,287.2,288.35,287.2,288.2,373
2018-05-18,XLYS.MI,287.5,287.5,286.4,287.35,900
2018-05-21,XLYS.MI,289.45,289.45,288.15,288.15,60
2018-05-22,XLYS.MI,287.65,289.05,287.55,287.55,1567
2018-05-23,XLYS.MI,285.95,288.85,285.7,288.85,450
2018-05-24,XLYS.MI,289.95,290.75,289.35,289.85,325
2018-05-25,XLYS.MI,291.5,294.15,291.5,293.9,336
2018-05-28,XLYS.MI,294.15,294.7,293.65,294.7,41
2018-05-29,XLYS.MI,293.2,294.8,293.05,294.8,455
2018-05-30,XLYS.MI,292.6,293.4,292.15,293.15,759
2018-05-31,XLYS.MI,292.95,292.95,291.9,291.9,30
2018-06-01,XLYS.MI,292.4,293.55,291.45,293.55,487
2018-06-04,XLYS.MI,293.5,295.4,293.5,295.4,3
2018-06-05,XLYS.MI,296.65,297.8,296.65,297.45,85
2018-06-06,XLYS.MI,296.9,297.8,296.9,297.8,540
2018-06-07,XLYS.MI,298.2,299.4,297.9,298.55,827
2018-06-08,XLYS.MI,299.5,300.3,299.1,300.25,865
2018-06-11,XLYS.MI,300.0,300.65,299.85,300.65,282
2018-06-12,XLYS.MI,300.8,302.5,300.8,302.5,526
2018-06-13,XLYS.MI,304.05,304.55,302.75,304.55,68
2018-06-14,XLYS.MI,304.0,309.4,304.0,309.4,740
2018-06-15,XLYS.MI,310.25,310.55,310.0,310.0,250
2018-06-18,XLYS.MI,320.0,320.0,308.9,310.9,1533
2018-06-19,XLYS.MI,308.35,310.45,307.85,309.7,354
2018-06-20,XLYS.MI,312.65,312.65,311.9,311.95,133
2018-06-21,XLYS.MI,315.4,315.4,310.8,311.25,341
2018-06-22,XLYS.MI,309.25,310.1,309.25,310.1,1113
2018-06-25,XLYS.MI,305.75,306.41,300.1,300.1,375
2018-06-26,XLYS.MI,302.55,302.71,301.86,302.22,339
2018-06-27,XLYS.MI,301.7,306.28,301.68,305.22,1678
2018-06-28,XLYS.MI,303.55,303.55,301.26,301.91,387
2018-06-29,XLYS.MI,304.92,304.92,303.73,303.88,219
2018-07-02,XLYS.MI,300.5,302.16,300.5,302.16,41
2018-07-03,XLYS.MI,303.9,303.9,302.99,303.0,1154
2018-07-04,XLYS.MI,302.25,302.25,301.86,301.86,1
2018-07-05,XLYS.MI,302.18,302.18,300.32,300.32,5
2018-07-06,XLYS.MI,302.61,302.61,300.52,302.14,183
2018-07-09,XLYS.MI,303.82,305.09,303.82,305.09,142
2018-07-10,XLYS.MI,307.99,308.04,305.58,307.05,1074
2018-07-11,XLYS.MI,306.04,306.8,304.86,306.8,105
2018-07-12,XLYS.MI,308.5,309.41,308.5,308.59,222
2018-07-13,XLYS.MI,311.35,311.51,310.71,311.15,734
2018-07-16,XLYS.MI,311.35,311.35,309.0,309.89,48
2018-07-17,XLYS.MI,306.1,310.4,305.65,310.4,1173
2018-07-18,XLYS.MI,313.42,313.42,312.02,312.02,23
2018-07-19,XLYS.MI,310.74,313.72,310.74,313.72,124
2018-07-20,XLYS.MI,319.5,319.5,309.07,309.81,301
2018-07-23,XLYS.MI,308.17,308.17,306.35,307.73,546
2018-07-24,XLYS.MI,309.29,310.08,308.26,308.61,699
2018-07-25,XLYS.MI,307.33,307.33,306.06,306.84,343
2018-07-26,XLYS.MI,307.1,310.02,307.1,310.02,2042
2018-07-27,XLYS.MI,312.92,313.81,310.26,310.5,2856
2018-07-30,XLYS.MI,307.54,307.54,305.11,305.34,245
2018-07-31,XLYS.MI,304.2,306.03,303.86,306.03,764
2018-08-01,XLYS.MI,306.48,306.57,305.95,305.95,527
2018-08-02,XLYS.MI,304.79,306.75,304.79,306.75,67
2018-08-03,XLYS.MI,310.21,310.21,309.95,309.95,106
2018-08-06,XLYS.MI,312.5,312.5,311.67,312.25,323
2018-08-07,XLYS.MI,312.5,313.5,312.5,313.2,147
2018-08-08,XLYS.MI,313.05,314.14,313.05,313.86,305
2018-08-09,XLYS.MI,314.14,315.72,314.14,315.72,37
2018-08-10,XLYS.MI,317.85,318.88,317.31,318.88,144
2018-08-13,XLYS.MI,318.07,318.07,316.43,316.43,125
2018-08-14,XLYS.MI,317.93,320.0,317.54,319.88,204
