Date,Ticker,Open,High,Low,Close,Volume
2018-01-02,XYP1.MI,141.98,142.0,141.96,142.0,1498
2018-01-03,XYP1.MI,142.02,142.08,142.02,142.04,580
2018-01-04,XYP1.MI,142.04,142.09,142.0,142.05,1058
2018-01-05,XYP1.MI,142.03,142.03,141.77,141.77,11427
2018-01-08,XYP1.MI,142.04,142.13,142.04,142.09,3446
2018-01-09,XYP1.MI,142.05,142.18,142.05,142.08,14066
2018-01-10,XYP1.MI,142.12,142.14,142.05,142.07,6386
2018-01-11,XYP1.MI,142.02,142.37,141.93,141.93,6095
2018-01-12,XYP1.MI,141.94,142.01,141.92,142.01,2450
2018-01-15,XYP1.MI,142.0,142.0,141.94,141.98,5098
2018-01-16,XYP1.MI,141.97,142.03,141.97,142.03,879
2018-01-17,XYP1.MI,141.96,142.12,141.96,142.03,2384
2018-01-18,XYP1.MI,141.92,141.96,141.92,141.96,1300
2018-01-19,XYP1.MI,141.98,142.02,141.98,142.02,3108
2018-01-22,XYP1.MI,142.0,142.06,141.8,142.05,3412
2018-01-23,XYP1.MI,142.06,142.3,142.04,142.08,3530
2018-01-24,XYP1.MI,142.02,142.04,142.02,142.04,2314
2018-01-25,XYP1.MI,142.06,142.06,142.02,142.02,3214
2018-01-26,XYP1.MI,142.0,142.0,141.91,141.94,2275
2018-01-29,XYP1.MI,141.84,141.92,141.84,141.91,1978
2018-01-30,XYP1.MI,141.88,142.0,141.88,141.95,2237
2018-01-31,XYP1.MI,141.91,142.01,141.91,141.97,3340
2018-02-01,XYP1.MI,141.9,142.0,141.9,142.0,2550
2018-02-02,XYP1.MI,141.94,142.09,141.92,141.94,2111
2018-02-05,XYP1.MI,141.94,142.02,141.84,141.99,2806
2018-02-06,XYP1.MI,141.98,141.98,141.64,141.95,2896
2018-02-07,XYP1.MI,142.0,142.01,141.96,142.01,4896
2018-02-08,XYP1.MI,141.88,141.94,141.88,141.93,1920
2018-02-09,XYP1.MI,142.29,142.29,141.9,141.97,3207
2018-02-12,XYP1.MI,141.93,142.01,141.93,141.98,5213
2018-02-13,XYP1.MI,141.88,141.95,141.88,141.95,1156
2018-02-14,XYP1.MI,141.94,141.94,141.94,141.94,2557
2018-02-15,XYP1.MI,141.87,141.91,141.87,141.91,1027
2018-02-16,XYP1.MI,141.89,141.94,141.89,141.94,2107
2018-02-19,XYP1.MI,141.87,141.94,141.87,141.9,1398
2018-02-20,XYP1.MI,141.89,141.93,141.89,141.93,1817
2018-02-21,XYP1.MI,141.88,141.91,141.88,141.91,2432
2018-02-22,XYP1.MI,141.88,141.96,141.88,141.96,4354
2018-02-23,XYP1.MI,141.87,141.91,141.87,141.91,1407
2018-02-26,XYP1.MI,141.87,141.93,141.87,141.93,3178
2018-02-27,XYP1.MI,141.88,141.96,141.87,141.92,2369
2018-02-28,XYP1.MI,141.88,141.95,141.88,141.95,1201
2018-03-01,XYP1.MI,141.92,141.95,141.92,141.95,1934
2018-03-02,XYP1.MI,141.93,141.98,141.93,141.98,1729
2018-03-05,XYP1.MI,141.93,142.0,141.93,141.97,1886
2018-03-06,XYP1.MI,141.95,142.3,141.95,142.3,3153
2018-03-07,XYP1.MI,141.93,142.04,141.93,142.02,1233
2018-03-08,XYP1.MI,141.93,142.0,141.92,142.0,2018
2018-03-09,XYP1.MI,141.95,142.07,141.95,142.07,2109
2018-03-12,XYP1.MI,142.02,142.04,141.97,142.04,3112
2018-03-13,XYP1.MI,141.99,142.02,141.97,142.02,2057
2018-03-14,XYP1.MI,141.97,142.05,141.97,142.05,1520
2018-03-15,XYP1.MI,141.94,142.04,141.94,142.04,1098
2018-03-16,XYP1.MI,141.99,142.02,141.99,142.02,1604
2018-03-19,XYP1.MI,141.98,142.02,141.98,142.02,5266
2018-03-20,XYP1.MI,141.99,142.06,141.99,142.03,1713
2018-03-21,XYP1.MI,142.0,142.03,142.0,142.03,1482
2018-03-22,XYP1.MI,142.03,142.56,142.03,142.13,4838
2018-03-23,XYP1.MI,142.13,142.13,142.13,142.13,0
2018-03-26,XYP1.MI,142.03,142.15,142.03,142.11,2852
2018-03-27,XYP1.MI,142.07,142.12,142.07,142.12,1742
2018-03-28,XYP1.MI,142.08,142.11,142.07,142.11,3234
2018-03-29,XYP1.MI,142.08,142.15,142.08,142.15,1805
2018-04-03,XYP1.MI,142.08,142.17,142.04,142.14,46026
2018-04-04,XYP1.MI,142.15,142.18,142.14,142.18,781
2018-04-05,XYP1.MI,142.14,142.21,142.14,142.15,3705
2018-04-06,XYP1.MI,142.1,142.15,142.07,142.12,16399
2018-04-09,XYP1.MI,142.1,142.2,142.09,142.13,6524
2018-04-10,XYP1.MI,142.11,142.11,141.73,142.1,6473
2018-04-11,XYP1.MI,142.1,142.1,142.02,142.06,1877
2018-04-12,XYP1.MI,141.97,142.16,141.97,142.04,1681
2018-04-13,XYP1.MI,142.01,142.05,142.01,142.05,1605
2018-04-16,XYP1.MI,142.01,142.02,141.99,142.02,2101
2018-04-17,XYP1.MI,142.02,142.06,142.02,142.06,1961
2018-04-18,XYP1.MI,142.05,142.07,142.04,142.07,3126
2018-04-19,XYP1.MI,141.99,142.0,141.98,141.99,2834
2018-04-20,XYP1.MI,142.0,142.04,141.97,142.04,2146
