Date,Ticker,Open,High,Low,Close,Volume
2026-02-09,YICAU.MI,10.752,10.752,10.752,10.752,0
2026-02-10,YICAU.MI,10.752,10.752,10.752,10.752,0
2026-02-11,YICAU.MI,10.752,10.752,10.752,10.752,0
2026-02-12,YICAU.MI,10.752,10.752,10.752,10.752,0
2026-02-13,YICAU.MI,10.752,10.752,10.752,10.752,0
2026-02-16,YICAU.MI,10.984,10.984,10.958,10.958,1916
2026-02-17,YICAU.MI,10.958,10.958,10.958,10.958,0
2026-02-18,YICAU.MI,10.968,11.056,10.968,11.056,133
2026-02-19,YICAU.MI,11.056,11.112,11.056,11.112,230
2026-02-20,YICAU.MI,11.152,11.178,11.152,11.154,944
2026-02-23,YICAU.MI,11.154,11.154,11.154,11.154,0
2026-02-24,YICAU.MI,11.154,11.154,11.154,11.154,0
2026-02-25,YICAU.MI,11.154,11.154,11.154,11.154,0
2026-02-26,YICAU.MI,11.296,11.346,11.296,11.346,438
2026-02-27,YICAU.MI,11.402,11.408,11.348,11.348,9678
2026-03-02,YICAU.MI,11.348,11.348,11.348,11.348,0
2026-03-03,YICAU.MI,11.38,11.38,11.32,11.32,76
2026-03-04,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-05,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-09,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-10,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-11,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-12,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-13,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-16,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-17,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-18,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-19,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-20,YICAU.MI,11.32,11.32,11.32,11.32,0
2026-03-23,YICAU.MI,10.59,10.76,10.59,10.76,115
2026-03-24,YICAU.MI,10.76,10.76,10.76,10.76,0
2026-03-25,YICAU.MI,10.76,10.76,10.76,10.76,0
2026-03-26,YICAU.MI,10.76,10.76,10.76,10.76,0
2026-03-27,YICAU.MI,10.76,10.76,10.76,10.76,0
2026-03-30,YICAU.MI,10.76,10.76,10.76,10.76,0
2026-03-31,YICAU.MI,10.76,10.76,10.76,10.76,0
2026-04-01,YICAU.MI,10.984,10.992,10.984,10.992,50
2026-04-02,YICAU.MI,10.992,10.992,10.992,10.992,0
2026-04-07,YICAU.MI,10.992,10.992,10.992,10.992,0
2026-04-08,YICAU.MI,10.992,10.992,10.992,10.992,0
2026-04-09,YICAU.MI,11.21,11.22,11.196,11.196,4000
