Date,Ticker,Open,High,Low,Close,Volume
2026-06-08,YIWSU.MI,9.454,9.454,9.454,9.454,0
2026-06-09,YIWSU.MI,9.454,9.454,9.454,9.454,0
2026-06-10,YIWSU.MI,9.349,9.349,9.307,9.307,560
2026-06-11,YIWSU.MI,9.336,9.336,9.309,9.312,1672
2026-06-12,YIWSU.MI,9.312,9.312,9.312,9.312,0
2026-06-15,YIWSU.MI,9.312,9.312,9.312,9.312,0
2026-06-16,YIWSU.MI,9.569,9.569,9.546,9.546,154
2026-06-17,YIWSU.MI,9.541,9.546,9.527,9.527,1050
2026-06-18,YIWSU.MI,9.527,9.527,9.527,9.527,0
2026-06-19,YIWSU.MI,9.527,9.527,9.527,9.527,0
2026-06-22,YIWSU.MI,9.599,9.599,9.56,9.56,300
2026-06-23,YIWSU.MI,9.432,9.513,9.432,9.49,3294
2026-06-24,YIWSU.MI,9.503,9.556,9.499,9.556,16271
2026-06-25,YIWSU.MI,9.525,9.547,9.485,9.506,8310
2026-06-26,YIWSU.MI,9.472,9.505,9.466,9.505,13793
2026-06-29,YIWSU.MI,9.5,9.553,9.5,9.553,1063
2026-06-30,YIWSU.MI,9.611,9.636,9.611,9.636,1281
2026-07-01,YIWSU.MI,9.636,9.636,9.636,9.636,0
2026-07-02,YIWSU.MI,9.636,9.636,9.636,9.636,0
2026-07-03,YIWSU.MI,9.636,9.636,9.636,9.636,0
2026-07-06,YIWSU.MI,9.636,9.636,9.636,9.636,0
2026-07-07,YIWSU.MI,9.636,9.636,9.636,9.636,0
2026-07-08,YIWSU.MI,9.636,9.636,9.636,9.636,0
2026-07-09,YIWSU.MI,9.636,9.636,9.636,9.636,0
2026-07-10,YIWSU.MI,9.636,9.636,9.636,9.636,0
2026-07-13,YIWSU.MI,9.666,9.695,9.666,9.695,300
2026-07-14,YIWSU.MI,9.695,9.695,9.695,9.695,0
2026-07-15,YIWSU.MI,9.695,9.695,9.695,9.695,0
2026-07-16,YIWSU.MI,9.641,9.688,9.628,9.688,14108
2026-07-17,YIWSU.MI,9.688,9.688,9.688,9.688,0
2026-07-20,YIWSU.MI,9.605,9.606,9.605,9.606,550
2026-07-21,YIWSU.MI,9.606,9.606,9.606,9.606,0
2026-07-22,YIWSU.MI,9.606,9.606,9.606,9.606,0
2026-07-23,YIWSU.MI,9.606,9.606,9.606,9.606,0
2026-07-24,YIWSU.MI,9.532,9.542,9.532,9.542,10
2026-07-27,YIWSU.MI,9.596,9.596,9.508,9.508,14340
2026-07-28,YIWSU.MI,9.508,9.508,9.508,9.508,0
2026-07-29,YIWSU.MI,9.508,9.508,9.508,9.508,0
2026-07-30,YIWSU.MI,9.508,9.508,9.508,9.508,0
2026-07-31,YIWSU.MI,9.508,9.508,9.508,9.508,0
2026-08-03,YIWSU.MI,9.651,9.71,9.651,9.71,1425
2026-08-04,YIWSU.MI,9.71,9.71,9.71,9.71,0
2026-08-05,YIWSU.MI,9.71,9.71,9.71,9.71,0
2026-08-06,YIWSU.MI,9.71,9.71,9.71,9.71,0
2026-08-07,YIWSU.MI,9.71,9.71,9.71,9.71,0
2026-08-10,YIWSU.MI,9.71,9.71,9.71,9.71,0
2026-08-11,YIWSU.MI,9.71,9.71,9.71,9.71,0
2026-08-12,YIWSU.MI,9.916,9.916,9.911,9.911,5312
2026-08-13,YIWSU.MI,9.911,9.911,9.911,9.911,0
2026-08-14,YIWSU.MI,9.911,9.911,9.911,9.911,0
2026-08-17,YIWSU.MI,9.945,9.945,9.936,9.936,50
2026-08-18,YIWSU.MI,9.936,9.936,9.936,9.936,0
