Date,Ticker,Open,High,Low,Close,Volume,Currency
2026-09-08,100EUA.MI,116.12,116.12,116.12,116.12,0,
2026-09-08,5OGE.MI,159.45,159.45,159.45,159.45,0,
2026-09-08,A01U.MI,9.278,9.278,9.278,9.278,0,
2026-09-10,AASI.MI,58.5,58.51,57.5,57.6,3027,
2026-09-10,ACWI.MI,606.16,606.16,600.27,601.56,2748,
2026-09-08,ADLU.MI,8.014,8.014,8.014,8.014,0,
2026-09-10,AEJ.MI,100.52,100.54,98.95,99.17,2336,
2026-09-10,AGEB.MI,132.97,132.97,132.39,132.39,119,
2026-09-10,AGED.MI,9.317,9.322,9.249,9.256,22970,
2026-09-10,AGGH.MI,4.871,4.871,4.84,4.84,288825,
2026-09-10,AHYE.MI,266.35,266.35,264.66,264.66,369,
2026-09-10,AIAI.MI,34.265,34.3,33.71,34.075,18012,
2026-09-08,AICU.MI,9.313,9.346,9.313,9.346,80,
2026-09-10,AIME.MI,13.638,13.638,13.616,13.616,95,
2026-09-10,AIQE.MI,24.755,24.755,24.505,24.665,961,
2026-09-08,AIUU.MI,14.142,14.156,14.142,14.156,604,
2026-09-10,AJEUAS.MI,249.0,249.64,246.0,246.07,605,
2026-09-10,ALAT.MI,21.855,21.905,21.505,21.905,46648,
2026-09-10,ANAE.MI,14.212,14.212,14.154,14.154,366,
2026-09-10,ASRD.MI,9.593,9.594,9.593,9.594,210,
2026-09-10,AWDE.MI,12.174,12.174,12.13,12.13,41,
2026-09-08,AWDU.MI,11.62,11.62,11.62,11.62,12,
2026-09-10,BATT.MI,27.075,27.155,26.485,26.595,14787,
2026-09-10,BBEG.MI,92.17,92.17,91.76,91.76,50,
2026-09-08,BBSC.MI,35.77,35.77,35.77,35.77,0,
2026-09-10,BCHN.MI,165.93,165.93,161.69,163.89,1043,
2026-09-08,BE26.MI,5.432,5.432,5.432,5.432,0,
2026-09-10,BNKE.MI,403.95,404.4,397.5,400.55,7602,
2026-09-10,BRA.MI,26.585,27.115,26.39,27.055,8998,
2026-09-10,BRES.MI,147.16,147.16,141.98,142.42,7158,
2026-09-08,BS26.MI,4.589,4.589,4.589,4.589,0,
2026-09-10,BT27.MI,10.328,10.328,10.31,10.31,2531,
2026-09-10,BTC.MI,16.298,16.298,16.024,16.178,405,
2026-09-10,C40.MI,142.92,142.92,141.8,141.98,4967,
2026-09-10,CAPE.MI,640.9,640.9,640.6,640.6,31,
2026-09-10,CAPU.MI,1475.48,1476.82,1466.24,1466.24,423,
2026-09-10,CATHEM.MI,27.12,27.12,27.085,27.105,457,
2026-09-10,CB3.MI,216.53,216.53,215.25,215.25,456,
2026-09-10,CBEF.MI,135.6,135.6,134.92,134.92,162,
2026-09-10,CBEU5.MI,12.916,12.916,12.85,12.85,9777,
2026-09-08,CBND.MI,49.535,49.535,49.375,49.42,2403,
2026-09-10,CG1.MI,451.3,451.3,448.8,448.8,127,
2026-09-10,CHIN.MI,13.258,13.258,13.132,13.17,625,
2026-09-10,CHINE.MI,6.73,6.73,6.708,6.708,5880,
2026-09-10,CHPX.MI,25.865,25.935,25.09,25.3,8490,
2026-09-08,CLIMA.MI,20.975,20.975,20.975,20.975,0,
2026-09-10,CLIP.MI,14.558,14.574,14.558,14.574,35,
2026-09-08,CNEW.MI,13.794,13.794,13.794,13.794,9,
2026-09-08,COOL.MI,9.823,9.844,9.823,9.844,657,
2026-09-08,CROP.MI,9.486,9.486,9.312,9.312,1197,
2026-09-10,CSBGU3.MI,108.31,108.52,108.21,108.21,1893,
2026-09-10,CSMIB.MI,259.4,259.95,257.6,258.1,3843,
2026-09-10,CSSPX.MI,709.75,709.87,704.0,705.78,5997,
2026-09-10,CURE.MI,22.375,22.375,22.155,22.155,132,
2026-09-10,CWE.MI,548.7,551.0,547.9,548.8,219,
2026-09-10,CYBR.MI,9.444,9.48,9.335,9.478,14200,
2026-09-10,DAPP.MI,12.13,12.13,11.752,11.948,22566,
2026-09-08,DAXESG.MI,92.6,92.85,92.6,92.85,61,
2026-09-10,DEFS.MI,5.729,5.766,5.7,5.729,83767,
2026-09-08,DFEA.MI,25.765,25.765,25.765,25.765,0,
2026-09-08,DHSF.MI,29.64,29.64,29.64,29.64,0,
2026-09-08,DRGN.MI,9.062,9.062,9.062,9.062,3,
2026-09-10,DXEZ.MI,6.078,6.081,6.05,6.057,12120,
2026-09-10,DXG3.MI,5.133,5.134,5.12,5.12,59221,
2026-09-10,DXG5.MI,5.07,5.07,5.043,5.043,22590,
2026-09-10,DXJF.MI,54.76,54.81,54.09,54.09,19033,
2026-09-10,DXUS.MI,6.565,6.571,6.526,6.536,101025,
2026-09-10,DXWO.MI,6.617,6.617,6.558,6.571,241195,
2026-09-08,E15S.MI,10.2,10.208,10.2,10.208,1712,
2026-09-10,EACW.MI,26.945,26.96,26.675,26.735,12131,
2026-09-10,EBBB.MI,54.92,54.95,54.72,54.75,1075,
2026-09-09,ECO.MI,11.338,11.338,11.338,11.338,0,
2026-09-10,EEMK.MI,17.342,17.342,17.102,17.118,13805,
2026-09-10,EENG.MI,100.19,100.31,99.66,99.66,1632,
2026-09-10,EGEHE.MI,14.094,14.094,13.986,13.986,100,
2026-09-10,EGRO.MI,11.628,11.628,11.622,11.622,71,
2026-09-10,EIB3.MI,37.17,37.17,37.075,37.075,580,
2026-09-10,EIB5.MI,35.465,35.465,35.28,35.28,2746,
2026-09-10,EJAH.MI,29.345,29.355,29.1,29.1,2117,
2026-09-10,EJEGSS.MI,8.084,8.084,8.018,8.018,300,
2026-09-10,EMAE.MI,112.73,112.95,111.08,111.09,439,
2026-09-10,EMCR.MI,76.92,76.92,76.65,76.65,114,
2026-09-10,EMHD.MI,25.78,25.92,25.71,25.92,361,
2026-09-10,EMLI.MI,57.41,57.45,57.2,57.28,6022,
2026-09-10,EMMH.MI,9.753,9.753,9.709,9.709,25,
2026-09-10,EMMUSC.MI,16.486,16.486,16.2,16.248,47045,
2026-09-10,EMQQ.MI,8.322,8.348,8.249,8.316,20252,
2026-09-10,EMRG.MI,92.09,92.09,90.53,90.79,12492,
2026-09-10,EMUAA.MI,42.51,42.51,42.19,42.21,1693,
2026-09-10,ENAM.MI,29.99,29.99,29.98,29.98,7100,
2026-09-10,EPRA.MI,69.22,69.32,68.79,68.79,910,
2026-09-10,EPRE.MI,324.05,324.05,319.8,319.8,9,
2026-09-10,EQQQ.MI,618.34,618.52,611.75,614.28,2027,
2026-09-10,EST.MI,48.835,49.15,48.6,48.745,3614,
2026-09-10,ETFUSC.MI,14.956,14.962,14.882,14.882,2676,
2026-09-10,ETFUST.MI,16.016,16.016,15.986,15.986,23,
2026-09-10,EUHI.MI,9.23,9.242,9.194,9.201,58912,
2026-09-10,EUPA.MI,42.73,42.73,42.26,42.335,22,
2026-09-10,EURO.MI,104.26,104.34,104.26,104.34,243,
2026-09-10,EUSD.MI,20.685,20.685,20.565,20.59,14591,
2026-09-10,EXS1.MI,210.9,211.0,209.3,209.35,2619,
2026-09-10,FAMAMW.MI,196.75,197.79,189.45,190.8,181,
2026-09-10,FAMEUS.MI,124.96,124.96,124.49,124.49,7,
2026-09-08,FAMLSS.MI,101.5,101.71,101.3,101.44,87,
2026-09-10,FAMMAI.MI,174.79,176.26,174.0,175.57,30,
2026-09-10,FAMSF3.MI,111.84,111.84,111.45,111.62,8,
2026-09-10,FAMSFF.MI,112.85,112.85,112.47,112.47,11,
2026-09-08,FAMWCS.MI,102.32,102.41,101.89,101.89,11,
2026-09-10,FBT.MI,28.025,28.025,27.66,27.66,4090,
2026-09-10,FEDF.MI,108.92,109.32,108.92,109.06,1294,
2026-09-10,FEME.MI,7.273,7.273,7.179,7.181,661,
2026-09-10,FEUI.MI,7.318,7.322,7.295,7.295,54,
2026-09-10,FEUZ.MI,65.88,65.93,65.24,65.31,163,
2026-09-10,FGEU.MI,9.854,9.854,9.818,9.818,2500,
2026-09-10,FGGB.MI,4.188,4.188,4.171,4.171,150,
2026-09-10,FGQI.MI,10.048,10.072,9.993,10.008,5607,
2026-09-08,FLUSA.MI,18.032,18.032,18.032,18.032,0,
2026-09-10,FLXB.MI,31.815,32.295,31.46,32.12,2721,
2026-09-10,FLXC.MI,24.915,24.965,24.825,24.88,8038,
2026-09-10,FLXE.MI,35.705,35.705,35.515,35.57,499,
2026-09-10,FOFD.MI,25.2,25.2,25.095,25.095,33,
2026-09-08,FOHW.MI,25.38,25.38,25.38,25.38,14,
2026-09-10,FOO.MI,91.46,91.9,91.46,91.47,40,
2026-09-10,FUSA.MI,14.25,14.25,14.15,14.182,1561,
2026-09-08,FUSU.MI,12.23,12.23,12.23,12.23,4,
2026-09-10,FXC.MI,85.54,85.67,85.2,85.22,11412,
2026-09-10,GAGG.MI,48.54,48.55,48.345,48.355,2191,
2026-09-10,GAGH.MI,48.62,48.62,48.44,48.44,9116,
2026-09-10,GCLE.MI,20.58,20.605,20.58,20.605,11,
2026-09-10,GENDED.MI,18.958,19.022,18.902,18.902,897,
2026-09-08,GENDEE.MI,28.035,28.035,27.915,27.915,57,
2026-09-10,GEU7C.MI,9.907,9.907,9.857,9.862,4032,
2026-09-10,GFA.MI,65.3,65.3,65.14,65.14,1561,
2026-09-08,GGRE.MI,22.405,22.465,22.395,22.395,39,
2026-09-08,GIST.MI,10.22,10.236,10.22,10.236,4906,
2026-09-10,GOAT.MI,31.5,31.5,31.34,31.36,30,
2026-09-10,GOVS.MI,51.58,51.58,51.43,51.43,776,
2026-09-08,GRCTB.MI,9.869,9.869,9.869,9.869,0,
2026-09-08,GREAL.MI,6.629,6.629,6.629,6.629,1,
2026-09-08,GREIT.MI,107.07,107.07,107.07,107.07,0,
2026-09-10,GRID.MI,53.93,53.98,53.04,53.29,36305,
2026-09-08,GSGR.MI,47.75,47.75,47.75,47.75,0,
2026-09-08,GSLC.MI,90.92,90.92,90.92,90.92,0,
2026-09-10,GUARD.MI,10.91,10.976,10.878,10.916,66058,
2026-09-10,H10E.MI,9.312,9.32,9.312,9.32,13860,
2026-09-08,H13E.MI,10.246,10.246,10.246,10.246,0,
2026-09-10,H50E.MI,66.43,66.44,65.85,65.93,19109,
2026-09-10,HAGG.MI,9.713,9.713,9.699,9.699,82,
2026-09-08,HECB.MI,10.286,10.286,10.286,10.286,0,
2026-09-08,HGAE.MI,10.414,10.414,10.414,10.414,0,
2026-09-10,HIDIV.MI,112.62,112.62,112.27,112.27,2,
2026-09-10,HLTW.MI,509.74,510.66,505.48,506.3,451,
2026-09-10,HMCA.MI,10.558,10.564,10.558,10.564,375,
2026-09-10,HNSC.MI,36.03,36.03,35.17,35.34,5982,
2026-09-08,HPNA.MI,11.064,11.144,11.062,11.144,32632,
2026-09-10,HPRD.MI,20.32,20.32,20.185,20.185,654,
2026-09-10,HSEM.MI,19.656,19.656,19.58,19.638,5187,
2026-09-08,HSGE.MI,10.264,10.264,10.264,10.264,0,
2026-09-08,HSPD.MI,66.81,66.82,66.76,66.76,3036,
2026-09-10,HSTE.MI,5.187,5.192,5.156,5.162,47806,
2026-09-08,HSWD.MI,30.77,30.775,30.73,30.76,13483,
2026-09-10,HSXD.MI,26.54,26.54,26.22,26.22,10855,
2026-09-10,HYDE.MI,5.07,5.076,5.07,5.071,2160,
2026-09-08,HYEM.MI,120.66,121.36,120.62,120.94,325,
2026-09-10,HYSRI.MI,11.238,11.238,11.216,11.216,17944,
2026-09-10,IAPD.MI,28.14,28.145,27.85,27.89,95837,
2026-09-10,IBZL.MI,26.435,26.89,26.21,26.885,6522,
2026-09-10,IEAA.MI,5.337,5.337,5.307,5.307,291823,
2026-09-10,INFL10.MI,14.68,14.682,14.6,14.6,2172,
2026-09-08,IQEC.MI,23.92,23.92,23.92,23.92,0,
2026-09-08,IQEE.MI,52.79,52.79,52.79,52.79,0,
2026-09-08,IQJP.MI,49.05,49.05,49.05,49.05,0,
2026-09-10,ISAG.MI,51.7,51.78,51.38,51.38,21778,
2026-09-10,ISF.MI,12.182,12.2,12.088,12.102,328315,
2026-09-08,ITPD.MI,3.803,3.803,3.799,3.799,1,
2026-09-10,JAPAN.MI,33.42,33.42,33.035,33.035,780,
2026-09-10,JBEM.MI,9.306,9.31,9.253,9.257,40964,
2026-09-08,JE13.MI,103.02,103.02,103.02,103.02,0,
2026-09-10,JMBA.MI,101.84,101.84,101.35,101.35,295,
2026-09-10,JNKE.MI,50.13,50.2,49.895,49.895,1678,
2026-09-10,JPGL.MI,45.435,45.435,45.125,45.125,1992,
2026-09-10,JPMQ.MI,158.19,158.68,156.89,156.89,258,
2026-09-10,JPNA.MI,31.11,31.11,30.62,30.62,6592,
2026-09-10,JT13.MI,6.483,6.489,6.45,6.476,74293,
2026-09-10,JU13.MI,101.39,101.39,101.36,101.36,49,
2026-09-10,KOID.MI,24.37,24.37,23.89,24.025,6562,
2026-09-10,KSTR.MI,21.565,21.57,21.205,21.255,3363,
2026-09-10,KWBE.MI,11.266,11.282,11.184,11.234,16519,
2026-09-10,LAFRI.MI,15.998,16.0,15.584,15.592,12158,
2026-09-10,LDAP.MI,11.64,11.64,11.558,11.558,86,
2026-09-10,LEMA.MI,75.79,75.79,74.5,74.62,25254,
2026-09-08,LGEU.MI,22.475,22.475,22.475,22.475,18,
2026-09-10,LGGL.MI,23.965,23.985,23.745,23.8,24998,
2026-09-10,LGOV.MI,21.36,21.36,21.26,21.26,15,
2026-09-10,MCHN.MI,25.705,25.765,25.61,25.61,219,
2026-09-10,MDAX.MI,52.24,52.24,52.14,52.14,1986,
2026-09-10,METE.MI,47.78,47.78,47.45,47.51,84,
2026-09-10,MMLP.MI,18.374,18.41,18.168,18.168,32,
2026-09-10,MOAT.MI,58.08,58.1,57.67,57.79,4425,
2026-09-10,MONEY.MI,10.21,10.21,10.202,10.204,37755,
2026-09-10,MUNI.MI,26.705,26.705,26.545,26.545,100,
2026-09-10,N400.MI,254.57,254.57,251.65,251.65,889,
2026-09-08,NTSG.MI,28.875,28.89,28.675,28.785,2515,
2026-09-10,NTSZ.MI,27.645,27.67,27.615,27.67,378,
2026-09-08,OG35.MI,201.76,201.76,201.76,201.76,0,
2026-09-08,PAACE.MI,13.296,13.296,13.296,13.296,0,
2026-09-10,PADV.MI,50.07,50.07,49.49,49.49,1,
2026-09-10,PEMD.MI,13.866,13.88,13.84,13.84,180,
2026-09-10,PSRW.MI,35.845,35.845,35.46,35.46,579,
2026-09-10,R2US.MI,73.63,73.63,72.76,72.91,5603,
2026-09-10,RBOT.MI,18.142,18.15,17.824,17.92,44728,
2026-09-10,REEU.MI,29.49,29.49,29.14,29.14,114,
2026-09-10,RENW.MI,13.828,13.874,13.612,13.674,6754,
2026-09-10,REUS.MI,24.62,24.62,24.28,24.28,3,
2026-09-10,REWLD.MI,41.48,41.48,41.235,41.235,2,
2026-09-08,RIEM.MI,17.612,17.612,17.612,17.612,0,
2026-09-10,RS2K.MI,377.91,377.91,375.13,375.13,638,
2026-09-10,SAUDI.MI,21.495,21.495,21.395,21.41,35,
2026-09-10,SCAR.MI,27.095,27.095,26.995,26.995,221,
2026-09-10,SCWX.MI,11.93,11.938,11.824,11.856,2682,
2026-09-10,SDIV.MI,8.766,8.766,8.673,8.706,85333,
2026-09-10,SDJE50.MI,164.86,164.94,163.64,163.76,822,
2026-09-10,SEGA.MI,105.85,105.85,105.22,105.23,3308,
2026-09-10,SEME.MI,17.484,17.486,17.0,17.16,72469,
2026-09-10,SEUC.MI,29.66,29.66,29.59,29.61,1404,
2026-09-10,SP1E.MI,10.4,10.4,10.386,10.386,59,
2026-09-10,SPTRE.MI,13.4,13.424,13.4,13.424,8,
2026-09-10,SRIC3.MI,9.612,9.612,9.583,9.583,10670,
2026-09-08,SRIUC.MI,11.014,11.014,11.01,11.01,4,
2026-09-10,SRSA.MI,55.16,55.16,54.05,54.05,782,
2026-09-10,SS1EUA.MI,11.488,11.488,11.426,11.428,51689,
2026-09-10,STKX.MI,201.6,201.6,198.86,199.84,764,
2026-09-10,STNX.MI,310.8,315.0,310.8,311.9,504,
2026-09-10,STPX.MI,388.45,388.45,385.35,385.35,39,
2026-09-10,STQX.MI,436.55,436.55,430.75,431.15,108,
2026-09-10,STRX.MI,150.68,150.68,150.28,150.28,57,
2026-09-10,STSX.MI,228.55,229.65,228.55,228.6,91,
2026-09-10,STWX.MI,218.5,218.95,217.9,217.9,340,
2026-09-10,STZX.MI,162.16,162.48,160.9,161.08,619,
2026-09-10,SVE.MI,19.886,19.886,19.886,19.886,831,
2026-09-10,SW2CHB.MI,34.86,34.88,34.555,34.555,13153,
2026-09-10,SWDA.MI,126.3,126.36,125.2,125.42,104804,
2026-09-08,TAEH.MI,5.573,5.573,5.573,5.573,0,
2026-09-10,TEET.MI,95.3,95.36,94.98,94.98,53,
2026-09-10,TELE.MI,52.81,52.81,52.47,52.66,123,
2026-09-08,TFRN.MI,52.93,52.93,52.93,52.93,0,
2026-09-08,TIPS.MI,23.845,23.845,23.84,23.84,524,
2026-09-10,TNOW.MI,1193.32,1193.32,1178.0,1186.19,69,
2026-09-10,TPXH.MI,617.71,617.71,611.84,611.84,65,
2026-09-08,TRS3.MI,40.935,40.935,40.935,40.935,0,
2026-09-10,TRVL.MI,25.52,25.52,25.485,25.485,160,
2026-09-10,TUR.MI,52.64,52.64,51.4,51.95,674,
2026-09-08,UNCA.MI,43.215,43.215,43.205,43.205,112,
2026-09-10,USAUSW.MI,38.615,38.615,38.365,38.42,13249,
2026-09-10,USCBC.MI,9.921,9.95,9.849,9.849,6091,
2026-09-08,USPA.MI,54.99,55.15,54.81,54.83,7062,
2026-09-10,V3AA.MI,7.645,7.645,7.568,7.583,32793,
2026-09-10,V3EA.MI,7.698,7.698,7.693,7.693,45,
2026-09-10,V3GF.MI,4.736,4.736,4.716,4.716,32628,
2026-09-10,V3ML.MI,7.65,7.65,7.598,7.599,755,
2026-09-08,V3NA.MI,7.946,7.946,7.933,7.933,704,
