ticker,isin,name,benchmark,benchmark_area,category,issuer
SEME.MI,IE000I8KRLL9,ISHARES MSCI GLB SEMICONDUCTOR UCITS ETF,MSCIACWI IMI SEMICOND&SEMICO EQUIP ESG SCREEN SEL,EQUITY THEMATIC,ETF,iShares
XAIX.MI,IE00BGV5VN51,XTRACKERS ART INTEL & BIG DATA UCITS ETF,NASDAQ YEWNO GLOBAL ARTIFICIAL INTELLIGENCE AND BI,EQUITY THEMATIC,ETF,Xtrackers - DWS
TNOW.MI,LU0533033667,Amundi MSCI World Info Techn UCITS ETF,MSCI WORLD INFORMATION TECHNOLOGY NTR,EQUITY SECTORS,ETF,Amundi
AICU.MI,IE00018U4PN8,AXA IM Emerg Mkts Credit PAB UCITS ETF A,ICE EMRG MARKETS CORP PARIS ALI EMISSIONS,CORPORATE BOND - EMERGING,ETF,AXA IM
EMCR.MI,IE00B6TLBW47,ISHARES JP MORG $ EM CORP BOND UCITS ETF,JP MORGAN CEMBI BROAD DIVERSIFIED CORE,CORPORATE BOND - EMERGING,ETF,iShares
EMMH.MI,IE000ZO4CUT7,L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,J.P. MORGAN ESG CEMBI BROAD DIVERSIFIED CUSTOM MAT,CORPORATE BOND - EMERGING,ETF,Legal&General
HYEM.MI,IE00BF541080,VANECK EMER MARKETS HIGH YIELD UCITS ETF,ICE BOFAML DIV HIGH YIELD US EMERGING MARK CORP PL,CORPORATE BOND - EMERGING,ETF,VanEck
EBBB.MI,LU1525418643,AMUNDI EUR CORPORATE BOND 1-5Y ESG UCITS ETF Acc,Bloomberg MSCI ESG Euro Corporate 1-5 Year Select,CORPORATE BOND - EUR,ETF,Amundi
CBEF.MI,LU1829218822,Amudi EUR Corp Bnd ex-Fin ESG UCITS ETF,Bloomberg MSCI ESG EUR Corporate Liquid ex Financi,CORPORATE BOND - EUR,ETF,Amundi
SRIUC.MI,LU2533812058,BNP Paribas Easy EUR Corp Bond SRI Fossil Free Ultrashort Duration UCITS ETF,BLOOMBERG MSCI EUCORP ULTRASHORT FIXANDFLOAT RATE,CORPORATE BOND - EUR,ETF,BNP Paribas
SRIC3.MI,LU2008760592,BNP Paribas Easy EUR Corp Bond SRI PAB 1-3Y UCITS ETF,BLOOMB MSCI1-3Y EUR CORPSRISUSTSEL.EXFOSFUEL PAB,CORPORATE BOND - EUR,ETF,BNP Paribas
XZE5.MI,LU2178481649,EUR CORP B SH DU SRI PAB UCITS ETF,BLOOMBERG MSCI EURO CORPORATE SRI 0-5 YEAR PAB,CORPORATE BOND - EUR,ETF,Xtrackers - DWS
FAMSF3.MI,IE000W6ZFH20,Fineco AM MSCI EUR IG SRI P-Series ex Fossil Fuel (1-3y) Corporate Bond UCITS ETF,MSCI EUR IGSRI SUST EXFOSSIL FUEL 1-3Y CORP BOND,CORPORATE BOND - EUR,ETF,Fineco
FAMSFF.MI,IE000NPK2VI6,Fineco AM MSCI EUR IG SRI P-Series ex Fossil Fuel Corporate Bond UCITS ETF,MSCI EUR IG SRI SUST EXFOSSIL FUEL CORPORATE BOND,CORPORATE BOND - EUR,ETF,Fineco
HECB.MI,IE0000KA1ZX3,HSBC ICAV Euro Corp Bond UCITS ETF Acc,Bloomberg Euro Corp TR Index Unhedged EUR,CORPORATE BOND - EUR,ETF,HSBC
IQEC.MI,LU1603790731,INDEXIQ FACT SUST CORPOR EUR UCITS ETF,SOLACTIVE CANDRIAM FACTORS SUSTAINAB CORP EUR BOND,CORPORATE BOND - EUR,ETF,Candriam
IEAA.MI,IE00BF11F565,ISHARES CORE EU CORP BOND UCITS ETF ACC,Bloomberg Euro Corp TR Index Unhedged EUR,CORPORATE BOND - EUR,ETF,iShares
BE26.MI,IE000AYJ75E5,Invesco BulltShares 26 EUR Crp UCITS ETF,BLOOMBERG 2026 MAT EUR CORP BOND SCREEN,CORPORATE BOND - EUR,ETF,Invesco
COOL.MI,IE00BN4GXL63,Janus Henderson EUR IG Bond Paris-aligned Climate Core UCITS ETF Acc,SOLACTIVE ISS PARIS ALIGNED SELECT EURO CORP BOND,CORPORATE BOND - EUR,ETF,Tabula
SEUC.MI,IE00BC7GZW19,SPDR BL 0-3Y EUR CORP BOND UCITS ETF,BLOOMBERG EURO 0-3 YEAR CORPORATE BOND INDEX,CORPORATE BOND - EUR,ETF,SPDR
CBEU5.MI,LU1048314196,UBS BBG Euro Area Liquid Corp 1-5 UCITS ETF EUR dis,BLOOMBERG BARCLAYS EURO AREA LIQUID CORPORATE1-5TR,CORPORATE BOND - EUR,ETF,UBS
V3RE.MI,IE000QADMYA3,VANGUARD ESG EUR CORP BOND UCITS ETF A,BLOOMBERG MSCI EUR CORPORATE LIQUID BOND,CORPORATE BOND - EUR,ETF,Vanguard
ETFUSC.MI,LU2037749152,Amundi Core USD Corporate Bond UCITS ETF Dist,Bloomberg US Corporate Liquid Issuer Index,CORPORATE BOND - EX EUR,ETF,Amundi
USCBC.MI,LU2616774076,BNPP Easy USD Corp Bond SRI C UCITS ETF,BLOOMBERG MSCI USCORP SRI SUST EX FOSSIL FUEL BOND,CORPORATE BOND - EX EUR,ETF,BNP Paribas
FAMLSS.MI,IE000WMJVNE9,Fineco AM MSCI USD IG Liquid SRI P-Series Corporate Bond UCITS ETF,MSCI USD IG LIQUID SRI SUSTAINABLE CORPORATE BOND,CORPORATE BOND - EX EUR,ETF,Fineco
